"ID","river.id","sample.type","location.id","sampling.type","replicate.id","original.id","Date","Start_Time","Time_zone","Stream_Name","Stream_Order","City","State_or_Province","Country","General_Vegetation","Weather","Hydrogeomorphology","River_Gradient","Intermittent_or_Perennial","Sediment","Distance_DS.and.MS_meters","Distance_MS.and.US_meters","Primary.Sources.Flow.Variation","pH","Temp_degC","DO_perc.sat","DO_mg.per.L","Algal.Mat.Coverage","Depositional.Type","Latitude_dec.deg","Longitude_dec.deg","Macrophyte.Coverage","Sunlight.Access_Perc.Canopy.Cover","Water.Column.Height_cm","Sampler_Organization","Associated_Site","Sampler_Name","Approx.Distance.From.Gauge_meters","Discharge_Link","US.or.DS.of.Gauge","Gauge_Latitude_dec.deg","Gauge_Longitude_dec.deg","Met.Station.Nearby","Met.Station","Precipitation.Within.Week","Number.Days.Since.Precip","Dam.Upstream.Site","Dam","Contamination.Source.Upstream","Contamination.Source","Water.Quality.Data.Available","Water.Quality.Data","Known.Data","Published.Work.On.Site","Published.Work","Notes","Study_Code","resprate_mg.L.h","resp.inc.time.min","resp.r2","resp.pval","NPOC_mg.L.asC","del2H_permil","del18O_permil","Cl_mgL","SO4_mgL","NO3_mgL","NO2_mgL","F_mgL"
"SED_S19S.0001_D_Field","S19S.0001","SED","D","Field",NA,"S19S_0001_Sed_Field_ICR.D_p2","19-Sep-19","12:00","PST","Fraser","9","Hope","British Columbia","Canada","Grass","Partly cloudy","Single-channel meandering","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Sand","15","15","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"No","Shallow waters near the shore","49.38609","-121.45047","No","Full sunlight (0-20% canopy cover)","17","Thompson Rivers University",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08MF005","Downstream","49.38583","-121.45416","Yes","Hope A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2011-10-17%7C2019-09-30&dlyRange=2011-10-20%7C2019-09-30&mlyRange=%7C&StationID=49588&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=10&searchMethod=contains&txtStationName=hope","Yes","1","No",NA,"Yes","Town of Hope. population of ~6100. 0m from sample site. Farmland ~6km upstream. pulpmill ~350km ","Yes","Turbidity. Specific Conductivity. Temperature. pH. Dissolved Oxygen http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx","Specific Conductivity: 116.58 uS/cm http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx",NA,"https://www.jstor.org/stable/4251587?seq=1#metadata_info_tab_contents
http://agris.fao.org/agris-search/search.do?recordID=US201500213657#?
http://agris.fao.org/agris-search/search.do?recordID=US201301521218#?",NA,"WHONDRS_S19S",NA,NA,NA,NA,2.35,NA,NA,NA,NA,NA,NA,NA
"SED_S19S.0001_M_Field","S19S.0001","SED","M","Field",NA,"S19S_0001_Sed_Field_ICR.M_p2","19-Sep-19","12:00","PST","Fraser","9","Hope","British Columbia","Canada","Grass","Partly cloudy","Single-channel meandering","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Sand","15","15","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"No","Shallow waters near the shore","49.38626","-121.45055","No","Full sunlight (0-20% canopy cover)","16","Thompson Rivers University",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08MF005","Downstream","49.38583","-121.45416","Yes","Hope A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2011-10-17%7C2019-09-30&dlyRange=2011-10-20%7C2019-09-30&mlyRange=%7C&StationID=49588&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=10&searchMethod=contains&txtStationName=hope","Yes","1","No",NA,"Yes","Town of Hope. population of ~6100. 0m from sample site. Farmland ~6km upstream. pulpmill ~350km ","Yes","Turbidity. Specific Conductivity. Temperature. pH. Dissolved Oxygen http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx","Specific Conductivity: 116.58 uS/cm http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx",NA,"https://www.jstor.org/stable/4251587?seq=1#metadata_info_tab_contents
http://agris.fao.org/agris-search/search.do?recordID=US201500213657#?
http://agris.fao.org/agris-search/search.do?recordID=US201301521218#?",NA,"WHONDRS_S19S",NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA
"SED_S19S.0001_U_Field","S19S.0001","SED","U","Field",NA,"S19S_0001_Sed_Field_ICR.U_p2","19-Sep-19","12:00","PST","Fraser","9","Hope","British Columbia","Canada","Grass","Partly cloudy","Single-channel meandering","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Sand","15","15","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"No","Shallow waters near the shore","49.38639","-121.45063","Low","Full sunlight (0-20% canopy cover)","19","Thompson Rivers University",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08MF005","Downstream","49.38583","-121.45416","Yes","Hope A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2011-10-17%7C2019-09-30&dlyRange=2011-10-20%7C2019-09-30&mlyRange=%7C&StationID=49588&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=10&searchMethod=contains&txtStationName=hope","Yes","1","No",NA,"Yes","Town of Hope. population of ~6100. 0m from sample site. Farmland ~6km upstream. pulpmill ~350km ","Yes","Turbidity. Specific Conductivity. Temperature. pH. Dissolved Oxygen http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx","Specific Conductivity: 116.58 uS/cm http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx",NA,"https://www.jstor.org/stable/4251587?seq=1#metadata_info_tab_contents
http://agris.fao.org/agris-search/search.do?recordID=US201500213657#?
http://agris.fao.org/agris-search/search.do?recordID=US201301521218#?",NA,"WHONDRS_S19S",NA,NA,NA,NA,3.17,NA,NA,NA,NA,NA,NA,NA
"SED_S19S.0003_D_Field","S19S.0003","SED","D","Field",NA,"S19S_0003_Sed_Field_ICR.D_p15","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"Low","Shallow waters near the shore","50.6888","-120.36647","No","Full sunlight (0-20% canopy cover)","35","Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,17.21,NA,NA,NA,NA,NA,NA,NA
"SED_S19S.0003_M_Field","S19S.0003","SED","M","Field",NA,"S19S_0003_Sed_Field_ICR.M_p15","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"Low","Shallow waters near the shore","50.68883","-120.36647","No","Full sunlight (0-20% canopy cover)","30","Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,30.92,NA,NA,NA,NA,NA,NA,NA
"SED_S19S.0003_U_Field","S19S.0003","SED","U","Field",NA,"S19S_0003_Sed_Field_ICR.U_p15","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"Low","Shallow waters near the shore","50.6887","-120.36646","No","Full sunlight (0-20% canopy cover)","27","Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,11.28,NA,NA,NA,NA,NA,NA,NA
"SW_S19S.0003_U_1","S19S.0003","SW","U",NA,"1","S19S_0003_ICR.1_p05","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt","6","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.27,-140,-18.75,0.3,9.8,0.19,0.04,0.07
"SW_S19S.0003_U_2","S19S.0003","SW","U",NA,"2","S19S_0003_ICR.2_p05","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt","6","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.8,NA,NA,0.31,8.03,0.23,0.04,0.07
"SW_S19S.0003_U_3","S19S.0003","SW","U",NA,"3","S19S_0003_ICR.3_p05","8-Sep-19","15:15","PST","Thompson ","7","Kamloops","British Columbia","Canada","Not vegetated","Partly cloudy","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Silt/mud (<0.0625mm)","10","10","Natural flow (seasonal). Glacial melt","6","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023","Downstream","50.6875","-120.36388","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.15,NA,NA,0.31,8.62,0.23,0.04,0.06
"SED_S19S.0004_M_Field","S19S.0004","SED","M","Field",NA,"S19S_0004_Sed_Field_ICR.M_p15","8-Sep-19","12:00","PST","South Thompson","6","Chase","British Columbia","Canada","Grass","Overcast. Raining","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Gravel/cobble (>2mm)","15","15","Natural flow (seasonal). Glacial melt",NA,NA,NA,NA,"No","Shallow waters near the shore","50.77505","-119.72175","Low","Full sunlight (0-20% canopy cover)","19","Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031","Upstream","50.76305","-119.74305","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","Town of Chase. population of 2300. ~1km away from sample site","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,18.34,NA,NA,NA,NA,NA,NA,NA
"SW_S19S.0004_U_1","S19S.0004","SW","U",NA,"1","S19S_0004_ICR.1_p05","8-Sep-19","12:00","PST","South Thompson","6","Chase","British Columbia","Canada","Grass","Overcast. Raining","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Gravel/cobble (>2mm)","15","15","Natural flow (seasonal). Glacial melt","6.5","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031","Upstream","50.76305","-119.74305","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","Town of Chase. population of 2300. ~1km away from sample site","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.96,-129.3,-17.13,1.83,6.53,0.12,0.04,0.07
"SW_S19S.0004_U_2","S19S.0004","SW","U",NA,"2","S19S_0004_ICR.2_p05","8-Sep-19","12:00","PST","South Thompson","6","Chase","British Columbia","Canada","Grass","Overcast. Raining","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Gravel/cobble (>2mm)","15","15","Natural flow (seasonal). Glacial melt","6.5","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031","Upstream","50.76305","-119.74305","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","Town of Chase. population of 2300. ~1km away from sample site","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.93,NA,NA,2,6.66,0.12,0.04,0.08
"SW_S19S.0004_U_3","S19S.0004","SW","U",NA,"3","S19S_0004_ICR.3_p05","8-Sep-19","12:00","PST","South Thompson","6","Chase","British Columbia","Canada","Grass","Overcast. Raining","Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)","Perennial","Gravel/cobble (>2mm)","15","15","Natural flow (seasonal). Glacial melt","6.5","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University ",NA,"Eric Bottos","100","https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031","Upstream","50.76305","-119.74305","Yes","Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops","Yes","1","No",NA,"Yes","Town of Chase. population of 2300. ~1km away from sample site","No",NA,NA,"No",NA,NA,"WHONDRS_S19S",NA,NA,NA,NA,1.79,NA,NA,NA,NA,NA,NA,NA
"SW_S19S.0005_U_1","S19S.0005","SW","U",NA,"1","S19S_0005_ICR.1_p05","6-Aug-19","11:23","CDT","Assiniboine",NA,"Winnipeg","Manitoba","Canada","Shrub. Grass",NA,"Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)",NA,"Silt/mud (<0.0625mm)","13","12",NA,"8","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University",NA,"Eric Bottos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m )","WHONDRS_S19S",NA,NA,NA,NA,8.37,-91.5,-10.22,31.94,242.56,0.12,0.04,0.13
"SW_S19S.0005_U_2","S19S.0005","SW","U",NA,"2","S19S_0005_ICR.2_p05","6-Aug-19","11:23","CDT","Assiniboine",NA,"Winnipeg","Manitoba","Canada","Shrub. Grass",NA,"Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)",NA,"Silt/mud (<0.0625mm)","13","12",NA,"8","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University",NA,"Eric Bottos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m )","WHONDRS_S19S",NA,NA,NA,NA,8.11,NA,NA,33.9,259.29,0.96,0.04,0.16
"SW_S19S.0005_U_3","S19S.0005","SW","U",NA,"3","S19S_0005_ICR.3_p05","6-Aug-19","11:23","CDT","Assiniboine",NA,"Winnipeg","Manitoba","Canada","Shrub. Grass",NA,"Single-channel straight","Relatively flat/gentle gradient (e.g. valleys)",NA,"Silt/mud (<0.0625mm)","13","12",NA,"8","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thompson Rivers University",NA,"Eric Bottos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m )","WHONDRS_S19S",NA,NA,NA,NA,8.75,NA,NA,34.06,262.38,0.38,0.04,0.16
