Study_Code,Sample_ID,Date,Start_Time,Time_zone,Sampler_Organization,Associated_Site,Sampler_Name,Stream_Name,Stream_Order,City,State_or_Province,Country,General_Vegetation,Weather,Hydrogeomorphology,River_Gradient,Intermittent_or_Perennial,Sediment,Distance_DS.and.MS_meters,Distance_MS.and.US_meters,US_Latitude_dec.deg,US_Longitude_dec.deg,US_Water.Column.Height_cm,US_Depositional.Type,US_Algal.Mat.Coverage,US_Macrophyte.Coverage,US_Sunlight.Access_Perc.Canopy.Cover,MS_Latitude_dec.deg,MS_Longitude_dec.deg,MS_Water.Column.Height_cm,MS_Depositional.Type,MS_Algal.Mat.Coverage,MS_Macrophyte.Coverage,MS_Sunlight.Access_Perc.Canopy.Cover,DS_Latitude_dec.deg,DS_Longitude_dec.deg,DS_Water.Column.Height_cm,DS_Depositional.Type,DS_Algal.Mat.Coverage,DS_Macrophyte.Coverage,DS_Sunlight.Access_Perc.Canopy.Cover,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC,Approx.Distance.From.Gauge_meters,Discharge_Link,US.or.DS.of.Gauge,Gauge_Latitude_dec.deg,Gauge_Longitude_dec.deg,Primary.Sources.Flow.Variation,Met.Station.Nearby,Met.Station,Precipitation.Within.Week,Number.Days.Since.Precip,Dam.Upstream.Site,Dam,Contamination.Source.Upstream,Contamination.Source,Water.Quality.Data.Available,Water.Quality.Data,Known.Data,Published.Work.On.Site,Published.Work,Notes
WHONDRS_S19S,Sample ID,Sampling date,Sampling start time (local time),Local time zone,Organization/Institution,Associated site,Name of sampler,Stream name,Stream order,Sampling location: City,Sampling location: State/Province,Sampling location: Country,General vegetation type (select up to 2 if mixed),Describe the weather conditions during the sampling ,General hydrogeomorphology of river,General gradient of river,Is the river intermittent or perennial?,What is the dominant sediment type of the streambed?,Distance between downstream and midstream site (m),Distance between upstream and midstream site (m),Latitude of upstream site (decimal degrees),Longitude of upstream site (decimal degrees),Height of water column at upstream sampling location (cm),Upstream sediment location depositional zone type ,At the upstream site what is the algal mat coverage?,At the upstream site what is the macrophyte coverage?,At the upstream site to what extent is sunlight blocked from the stream by canopy cover or other sources?,Latitude of midstream site (decimal degrees),Longitude of midstream site (decimal degrees),Height of water column at midstream sampling location (cm),Midstream sediment location depositional zone type ,At the midstream site what is the algal mat coverage?,At the midstream site what is the macrophyte coverage?,At the midstream site to what extent is sunlight blocked from the stream by canopy cover or other sources?,Latitude of downstream site (decimal degrees),Longitude of downstream site (decimal degrees),Height of water column at downstream sampling location (cm),Downstream sediment location depositional zone type ,At the downstream site what is the algal mat coverage?,At the downstream site what is the macrophyte coverage?,At the downstream site to what extent is sunlight blocked from the stream by canopy cover or other sources?,pH value from colorimetric pH strip,Dissolved oxygen at 50% depth at downstream sampling location (% sat) if available,Dissolved oxygen at 50% depth at downstream sampling location (mg/L) if available,Water temperature at 50% depth at downstream sampling location(deg C),Approximate distance from gauging station (m) ,If stream gauge/discharge data is publicly available online  provide the link. Data must be recorded at a minimum frequency of two hours.,Is the site upstream or downstream of gauging station?,Gauging station latitude (decimal degrees),Gauging station longitude(decimal degrees),What are the primary sources of variation in river flow?,Is there a meteorological station nearby?,If yes name and link of meteorological station.,Was there precipitation in the last week?,If yes number of days since precipitation.,Is there a dam upstream of the sampling location?," If yes distance from nearest dam (m) and name of dam.				","Are there any upstream contamination sources?		"," If yes distance type and source.			","Are there water quality data for the site?		", If yes list types of water quality data.,If you have any surface water cation and/or SpC data for the site please list approximate ranges below and/or list citations in which the data can be found.,"Is there published work on the site? 		", If yes links and citations to published work.,"Additional Notes (relevant field conditions; deviations from protocol; major hydromorphic features):								"
WHONDRS_S19S,S19S_0001,19-Sep-19,12:00,PST,Thompson Rivers University,NA,Eric Bottos,Fraser,9,Hope,British Columbia,Canada,Grass,Partly cloudy,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,15,15,49.38639,-121.45063,19,Shallow waters near the shore,No,Low,Full sunlight (0-20% canopy cover),49.38626,-121.45055,16,Shallow waters near the shore,No,No,Full sunlight (0-20% canopy cover),49.38609,-121.45047,17,Shallow waters near the shore,No,No,Full sunlight (0-20% canopy cover),6.5,Not_Provided,Not_Provided,15,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08MF005,Downstream,49.38583,-121.45416,Natural flow (seasonal). Glacial melt,Yes,Hope A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2011-10-17%7C2019-09-30&dlyRange=2011-10-20%7C2019-09-30&mlyRange=%7C&StationID=49588&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=10&searchMethod=contains&txtStationName=hope,Yes,1,No,Not_Provided,Yes,Town of Hope. population of ~6100. 0m from sample site. Farmland ~6km upstream. pulpmill ~350km ,Yes,Turbidity. Specific Conductivity. Temperature. pH. Dissolved Oxygen http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx,Specific Conductivity: 116.58 uS/cm http://aquatic.pyr.ec.gc.ca/RealTimeBuoys/Default.aspx,Not_Provided,"https://www.jstor.org/stable/4251587?seq=1#metadata_info_tab_contents
http://agris.fao.org/agris-search/search.do?recordID=US201500213657#?
http://agris.fao.org/agris-search/search.do?recordID=US201301521218#?",Not_Provided
WHONDRS_S19S,S19S_0003,8-Sep-19,15:15,PST,Thompson Rivers University ,NA,Eric Bottos,Thompson ,7,Kamloops,British Columbia,Canada,Not vegetated,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),10,10,50.6887,-120.36646,27,Shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),50.68883,-120.36647,30,Shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),50.6888,-120.36647,35,Shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),6,Not_Provided,Not_Provided,17,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023,Downstream,50.6875,-120.36388,Natural flow (seasonal). Glacial melt,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,Not_Provided,Yes,City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.,No,Not_Provided,Not_Provided,No,Not_Provided,Not_Provided
WHONDRS_S19S,S19S_0004,8-Sep-19,12:00,PST,Thompson Rivers University ,NA,Eric Bottos,South Thompson,6,Chase,British Columbia,Canada,Grass,Overcast. Raining,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),15,15,50.7753,-119.72159,16,Shallow waters near the shore,No,Low,Full sunlight (0-20% canopy cover),50.77505,-119.72175,19,Shallow waters near the shore,No,Low,Full sunlight (0-20% canopy cover),50.7751,-119.72196,20,Shallow waters near the shore,No,Low,Full sunlight (0-20% canopy cover),6.5,Not_Provided,Not_Provided,18,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031,Upstream,50.76305,-119.74305,Natural flow (seasonal). Glacial melt,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,Not_Provided,Yes,Town of Chase. population of 2300. ~1km away from sample site,No,Not_Provided,Not_Provided,No,Not_Provided,Not_Provided
WHONDRS_S19S,S19S_0005,6-Aug-19,11:23,CDT,Thompson Rivers University,NA,Eric Bottos,Assiniboine,Not_Provided,Winnipeg,Manitoba,Canada,Shrub. Grass,Not_Provided,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Not_Provided,Silt/mud (<0.0625mm),13,12,49.8688,-97.40836,10,Shallow waters near the shore,Not_Provided,Not_Provided,Full sunlight (0-20% canopy cover),49.86877,-97.40805,18,Shallow waters near the shore,Not_Provided,Not_Provided,Full sunlight (0-20% canopy cover),49.86887,-97.40781,23,Shallow waters near the shore,Not_Provided,Not_Provided,Full sunlight (0-20% canopy cover),8,Not_Provided,Not_Provided,22,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,Not_Provided,partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m )
WHONDRS_S19S,S19S_0006,29-Jul-19,9:45,EST,Baltimore Ecosystem Study,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock,Dead Run,2,Baltimore,Maryland,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),40.5,29,39.311813,-76.717476,17,Pool lip,Low,No,Full sunlight (0-20% canopy cover),39.31162,-76.717316,10,Inside bend of a stream,Low,No,Full sunlight (0-20% canopy cover),39.311369,-76.717163,6,Shallow waters near the shore,Low,No,Partial direct sunlight (50-80% canopy cover),7.5,Not_Provided,Not_Provided,25.7,17,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589330,Upstream,39.31122222,-76.71666667,Natural flow (seasonal),Yes,Baltimore Washington International Airport https://w1.weather.gov/data/obhistory/KBWI.html,No,6,No,Not_Provided,Yes,major highway I-70,Yes,Not_Provided,Not_Provided,Yes,Not_Provided,Conductivity: 1430 millisiemens. Conductivity and temperature tested with ECTestr11 Dual Range. Amber tube with yellow tape was mistakenly briefly unscrewed before sampling. 
WHONDRS_S19S,S19S_0007,29-Jul-19,10:55,PDT,Univ. Cal Merced and USFS PSW Research Station KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda. Tyler Kappen,Providence Creek / KREW's P304 creek,1,Shaver Lake ,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,9.5,26,37.05229,-119.195359,3,Pool lip,No,Low,No or almost no direct sunlight (>80% canopy cover),37.052435,-119.19567,7.5,Riffle,No,No,No or almost no direct sunlight (>80% canopy cover),37.05255,-119.195598,4,Inside bend of a stream,No,Low,No or almost no direct sunlight (>80% canopy cover),6.5,Not_Provided,Not_Provided,11.2,15,Not_Provided,Upstream,37.0525,-119.1962,Natural flow (seasonal). Evapotranspiration,Yes,KREW Lower Met (and Upper Met) https://www.fs.usda.gov/rds/archive/Product/RDS-2018-0028 [best quality from KREW; Joe Wagenbrenner can share data]; daily data with less QA/QC from CDEC Shaver Lake (SAV) station at http://cdec.water.ca.gov/dynamicapp/QueryF?s=SAV&end=2019-07-30,No,3,No,Not_Provided,Yes,Free range cattle on Forest. unknown distance; not seen at the time of sampling. ,Yes,pH. turbidity. DOC. TOC. nitrogen (ammonium. nitrate). and others; ,Not yet published; Joe Wagenbrenner is the best source for these ranges,Yes,http://criticalzone.org/sierra/publications/paper-book/; and https://www.fs.fed.us/psw/topics/water/kingsriver/publications_maps.shtml,"-Just below US site. the stream drops subsurface for ~8m. It appears to be due to an intact collapsed bank (that is not soggy nor does it have surface water) but could be through another subsurface channel. Upstream of sites are an old earthenwork dam that has since filled in with a meadow. 
-The DS site is small - ~0.3m2
- Summer storms are highly infrequent at this site. but there was a thunderstorm about 3-4 days before sampling. "
WHONDRS_S19S,S19S_0008,29-Jul-19,15:21,PDT,Univ Cal Merced and USFS PSW Research Station - KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda and Tyler Kappen,Teakettle T003 stream,1,Shaver Lake,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,41,11,36.961273,-119.028254,6,Downstream from obstacles,No,Low,Accessible direct sunlight (20-50% canopy cover),36.961369,-119.028281,22,Downstream from obstacles,No,Low,Accessible direct sunlight (20-50% canopy cover),36.961112,-119.027785,12,Shallow waters near the shore,No,Low,Full sunlight (0-20% canopy cover),6.5,41.1 - may not be correctly calibrated,4.62 - may not be correctly calibrated,12.6,25,Not_Provided,Upstream,36.9608,-119.0274,Natural flow (seasonal). Evapotranspiration,Yes,KREW's Bull Upper Met (Contact Joe Wagenbrenner) for best QA/QC or data available now from CDEC - http://cdec.water.ca.gov/dynamicapp/QueryDaily?s=WSD&d=30-Jul-2019+16:21,Yes,4-Jan,No,Not_Provided,No,Not_Provided,Yes,Turbidity. TOC. TN (ammonium. nitrate),Not_Provided,Yes,https://www.fs.fed.us/psw/topics/water/kingsriver/; and some from https://www.fs.fed.us/psw/topics/water/kingsriver/,Lots of moss. some plants in stream; dense shrubs on banks. --- **! Part of 60 ml syringe broke off in filter; Used syringe from Providence (S19S_0007) and washed 6x in new stream before use. --- DS is ~25-30 m upstream of /weir & 15 m upstream of sediment basin. 
WHONDRS_S19S,S19S_0009,30-Jul-19,15:00,MDT,Stanford University,NA,Zach Perzan. Sharon Bone. Diana Valazquez,Little Wind River,6,Riverton,Wyoming,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),9.96,9.06,42.9875,-108.3982,6,Inside bend of a stream,Low,No,Full sunlight (0-20% canopy cover),42.9876,-108.3983,8,Inside bend of a stream,Low,No,Full sunlight (0-20% canopy cover),42.9877,-108.3983,13,Inside bend of a stream,Low,No,Full sunlight (0-20% canopy cover),8,Not_Provided,Not_Provided,25.6,2000,https://waterdata.usgs.gov/wy/nwis/uv?site_no=06235500,Upstream,42.9975,-108.375417,Natural flow (seasonal),Not_Provided,Not_Provided,Yes,Not_Provided,No,Not_Provided,No,Not_Provided,Yes,Surface and groundwater quality data is available from the DOE-LM GEMS database (https://gems.lm.doe.gov/#site=RVT),"Ca: 50-100 mg/L
Mg: 5-40 mg/L
Mn: 0.001-0.01 mg/L
Mo: 0.001-0.005 mg/L
Fe: 0.05 mg/L
",Not_Provided,Not_Provided,Not_Provided
WHONDRS_S19S,S19S_0010,31-Jul-19,10:14,EDT,Marine Sciences/University of Georgia,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Christof Meile,Altamaha,7,Doctortown,Georgia,USA,Needleleaf evergreen tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),8,8,31.667905,-81.8403,30,At the inside bend of a stream. in shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),31.667835,-81.839976,30,At the inside bend of a stream. in shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),31.667875,-81.840062,30,At the inside bend of a stream. in shallow waters near the shore,Low,No,Full sunlight (0-20% canopy cover),6.7,Not_Provided,Not_Provided,30,1930,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02226000,Upstream,31.6546586,-81.827892,Natural flow (seasonal),Not_Provided,Not_Provided,Yes,4,No,( No dams are directly on the Altamaha. Though some are on the Oconee and the Ocmulgee),Not_Provided,Not_Provided,Yes,USGS: https://waterdata.usgs.gov/ga/nwis/current/?type=quality&group_key=basin_cd; there is also LTER sampling further downstream (https://gce-lter.marsci.uga.edu),Not_Provided,Not_Provided,Not_Provided,Not_Provided
