Sample_ID,slope_of_the_regression,rate_mg_per_L_per_min,rate_mg_per_L_per_h,R_squared,R_squared_adj,p_value,total_incubation_time_min
S19S_0006_SED_INC-U,-0.25,0.25,15.22,1,1,0.001,20
S19S_0007_SED_INC-U,-0.09,0.09,5.26,1,NA,NA,13
S19S_0008_SED_INC-U,-0.08,0.08,4.91,0.98,0.96,0.012,33
S19S_0009_SED_INC-U,-0.12,0.12,7.32,1,NA,NA,15
S19S_0010_SED_INC-U,-0.12,0.12,7.04,0.862,0.724,0.047,30
S19S_0100_SED_INC-U,-0.02,0.02,1.43,0.984,0.981,0.001,101
S19S_0011_SED_INC-U,-0.1,0.1,6.28,1,1,0.0001,21
S19S_0012_SED_INC-U,-0.01,0.01,0.83,0.995,0.993,0.001,109
S19S_0014_SED_INC-U,-0.22,0.22,13.44,0.999,0.998,0.006,22
S19S_0015_SED_INC-U,-0.05,0.05,3.18,0.975,0.963,0.006,59
S19S_0016_SED_INC-U,-0.11,0.11,6.51,0.999,0.997,0.004,28
S19S_0017_SED_INC-U,-0.07,0.07,4.16,0.987,0.981,0.006,37
S19S_0018_SED_INC-U,-0.05,0.05,2.89,0.996,0.994,0.002,65
S19S_0019_SED_INC-U,-0.06,0.06,3.75,0.961,0.941,0.009,47
S19S_0020_SED_INC-U,-0.07,0.07,4.03,0.983,0.975,0.006,42
S19S_0021_SED_INC-U,-0.18,0.18,10.92,1,NA,NA,10
S19S_0022_SED_INC-U,0,0,0.12,0.27,0.166,0.001,180
S19S_0023_SED_INC-U,-0.44,0.44,26.57,1,NA,NA,14
S19S_0025_SED_INC-U,-0.13,0.13,7.68,0.984,0.967,0.017,24
S19S_0026_SED_INC-U,-0.03,0.03,1.85,0.716,0.645,0.01,83
S19S_0027_SED_INC-U,-0.03,0.03,1.95,0.982,0.977,0.002,83
S19S_0028_SED_INC-U,-0.09,0.09,5.29,0.997,0.994,0.005,28
S19S_0029_SED_INC-U,-0.06,0.06,3.58,0.999,0.998,0.001,43
S19S_0030_SED_INC-U,-0.05,0.05,2.87,0.953,0.907,0.011,36
S19S_0031_SED_INC-U,-0.01,0.01,0.39,0.984,0.981,0.0003,123
S19S_0032_SED_INC-U,-0.24,0.24,14.6,1,NA,NA,12
S19S_0033_SED_INC-U,-0.02,0.02,1.23,0.995,0.994,0.001,116
S19S_0034_SED_INC-U,-0.15,0.15,8.76,1,NA,NA,15
S19S_0035_SED_INC-U,-0.06,0.06,3.7,0.958,0.916,0.013,46
S19S_0036_SED_INC-U,-0.1,0.1,5.75,1,1,0.001,29
S19S_0037_SED_INC-U,-0.08,0.08,4.55,0.972,0.959,0.009,38
S19S_0038_SED_INC-U,-0.06,0.06,3.3,0.997,0.996,0.002,57
S19S_0039_SED_INC-U,-0.55,0.55,32.74,1,NA,NA,7
S19S_0041_SED_INC-U,-0.26,0.26,15.66,1,NA,NA,10
S19S_0042_SED_INC-U,-0.27,0.27,16.44,1,NA,NA,15
S19S_0050_SED_INC-U,-0.03,0.03,1.93,0.996,0.995,0.001,105
S19S_0051_SED_INC-U,-0.01,0.01,0.67,0.981,0.974,0.001,88
S19S_0052_SED_INC-U,-0.09,0.09,5.16,0.988,0.976,0.009,32
S19S_0053_SED_INC-U,-0.08,0.08,5.06,0.994,0.989,0.006,31
S19S_0055_SED_INC-U,-0.18,0.18,10.88,1,NA,NA,15
S19S_0059_SED_INC-U,-0.12,0.12,6.92,1,0.999,0.002,27
S19S_0060_SED_INC-U,-0.02,0.02,1.12,0.993,0.992,0.001,111
S19S_0062_SED_INC-U,0,0,0.1,0.491,0.321,0.001,648
S19S_0063_SED_INC-U,-0.01,0.01,0.52,0.836,0.795,0.002,114
S19S_0064_SED_INC-U,-0.13,0.13,7.67,0.989,0.978,0.013,29
S19S_0068_SED_INC-U,-0.01,0.01,0.85,0.991,0.989,0.001,88
S19S_0069_SED_INC-U,-0.01,0.01,0.43,0.534,0.441,0.003,93
S19S_0070_SED_INC-U,-0.02,0.02,1.04,0.979,0.975,0.001,108
S19S_0071_SED_INC-U,-0.09,0.09,5.27,0.987,0.98,0.007,36
S19S_0072_SED_INC-U,-0.11,0.11,6.59,0.985,0.969,0.014,27
S19S_0074_SED_INC-U,-0.03,0.03,1.66,0.973,0.968,0.002,115
S19S_0075_SED_INC-U,-0.01,0.01,0.42,0.619,0.524,0.003,116
S19S_0076_SED_INC-U,-0.12,0.12,7.06,1,NA,NA,13
S19S_0077_SED_INC-U,-0.03,0.03,1.6,0.99,0.988,0.001,115
S19S_0080_SED_INC-U,-0.19,0.19,11.16,1,NA,NA,15
S19S_0081_SED_INC-U,-0.11,0.11,6.42,0.988,0.975,0.012,33
S19S_0082_SED_INC-U,-0.47,0.47,27.96,1,NA,NA,15
S19S_0083_SED_INC-U,-0.4,0.4,23.77,1,NA,NA,13
S19S_0084_SED_INC-U,-0.01,0.01,0.75,0.907,0.884,0.002,112
