Study_Code,Sample_ID,del_2H_permil,2H_standev_permil,del_18O_permil,18O_standev_permil,n_injections,Date_Run
WHONDRS_S19S,S19S_0001_ISO-1,-122.3,0.8,-16.46,0.08,4,20-Nov-19
WHONDRS_S19S,S19S_0003_ISO-1,-140,1.2,-18.75,0.23,4,3-Dec-19
WHONDRS_S19S,S19S_0004_ISO-1,-129.3,1,-17.13,0.2,4,3-Dec-19
WHONDRS_S19S,S19S_0005_ISO-1,-91.5,0.8,-10.22,0.17,4,3-Dec-19
WHONDRS_S19S,S19S_0007_ISO-1,-84.3,0.9,-12.35,0.11,4,20-Nov-19
WHONDRS_S19S,S19S_0008_ISO-1,-86.4,0.7,-12.61,0.21,4,20-Nov-19
WHONDRS_S19S,S19S_0009_ISO-1,-127.9,0.3,-16.86,0.17,4,21-Nov-19
WHONDRS_S19S,S19S_0010_ISO-1,-13.4,0.2,-2.9,0.06,4,3-Dec-19
WHONDRS_S19S,S19S_0011_ISO-1,-20.6,1.4,-4.31,0.04,4,22-Nov-19
WHONDRS_S19S,S19S_0012_ISO-1,-49.8,1.2,-8.05,0.16,4,21-Nov-19
WHONDRS_S19S,S19S_0013_ISO-1,-47.5,0.7,-7.98,0.08,4,21-Nov-19
WHONDRS_S19S,S19S_0014_ISO-1,-49.2,1,-7.9,0.09,4,21-Nov-19
WHONDRS_S19S,S19S_0015_ISO-1,-19.6,0.7,-3.51,0.06,4,21-Nov-19
WHONDRS_S19S,S19S_0016_ISO-1,-38.9,0.4,-6.01,0.13,4,3-Dec-19
WHONDRS_S19S,S19S_0017_ISO-1,-26.9,0.6,-4.57,0.13,4,20-Nov-19
WHONDRS_S19S,S19S_0018_ISO-1,-41.9,0.5,-6.95,0.06,4,22-Nov-19
WHONDRS_S19S,S19S_0019_ISO-1,-34.5,0.7,-6.15,0.12,4,20-Nov-19
WHONDRS_S19S,S19S_0020_ISO-1,-16.6,0.8,-2.62,0.05,4,22-Nov-19
WHONDRS_S19S,S19S_0021_ISO-1,-22,1.4,-3.75,0.06,4,20-Nov-19
