Study_code,Sample_ID,000681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0003_ICR-1,1.27
WHONDRS_S19S,S19S_0003_ICR-2,1.8
WHONDRS_S19S,S19S_0003_ICR-3,1.15
WHONDRS_S19S,S19S_0004_ICR-1,1.96
WHONDRS_S19S,S19S_0004_ICR-2,1.93
WHONDRS_S19S,S19S_0004_ICR-3,1.79
WHONDRS_S19S,S19S_0005_ICR-1,8.37
WHONDRS_S19S,S19S_0005_ICR-2,8.11
WHONDRS_S19S,S19S_0005_ICR-3,8.75
WHONDRS_S19S,S19S_0006_ICR-1,1.43
WHONDRS_S19S,S19S_0006_ICR-2,1.62
WHONDRS_S19S,S19S_0006_ICR-3,1.52
WHONDRS_S19S,S19S_0007_ICR-1,0.93
WHONDRS_S19S,S19S_0007_ICR-2,1.05
WHONDRS_S19S,S19S_0007_ICR-3,1.06
WHONDRS_S19S,S19S_0008_ICR-1,1.87
WHONDRS_S19S,S19S_0008_ICR-2,1.78
WHONDRS_S19S,S19S_0008_ICR-3,1.96
WHONDRS_S19S,S19S_0009_ICR-1,2.25
WHONDRS_S19S,S19S_0009_ICR-2,3.16
WHONDRS_S19S,S19S_0010_ICR-1,2.52
WHONDRS_S19S,S19S_0010_ICR-2,2.26
WHONDRS_S19S,S19S_0010_ICR-3,2.04
WHONDRS_S19S,S19S_0011_ICR-1,3.83
WHONDRS_S19S,S19S_0011_ICR-2,2.64
WHONDRS_S19S,S19S_0011_ICR-3,4.03
WHONDRS_S19S,S19S_0012_ICR-1,1.41
WHONDRS_S19S,S19S_0012_ICR-2,2.02
WHONDRS_S19S,S19S_0012_ICR-3,2.07
WHONDRS_S19S,S19S_0013_ICR-1,1.64
WHONDRS_S19S,S19S_0013_ICR-2,2.21
WHONDRS_S19S,S19S_0013_ICR-3,1.84
WHONDRS_S19S,S19S_0014_ICR-1,0.61
WHONDRS_S19S,S19S_0014_ICR-2,0.83
WHONDRS_S19S,S19S_0014_ICR-3,0.78
WHONDRS_S19S,S19S_0015_ICR-1,1.87
WHONDRS_S19S,S19S_0015_ICR-2,2.7
WHONDRS_S19S,S19S_0015_ICR-3,2.03
WHONDRS_S19S,S19S_0016_ICR-1,1.03
WHONDRS_S19S,S19S_0016_ICR-2,0.98
WHONDRS_S19S,S19S_0016_ICR-3,0.85
WHONDRS_S19S,S19S_0017_ICR-1,2.23
WHONDRS_S19S,S19S_0017_ICR-2,3.53
WHONDRS_S19S,S19S_0017_ICR-3,2.6
WHONDRS_S19S,S19S_0018_ICR-1,0.73
WHONDRS_S19S,S19S_0018_ICR-2,0.48
WHONDRS_S19S,S19S_0018_ICR-3,0.86
WHONDRS_S19S,S19S_0019_ICR-1,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0019_ICR-2,0.46
WHONDRS_S19S,S19S_0019_ICR-3,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0020_ICR-1,4.01
WHONDRS_S19S,S19S_0020_ICR-2,3.09
WHONDRS_S19S,S19S_0020_ICR-3,4.33
WHONDRS_S19S,S19S_0021_ICR-1,1.36
WHONDRS_S19S,S19S_0021_ICR-2,1.49
WHONDRS_S19S,S19S_0021_ICR-3,1.84
WHONDRS_S19S,S19S_0022_ICR-1,1.95
WHONDRS_S19S,S19S_0022_ICR-2,2.39
WHONDRS_S19S,S19S_0022_ICR-3,1.62
WHONDRS_S19S,S19S_0023_ICR-1,3.6
WHONDRS_S19S,S19S_0023_ICR-2,4.76
WHONDRS_S19S,S19S_0023_ICR-3,4.97
WHONDRS_S19S,S19S_0024_ICR-1,0.66
WHONDRS_S19S,S19S_0024_ICR-2,0.65
WHONDRS_S19S,S19S_0024_ICR-3,0.61
WHONDRS_S19S,S19S_0025_ICR-1,1.94
WHONDRS_S19S,S19S_0025_ICR-2,2.23
WHONDRS_S19S,S19S_0025_ICR-3,1.34
