"","contribution","threshold"
"1",15.2882198183149,2
"2",15.7890247438615,3
"3",18.0507798402475,4
"4",22.0142035511205,5
"5",21.1236239078955,6
"6",24.1546577305648,7
"7",22.3887435126873,8
"8",25.4133293867819,9
"9",24.7561161819157,10
"10",25.5075422834124,11
"11",21.9235983162468,12
"12",25.8571390845909,13
"13",21.2485143262339,14
"14",21.6590682897773,15
"15",23.3797365424817,16
"16",27.9229462839442,17
"17",22.8863883783485,18
"18",25.4334664033195,19
"19",25.1135959631069,20
"20",23.8034856255119,21
"21",23.4916584172949,22
"22",21.3215115083979,23
"23",25.6899444287816,24
"24",21.9443215257262,25
"25",22.1556637122915,26
"26",24.2509606913586,27
"27",27.393045284153,28
"28",26.3873446301643,29
"29",24.4769859411732,30
"30",22.8773033380047,31
"31",24.7097205286475,32
"32",24.0095884042465,33
"33",24.1039029961163,34
"34",21.3993191485255,35
"35",25.0000629862513,36
"36",21.9802258292665,37
"37",21.7291512863015,38
"38",20.2017123853289,39
"39",21.0767489708673,40
"40",24.029003993466,41
"41",19.3970538318854,42
"42",21.9751848513449,43
"43",23.3815772888443,44
"44",22.439356346744,45
"45",22.513159259322,46
"46",23.2288728304393,47
"47",23.2143921620362,48
"48",22.6828249163679,49
"49",22.5494561211871,50
"50",21.2341453369144,51
"51",21.9573137472455,52
"52",22.333953251201,53
"53",19.5992341329391,54
"54",21.7318044331457,55
"55",21.6300872576516,56
"56",21.6341173061316,57
"57",22.0432038299573,58
"58",20.8448894781843,59
"59",18.9060598882787,60
"60",20.5464624521508,61
"61",20.0282404749148,62
"62",17.0379184399489,63
"63",21.6372615022057,64
"64",17.9690953205038,65
"65",19.2191488755511,66
"66",19.4602698579715,67
"67",17.9248138172965,68
"68",16.4840648042695,69
"69",17.9841397487564,70
"70",19.7313499707793,71
"71",17.7731737214168,72
"72",15.8772286789884,73
"73",18.7102593085968,74
"74",19.628996537797,75
"75",19.4852389478285,76
"76",17.0179840668734,77
"77",17.1278950130119,78
"78",16.6220909336832,79
"79",14.3043113579975,80
"80",15.5303623002786,81
"81",16.2308884813459,82
"82",16.1618009539388,83
"83",17.271062670958,84
"84",14.9228711051294,85
"85",16.1604211837195,86
"86",13.3972614039367,87
"87",17.3778054621012,88
"88",12.5989947221285,89
"89",11.631384030151,90
"90",11.4000336874538,91
"91",10.0159492336305,92
"92",10.0730128784835,93
"93",9.89038695452363,94
"94",9.25549718453153,95
"95",9.57965591930323,96
"96",7.45985532611803,97
"97",5.70963956500562,98
"98",0.651469269256018,99
"99",0.764256398499727,100
