"","contribution","threshold"
"1",20.8818809123089,2
"2",21.8409511369448,3
"3",27.606565908152,4
"4",23.3037737560314,5
"5",27.4009481942189,6
"6",31.9630244830674,7
"7",26.6982405361496,8
"8",29.1050798122666,9
"9",27.524521699469,10
"10",28.7045947136391,11
"11",31.6035607728831,12
"12",26.735070949913,13
"13",31.8549372003859,14
"14",31.8109894929746,15
"15",33.116533262685,16
"16",28.3587921052063,17
"17",34.4914085308689,18
"18",27.2907551711201,19
"19",30.0799460872158,20
"20",31.3225821970787,21
"21",29.2904052355684,22
"22",29.1489966101015,23
"23",28.932150440512,24
"24",30.2818584098363,25
"25",32.5061609556749,26
"26",27.1626654338512,27
"27",39.3895005024554,28
"28",36.8661239232615,29
"29",38.1793537673477,30
"30",29.5286547994354,31
"31",29.2380115581585,32
"32",33.7459071566614,33
"33",29.1366131370191,34
"34",30.8883422405936,35
"35",32.0077605838935,36
"36",30.6956597082802,37
"37",33.1824402522702,38
"38",30.4412914293232,39
"39",35.6266144038564,40
"40",33.8511154719198,41
"41",33.9580486329308,42
"42",28.7869533421128,43
"43",30.0424025668761,44
"44",33.5278950103047,45
"45",32.4732579507009,46
"46",32.5496511554691,47
"47",34.3499297503311,48
"48",31.273256594422,49
"49",27.7103998202124,50
