"","contribution","threshold"
"1",8.67047401858661,2
"2",10.2165396792611,3
"3",12.2921187399624,4
"4",13.7151828954115,5
"5",16.6712273064027,6
"6",17.7658992652517,7
"7",19.2640259186783,8
"8",20.4797344628591,9
"9",21.4818503239062,10
"10",21.4802317924514,11
"11",21.6917110742239,12
"12",21.4807949361225,13
"13",22.2165391088252,14
"14",22.3748031656076,15
"15",25.270269138241,16
"16",24.226423779544,17
"17",23.9634418298244,18
"18",25.3441611568215,19
"19",26.9643806024643,20
"20",28.2186546959322,21
"21",24.3161644430402,22
"22",24.8662463058552,23
"23",25.4434755750836,24
"24",26.9689214119659,25
"25",28.5716937593768,26
"26",29.935434548257,27
"27",28.4535786949154,28
"28",28.3155882229757,29
"29",26.5584510213018,30
"30",26.8555780459031,31
"31",26.3280462217419,32
"32",23.422346724905,33
"33",30.766402377209,34
"34",28.5315312649556,35
"35",27.808144273304,36
"36",30.0827876057595,37
"37",31.036570240681,38
"38",27.3489676754768,39
"39",25.8011182822977,40
"40",24.1830662613869,41
"41",27.1115644648755,42
"42",31.5032968420561,43
"43",32.177411761269,44
"44",28.1321168904523,45
"45",31.2469196887846,46
"46",31.3495231111918,47
"47",31.1664147313955,48
"48",29.4692298761363,49
"49",29.14096603582,50
