.id,dataset,replicate.merging,rarity.cutoff,sample.type,frequency,percentage,log.freq,loess.5,loess.5.secderiv,Core,In-between,Satellite,,log10,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,ln,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,second derivative of ln data --> ,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,9808,1,9.190953658,8.59199126,-0.001246184,93-100,Nov-92,10-Jan,,,1,3.991580457,3.991580457,3.991580457,3.991580457,3.991580457,3.991580457,3.991580457,3.921496464,3.984244361,3.959659273,3.973091156,4.493594089,,1,9.190953658,9.190953658,9.190953658,9.190953658,9.190953658,9.190953658,9.190953658,9.0295793,9.174061672,9.117452415,9.148380469,10.34688276,,1,0.226519839,0.022447295,0.260078121,0.12805571,-0.052217064,0.030820154,0.039245317,0.29817481,0.494189537,0.895687267,1.264031536,1.702298296
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,2763,2,7.924072325,8.048181782,0.03364325,93-100,Nov-92,10-Jan,,,2,3.441380885,3.441380885,3.441380885,3.441380885,3.441380885,3.441380885,3.53760009,3.551738626,3.469091152,3.508788037,3.601786494,4.158094729,,2,7.924072325,7.924072325,7.924072325,7.924072325,7.924072325,7.924072325,8.145625232,8.178180414,7.987877573,8.079283028,8.293419889,9.574366938,,2,0.226862822,0.1024703,0.319536746,0.212169888,0.075473182,0.046220069,0.037508844,0.252926589,0.381286623,0.570800196,0.666345369,0.692645308
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,1513,3,7.321849714,7.535335101,0.052449977,93-100,Nov-92,10-Jan,,,3,3.179838928,3.179838928,3.179838928,3.179838928,3.179838928,3.179838928,3.280372355,3.201478261,3.179838928,3.169144578,3.185126667,3.849365414,,3,7.321849714,7.321849714,7.321849714,7.321849714,7.321849714,7.321849714,7.553336484,7.371676119,7.321849714,7.297225063,7.334025183,8.86349142,,3,0.164919545,0.199041717,0.241628153,0.252482245,0.248085028,0.061595181,0.035772372,0.207678368,0.268383708,0.245913125,0.068659202,0.01608681
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,986,4,6.893656355,7.074938398,0.071256705,93-100,Nov-92,10-Jan,,,4,2.993876915,2.993876915,2.993876915,2.993876915,2.993876915,2.993876915,3.023740444,2.990232093,2.993876915,2.975622412,2.990287516,3.567388493,,4,6.893656355,6.893656355,6.893656355,6.893656355,6.893656355,6.893656355,6.962419671,6.885263842,6.893656355,6.851623808,6.885391458,8.214215565,,4,0.121835976,0.157596524,0.109233613,0.144763842,0.18639046,0.06153385,0.0340359,0.162430147,0.155480794,0.025601248,0.059864885,0.130627722
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,624,5,6.436150368,6.683420001,0.075793037,93-100,Nov-92,10-Jan,,,5,2.79518459,2.79518459,2.79518459,2.79518459,2.79518459,2.79518459,2.855658846,2.827230935,2.79518459,2.817236467,2.828130013,3.312138528,,5,6.436150369,6.436150369,6.436150369,6.436150369,6.436150369,6.436150369,6.575397489,6.509939805,6.436150369,6.486926692,6.512010009,7.626480801,,5,0.105391652,0.087773367,0.109627598,0.078729924,0.077321499,0.06144123,0.032299427,0.117181926,0.058661129,0.056269835,0.109959754,0.112898906
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,511,6,6.23636959,6.364717618,0.062467229,93-100,Nov-92,10-Jan,,,6,2.7084209,2.7084209,2.7084209,2.7084209,2.7084209,2.7084209,2.721531565,2.702498763,2.7084209,2.693937338,2.70258193,3.083577503,,6,6.23636959,6.23636959,6.23636959,6.23636959,6.23636959,6.23636959,6.266558012,6.222733366,6.23636959,6.203019956,6.222924865,7.100199591,,6,0.066547316,0.060779191,0.049642374,0.059067836,0.060734566,0.061294309,0.030562955,0.071933705,0.042257713,0.086938422,0.079372983,0.004234653
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,399,8,5.988961417,5.901388732,0.035815615,93-100,Nov-92,10-Jan,,,7,2.600972896,2.600972896,2.600972896,2.600972896,2.600972896,2.600972896,2.614029388,2.605461566,2.600972896,2.602096241,2.60545456,2.88164599,,7,5.988961418,5.988961418,5.988961418,5.988961418,5.988961418,5.988961418,6.019025101,5.999296962,5.988961418,5.991548015,5.99928083,6.6352351,,7,0.050964499,0.041198931,0.028554836,0.037877341,0.041725585,0.061045839,0.028826483,0.026685483,0.025854297,0.070577244,0.030856959,0.041345328
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,323,9,5.777652323,5.730098333,0.022416115,93-100,Nov-92,10-Jan,,,8,2.509202522,2.509202522,2.509202522,2.509202522,2.509202522,2.509202522,2.534927215,2.520349703,2.509202522,2.514863605,2.520383092,2.706245635,,8,5.777652322,5.777652322,5.777652322,5.777652322,5.777652322,5.777652322,5.836885617,5.803319655,5.777652322,5.790687448,5.803396536,6.231360857,,8,0.024745592,0.034640981,0.051629471,0.037721466,0.03465087,0.060586491,0.02709001,0.002077299,0.009450881,0.021295231,0.019107177,0.073760438
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,286,10,5.655991811,5.582409632,0.016130115,93-100,Nov-92,10-Jan,,,9,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.460934333,2.455262071,2.456366033,2.452755695,2.455263872,2.557200935,,9,5.655991811,5.655991811,5.655991811,5.655991811,5.655991811,5.655991811,5.66651071,5.653449844,5.655991811,5.6476787,5.653453991,5.888172753,,9,0.013547018,0.015203902,0.015368215,0.015902772,0.015200536,0.059611152,0.025353538,0.004989163,0.002450602,-0.027986782,0.021144737,0.00533885
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,251,11,5.525452939,5.450851046,0.009844114,93-100,Nov-92,10-Jan,,,10,2.399673721,2.399673721,2.399673721,2.399673721,2.399673721,2.399673721,2.39131036,2.39837819,2.399673721,2.401318769,2.39837898,2.434163281,,10,5.525452938,5.525452938,5.525452938,5.525452938,5.525452938,5.525452938,5.506195588,5.522469868,5.525452938,5.529240801,5.522471687,5.604868085,,10,0.012452238,-0.006592649,-0.021466937,-0.013738758,-0.006554828,0.056917573,0.023617066,0.007901027,0.014256597,-0.009786073,0.001510778,-0.027471036
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,218,12,5.384495063,5.330230053,0.010118986,93-100,Nov-92,10-Jan,,,11,2.338456494,2.338456494,2.338456494,2.338456494,2.338456494,2.338456494,2.331372859,2.331474458,2.338456494,2.331041094,2.331479218,2.336311058,,11,5.384495064,5.384495064,5.384495064,5.384495064,5.384495064,5.384495064,5.368184391,5.368418332,5.384495064,5.367420474,5.368429292,5.379555015,,11,0.01411336,-0.002251963,-0.006350495,-0.008985723,-0.00221425,0.054164765,0.021880593,0.010812891,0.026062593,0.017412332,-0.030506906,-0.021929857
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,179,13,5.187385806,5.219961211,0.011792847,93-100,Nov-92,10-Jan,,,12,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.269325259,2.264954073,2.252853031,2.263907267,2.264987965,2.260956878,,12,5.187385806,5.187385806,5.187385806,5.187385806,5.187385806,5.187385806,5.225314513,5.215249485,5.187385806,5.212839125,5.215327524,5.206045603,,12,0.020384861,0.025206137,0.023080938,0.02741756,0.025351314,0.033604825,0.020144121,0.013724755,0.037868588,0.038881057,0.001425476,0.024392153
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,162,14,5.087596335,5.121485217,0.013466708,93-100,Nov-92,10-Jan,,,13,2.209515015,2.209515015,2.209515015,2.209515015,2.209515015,2.209515015,2.226328801,2.203774786,2.209515015,2.193716694,2.203848019,2.209515015,,13,5.087596336,5.087596336,5.087596336,5.087596336,5.087596336,5.087596336,5.126311509,5.074378971,5.087596336,5.051219358,5.074547596,5.087596336,,13,0.022376957,0.045601372,0.059935078,0.054575631,0.045451356,0.058700066,0.018407649,0.016636619,0.033657742,0.033611272,0.086649579,0.077115344
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,140,15,4.941642423,5.03559672,0.009865305,93-100,Nov-92,10-Jan,,,14,2.146128036,2.146128036,2.146128036,2.146128036,2.146128036,2.146128036,2.182752289,2.1753175,2.146128036,2.174124945,2.175636694,2.146128036,,14,4.941642423,4.941642423,4.941642423,4.941642423,4.941642423,4.941642423,5.025972882,5.008853648,4.941642423,5.006107689,5.009588619,4.941642423,,14,0.022650037,0.033835214,0.046725721,0.037748377,0.033455709,0.05139067,0.016671176,0.019548483,0.013430054,0.028341488,0.083613384,0.064207454
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,153,16,5.030437921,4.959573529,0.006263902,93-100,Nov-92,10-Jan,,,15,2.184691431,2.184691431,2.184691431,2.184691431,2.184691431,2.184691431,2.1601575,2.155292811,2.184691431,2.151199875,2.155173912,2.184691431,,15,5.030437922,5.030437922,5.030437922,5.030437922,5.030437922,5.030437922,4.973946458,4.962745098,5.030437922,4.953320764,4.962471323,5.030437922,,15,0.001262196,0.007033163,-0.011506456,0.010772781,0.007245382,-0.011506456,0.014934704,0.015524413,-0.006797635,0.013018445,-0.02533517,0.015478337
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,132,17,4.882801923,4.889595002,0.001347076,93-100,Nov-92,10-Jan,,,16,2.120573931,2.120573931,2.120573931,2.120573931,2.120573931,2.120573931,2.135526463,2.144458715,2.120573931,2.14991827,2.144403942,2.120573931,,16,4.882801922,4.882801922,4.882801922,4.882801922,4.882801922,4.882801922,4.917231399,4.93779867,4.882801922,4.95036976,4.93767255,4.882801922,,16,-0.013345386,-0.029434448,-0.004985094,-0.037999771,-0.028318499,-0.004985094,0.013198232,0.010344354,-0.027025323,-0.013614513,-0.076099011,-0.094146863
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,138,18,4.927253685,4.821811748,0.001519425,93-100,Nov-92,10-Jan,,,17,2.139879086,2.139879086,2.139879086,2.139879086,2.139879086,2.139879086,2.096178857,2.119028692,2.139879086,2.127397294,2.119086323,2.139879086,,17,4.927253684,4.927253684,4.927253684,4.927253684,4.927253684,4.927253684,4.826630188,4.879243878,4.927253684,4.898513296,4.879376578,4.927253684,,17,0.003025926,-0.041018024,-0.08385827,-0.056967806,-0.037351264,-0.08385827,0.011461759,0.005164295,-0.020866385,-0.040247471,-0.025039605,-0.055173875
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,122,19,4.804021045,4.755547918,0.001691775,93-100,Nov-92,10-Jan,,,18,2.086359831,2.086359831,2.086359831,2.086359831,2.086359831,2.086359831,2.065117327,2.062467055,2.086359831,2.059699232,2.063976918,2.086359831,,18,4.804021045,4.804021045,4.804021045,4.804021045,4.804021045,4.804021045,4.755108372,4.749005896,4.804021045,4.742632748,4.752482484,4.804021045,,18,-0.002032156,0.00720508,-0.013102833,0.012551026,0.006255179,-0.013102833,0.009725287,-1.58E-05,-0.001514134,-0.022065512,0.015780149,0.058098207
