".id","dataset","rep.merged","rarity.cutoff","sample.type","frequency","occupancy","percentage"
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",8169,1,1
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",2802,2,2
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",1716,3,3
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",1123,4,4
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",841,5,5
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",626,6,6
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",519,7,7
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",442,8,8
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",334,9,9
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",304,10,11
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",274,11,12
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",228,12,13
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",201,13,14
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",207,14,15
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",172,15,16
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",162,16,17
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",168,17,18
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",153,18,19
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",149,19,20
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",95,20,21
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",106,21,22
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",106,22,23
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",113,23,24
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",86,24,25
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",88,25,26
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",87,26,27
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",72,27,28
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",90,28,29
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",71,29,31
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",84,30,32
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",71,31,33
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",72,32,34
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",76,33,35
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",59,34,36
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",49,35,37
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",56,36,38
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",52,37,39
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",46,38,40
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",48,39,41
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",38,40,42
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",52,41,43
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",40,42,44
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",37,43,45
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",64,44,46
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",43,45,47
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",38,46,48
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",37,47,49
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",48,48,51
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",40,49,52
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",40,50,53
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",38,51,54
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",35,52,55
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",41,53,56
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",41,54,57
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",29,55,58
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",36,56,59
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",25,57,60
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",33,58,61
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",25,59,62
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",36,60,63
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",26,61,64
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",40,62,65
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",31,63,66
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",30,64,67
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",32,65,68
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",34,66,69
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",31,67,71
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",31,68,72
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",35,69,73
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",41,70,74
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",42,71,75
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",30,72,76
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",34,73,77
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",29,74,78
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",47,75,79
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",42,76,80
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",29,77,81
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",44,78,82
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",37,79,83
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",47,80,84
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",44,81,85
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",39,82,86
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",52,83,87
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",50,84,88
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",44,85,89
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",75,86,91
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",66,87,92
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",65,88,93
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",69,89,94
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",81,90,95
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",96,91,96
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",116,92,97
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",198,93,98
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",287,94,99
"mf_rep.merged1_all_water","molecular.formulae","rep.merged1","all","water",642,95,100
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",9808,1,1
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",2763,2,2
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",1513,3,3
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",986,4,4
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",624,5,5
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",511,6,6
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",399,7,8
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",323,8,9
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",286,9,10
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",251,10,11
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",218,11,12
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",179,12,13
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",162,13,14
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",140,14,15
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",153,15,16
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",132,16,17
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",138,17,18
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",122,18,19
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",89,19,20
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",107,20,22
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",96,21,23
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",81,22,24
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",85,23,25
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",74,24,26
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",81,25,27
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",61,26,28
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",75,27,29
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",46,28,30
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",49,29,31
"mf_rep.merged1_all_sed","molecular.formulae","rep.merged1","all","sed",64,30,32
