"Mass","MolForm"
"200.002276","C7H7O4NS"
"200.0564158","C8H11O5N"
"200.0565393","C8H11O5N"
"200.0677581","C7H11O4N3"
"200.092796","C9H15O4N"
"200.1291723","C10H19O3N"
"200.1292836","C10H19O3N"
"200.9238455","C6H3O2S2P"
"200.9321855","C6H2O4S2"
"200.9417675","C6H3O4SP"
"200.9858713","C9H3O2N2P"
"200.9862886","C7H6O5S"
"201.0226766","C8H10O4S"
"201.0404313","C8H10O6"
"201.040544","C8H10O6"
"201.0556834","C12H10O3"
"201.0768122","C9H14O5"
"201.0880418","C8H14O4N2"
"201.0881471","C8H14O4N2"
"201.092049","C13H14O2"
"201.1131969","C10H18O4"
"201.1244179","C9H18O3N2"
"201.1245236","C9H18O3N2"
"201.1318649","C11H22OS"
"201.1495782","C11H22O3"
"201.1496819","C11H22O3"
"201.9751233","C5H5O2N3S2"
"202.0080296","C9H5ON3S"
"202.010534","C5H5O6N3"
"202.0176368","C9H6ON3P"
"202.0357055","C7H9O6N"
"202.0509123","C11H9O3N"
"202.0510435","C11H9O3N"
"202.0720568","C8H13O5N"
"202.1084386","C9H17O4N"
"202.108568","C9H17O4N"
"202.9807954","C10H4O3S"
"203.0019245","C7H8O5S"
"203.0349506","C11H8O4"
"203.0379632","C10H9ON2P"
"203.0383395","C8H12O4S"
"203.0462121","C10H8O3N2"
"203.0560881","C8H12O6"
"203.0573708","C9H8O2N4"
"203.0713203","C12H12O3"
"203.0714368","C12H12O3"
"203.0825593","C11H12O2N2"
"203.0924536","C9H16O5"
"203.092591","C9H16O5"
"203.1036868","C8H16O4N2"
"203.1037892","C8H16O4N2"
"203.1077255","C13H16O2"
"203.1111343","C10H20O2S"
"203.1288378","C10H20O4"
"203.128965","C10H20O4"
"203.9525941","C5H4O4NSP"
"204.0302084","C10H7O4N"
"204.030319","C10H7O4N"
"204.0665886","C11H11O3N"
"204.0778744","C10H11O2N3"
"204.0877178","C8H15O5N"
"205.0059498","C10H7O3P"
"205.0142188","C10H6O5"
"205.0175843","C7H10O5S"
"205.0254303","C9H6O4N2"
"205.0329284","C11H10O2S"
"205.0353238","C7H10O7"
"205.0424755","C11H11O2P"
"205.0466031","C6H10O6N2"
"205.0505947","C11H10O4"
"205.0539743","C8H14O4S"
"205.0618278","C10H10O3N2"
"205.0651654","C7H14O3N2S"
"205.0717289","C8H14O6"
"205.0718557","C8H14O6"
"205.086978","C12H14O3"
"205.090333","C9H18O3S"
"205.1081166","C9H18O5"
"205.1233352","C13H18O2"
"205.1234533","C13H18O2"
"205.1267402","C10H22O2S"
"205.1597578","C14H22O"
"205.9764705","C5H5O6NS"
"206.0011666","C9H6O3NP"
"206.0094487","C9H5O5N"
"206.0095769","C9H5O5N"
"206.049162","C7H13O4NS"
"206.0571092","C9H9O3N3"
"206.0782317","C6H13O5N3"
"206.0822311","C11H13O3N"
"206.0823465","C11H13O3N"
