MolForm,Class,Group,cs.flag.emergent_sed,cs.flag.emergent_water,cs.flag.emergent_overlap,cs.flag.emergent_general.overlap
C10H10O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H10O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O5N2,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O7,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H13O6N,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O5S,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O7,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H16O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H16O6,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H16O7,Carb,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H18O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H18O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H8O6,Lignin,Phenols,Core,Core,Global core,Global core
C10H9O11N2S2P,Other,Sugars,Core,Core,Global core,Global core
C11H10O6,Lignin,Phenols,Core,Core,Global core,Global core
C11H10O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H11O11N2S2P,Tannin,Sugars,Core,Core,Global core,Global core
C11H12O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
