num.trans.involved.in,sample,peak
26,Sample_S19S_0039_ICR.2_p05,200.056410707123
23,Sample_S19S_0039_ICR.2_p05,200.092793620269
33,Sample_S19S_0039_ICR.2_p05,201.022673052819
52,Sample_S19S_0039_ICR.2_p05,201.040428838913
55,Sample_S19S_0039_ICR.2_p05,201.076810098263
43,Sample_S19S_0039_ICR.2_p05,201.113195172137
5,Sample_S19S_0039_ICR.2_p05,202.978201503041
33,Sample_S19S_0039_ICR.2_p05,203.034942243798
45,Sample_S19S_0039_ICR.2_p05,203.056087175222
8,Sample_S19S_0039_ICR.2_p05,203.071310176779
21,Sample_S19S_0039_ICR.2_p05,203.092450934021
16,Sample_S19S_0039_ICR.2_p05,203.128835679735
33,Sample_S19S_0039_ICR.2_p05,204.030201690108
42,Sample_S19S_0039_ICR.2_p05,205.014214790356
42,Sample_S19S_0039_ICR.2_p05,205.050592070528
47,Sample_S19S_0039_ICR.2_p05,205.07172701245
23,Sample_S19S_0039_ICR.2_p05,205.086972572717
33,Sample_S19S_0039_ICR.2_p05,205.108112452884
12,Sample_S19S_0039_ICR.2_p05,205.159754840765
28,Sample_S19S_0039_ICR.2_p05,206.082230866317
57,Sample_S19S_0039_ICR.2_p05,207.029868673445
6,Sample_S19S_0039_ICR.2_p05,207.042885885127
54,Sample_S19S_0039_ICR.2_p05,207.06624596926
32,Sample_S19S_0039_ICR.2_p05,207.102625698725
28,Sample_S19S_0039_ICR.2_p05,208.025121187784
34,Sample_S19S_0039_ICR.2_p05,208.061503987212
38,Sample_S19S_0039_ICR.2_p05,209.009117772669
51,Sample_S19S_0039_ICR.2_p05,209.045506696072
21,Sample_S19S_0039_ICR.2_p05,209.058570606985
52,Sample_S19S_0039_ICR.2_p05,209.081895718056
30,Sample_S19S_0039_ICR.2_p05,209.118289802436
29,Sample_S19S_0039_ICR.2_p05,210.040758916259
24,Sample_S19S_0039_ICR.2_p05,210.07713778998
67,Sample_S19S_0039_ICR.2_p05,211.02478471976
66,Sample_S19S_0039_ICR.2_p05,211.06116880944
9,Sample_S19S_0039_ICR.2_p05,211.072388845418
49,Sample_S19S_0039_ICR.2_p05,211.097551070932
38,Sample_S19S_0039_ICR.2_p05,211.13393101925
18,Sample_S19S_0039_ICR.2_p05,212.02001348138
31,Sample_S19S_0039_ICR.2_p05,212.056420714086
21,Sample_S19S_0039_ICR.2_p05,212.092815140363
46,Sample_S19S_0039_ICR.2_p05,213.004051210128
5,Sample_S19S_0039_ICR.2_p05,213.015273001507
32,Sample_S19S_0039_ICR.2_p05,213.02267160546
57,Sample_S19S_0039_ICR.2_p05,213.040425518814
28,Sample_S19S_0039_ICR.2_p05,213.055710294408
22,Sample_S19S_0039_ICR.2_p05,213.059070662214
61,Sample_S19S_0039_ICR.2_p05,213.076819070186
43,Sample_S19S_0039_ICR.2_p05,213.113206317355
1,Sample_S19S_0039_ICR.2_p05,214.012320405221
22,Sample_S19S_0039_ICR.2_p05,214.035666655274
13,Sample_S19S_0039_ICR.2_p05,214.050928469246
26,Sample_S19S_0039_ICR.2_p05,214.072071067175
18,Sample_S19S_0039_ICR.2_p05,214.108463693421
26,Sample_S19S_0039_ICR.2_p05,215.001930538766
28,Sample_S19S_0039_ICR.2_p05,215.019680811565
21,Sample_S19S_0039_ICR.2_p05,215.034941257725
39,Sample_S19S_0039_ICR.2_p05,215.03833579468
57,Sample_S19S_0039_ICR.2_p05,215.056074556911
56,Sample_S19S_0039_ICR.2_p05,215.092465854504
24,Sample_S19S_0039_ICR.2_p05,215.128838604093
23,Sample_S19S_0039_ICR.2_p05,216.051319403898
27,Sample_S19S_0039_ICR.2_p05,216.087722821679
15,Sample_S19S_0039_ICR.2_p05,216.981199649167
9,Sample_S19S_0039_ICR.2_p05,217.035313089569
15,Sample_S19S_0039_ICR.2_p05,217.050582012332
60,Sample_S19S_0039_ICR.2_p05,217.071737794368
12,Sample_S19S_0039_ICR.2_p05,217.087091324627
49,Sample_S19S_0039_ICR.2_p05,217.10811039195
47,Sample_S19S_0039_ICR.2_p05,219.029878764907
14,Sample_S19S_0039_ICR.2_p05,219.033209070583
33,Sample_S19S_0039_ICR.2_p05,219.042946664758
40,Sample_S19S_0039_ICR.2_p05,219.050992241057
29,Sample_S19S_0039_ICR.2_p05,219.066238395282
17,Sample_S19S_0039_ICR.2_p05,219.079302894106
59,Sample_S19S_0039_ICR.2_p05,219.087384410024
16,Sample_S19S_0039_ICR.2_p05,219.102621104449
35,Sample_S19S_0039_ICR.2_p05,219.123765384076
10,Sample_S19S_0039_ICR.2_p05,220.025087117255
13,Sample_S19S_0039_ICR.2_p05,220.061477415405
5,Sample_S19S_0039_ICR.2_p05,220.991334803424
29,Sample_S19S_0039_ICR.2_p05,221.009122926458
9,Sample_S19S_0039_ICR.2_p05,221.02217029652
50,Sample_S19S_0039_ICR.2_p05,221.045516913154
30,Sample_S19S_0039_ICR.2_p05,221.048880568953
30,Sample_S19S_0039_ICR.2_p05,221.05858435295
24,Sample_S19S_0039_ICR.2_p05,221.081883728139
35,Sample_S19S_0039_ICR.2_p05,221.118283113721
16,Sample_S19S_0039_ICR.2_p05,222.040744747377
28,Sample_S19S_0039_ICR.2_p05,222.077137728217
4,Sample_S19S_0039_ICR.2_p05,222.090202464793
59,Sample_S19S_0039_ICR.2_p05,223.024790529843
31,Sample_S19S_0039_ICR.2_p05,223.028174126944
24,Sample_S19S_0039_ICR.2_p05,223.037849469061
2,Sample_S19S_0039_ICR.2_p05,223.040014184403
8,Sample_S19S_0039_ICR.2_p05,223.05562474733
33,Sample_S19S_0039_ICR.2_p05,223.061149718979
26,Sample_S19S_0039_ICR.2_p05,223.06453679652
14,Sample_S19S_0039_ICR.2_p05,223.072394073475
21,Sample_S19S_0039_ICR.2_p05,223.074225591272
45,Sample_S19S_0039_ICR.2_p05,223.097555728747
34,Sample_S19S_0039_ICR.2_p05,223.133951763464
16,Sample_S19S_0039_ICR.2_p05,224.020009559615
41,Sample_S19S_0039_ICR.2_p05,224.056421158355
10,Sample_S19S_0039_ICR.2_p05,224.092778003724
18,Sample_S19S_0039_ICR.2_p05,224.986278156772
24,Sample_S19S_0039_ICR.2_p05,225.004029495297
24,Sample_S19S_0039_ICR.2_p05,225.022667457797
84,Sample_S19S_0039_ICR.2_p05,225.040446255389
18,Sample_S19S_0039_ICR.2_p05,225.051659163471
27,Sample_S19S_0039_ICR.2_p05,225.053508655386
26,Sample_S19S_0039_ICR.2_p05,225.05571160378
61,Sample_S19S_0039_ICR.2_p05,225.076815039674
25,Sample_S19S_0039_ICR.2_p05,225.113183674912
27,Sample_S19S_0039_ICR.2_p05,225.149603167358
28,Sample_S19S_0039_ICR.2_p05,226.035675349069
39,Sample_S19S_0039_ICR.2_p05,226.072074666783
17,Sample_S19S_0039_ICR.2_p05,227.00192275215
