num.trans.involved.in,sample,peak
17,Sample_S19S_0055_Sed_Field_ICR.U_P2,200.092793620269
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,200.875657834751
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,200.932185461006
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,200.937945233533
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,200.989183484015
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,201.040428838913
35,Sample_S19S_0055_Sed_Field_ICR.U_P2,201.076810098263
39,Sample_S19S_0055_Sed_Field_ICR.U_P2,201.113195172137
22,Sample_S19S_0055_Sed_Field_ICR.U_P2,201.149579288076
11,Sample_S19S_0055_Sed_Field_ICR.U_P2,202.072054804489
8,Sample_S19S_0055_Sed_Field_ICR.U_P2,202.108438205863
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,202.978201503041
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,203.056087175222
18,Sample_S19S_0055_Sed_Field_ICR.U_P2,203.092450934021
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,203.128835679735
11,Sample_S19S_0055_Sed_Field_ICR.U_P2,204.066586226042
14,Sample_S19S_0055_Sed_Field_ICR.U_P2,205.050592070528
28,Sample_S19S_0055_Sed_Field_ICR.U_P2,205.07172701245
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,207.012105733802
23,Sample_S19S_0055_Sed_Field_ICR.U_P2,207.029868673445
24,Sample_S19S_0055_Sed_Field_ICR.U_P2,207.102625698725
7,Sample_S19S_0055_Sed_Field_ICR.U_P2,208.025121187784
18,Sample_S19S_0055_Sed_Field_ICR.U_P2,208.097888012139
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,208.934578310206
10,Sample_S19S_0055_Sed_Field_ICR.U_P2,209.009117772669
23,Sample_S19S_0055_Sed_Field_ICR.U_P2,209.045506696072
35,Sample_S19S_0055_Sed_Field_ICR.U_P2,209.081895718056
31,Sample_S19S_0055_Sed_Field_ICR.U_P2,209.118289802436
24,Sample_S19S_0055_Sed_Field_ICR.U_P2,209.154678803219
12,Sample_S19S_0055_Sed_Field_ICR.U_P2,210.040758916259
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,210.841804656347
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,210.842293881469
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,210.931657345009
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,211.02478471976
39,Sample_S19S_0055_Sed_Field_ICR.U_P2,211.06116880944
39,Sample_S19S_0055_Sed_Field_ICR.U_P2,211.097551070932
31,Sample_S19S_0055_Sed_Field_ICR.U_P2,211.13393101925
5,Sample_S19S_0055_Sed_Field_ICR.U_P2,212.02001348138
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,212.838810107571
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,212.874290777643
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,213.015273001507
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,213.016929471026
39,Sample_S19S_0055_Sed_Field_ICR.U_P2,213.076819070186
42,Sample_S19S_0055_Sed_Field_ICR.U_P2,213.113206317355
27,Sample_S19S_0055_Sed_Field_ICR.U_P2,213.149579962588
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,214.050928469246
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,214.072071067175
18,Sample_S19S_0055_Sed_Field_ICR.U_P2,214.108463693421
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,214.883893727542
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,214.886892900766
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.001930538766
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.004832795528
11,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.032760585192
29,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.056074556911
38,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.092465854504
25,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.128838604093
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,215.165236723624
12,Sample_S19S_0055_Sed_Field_ICR.U_P2,216.124088710321
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,216.932857933264
33,Sample_S19S_0055_Sed_Field_ICR.U_P2,217.071737794368
41,Sample_S19S_0055_Sed_Field_ICR.U_P2,217.10811039195
16,Sample_S19S_0055_Sed_Field_ICR.U_P2,218.103365697504
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,218.986163445727
7,Sample_S19S_0055_Sed_Field_ICR.U_P2,219.077485772901
38,Sample_S19S_0055_Sed_Field_ICR.U_P2,219.087384410024
18,Sample_S19S_0055_Sed_Field_ICR.U_P2,219.139020271616
8,Sample_S19S_0055_Sed_Field_ICR.U_P2,220.097901146238
6,Sample_S19S_0055_Sed_Field_ICR.U_P2,220.146852171581
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,220.998674877554
9,Sample_S19S_0055_Sed_Field_ICR.U_P2,221.081883728139
4,Sample_S19S_0055_Sed_Field_ICR.U_P2,221.121668666253
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,221.154671998225
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,222.090202464793
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,222.950237849255
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,222.995729428665
21,Sample_S19S_0055_Sed_Field_ICR.U_P2,223.024790529843
13,Sample_S19S_0055_Sed_Field_ICR.U_P2,223.061149718979
17,Sample_S19S_0055_Sed_Field_ICR.U_P2,223.074225591272
34,Sample_S19S_0055_Sed_Field_ICR.U_P2,223.097555728747
35,Sample_S19S_0055_Sed_Field_ICR.U_P2,223.133951763464
18,Sample_S19S_0055_Sed_Field_ICR.U_P2,224.056421158355
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,224.842640281352
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,224.947307783165
5,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.004029495297
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.040446255389
6,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.05571160378
43,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.076815039674
16,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.113183674912
34,Sample_S19S_0055_Sed_Field_ICR.U_P2,225.149603167358
25,Sample_S19S_0055_Sed_Field_ICR.U_P2,226.072074666783
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.032598039583
31,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.056075931925
39,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.092460363449
10,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.103705651725
42,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.128864986386
7,Sample_S19S_0055_Sed_Field_ICR.U_P2,227.140095627189
5,Sample_S19S_0055_Sed_Field_ICR.U_P2,228.051307419995
14,Sample_S19S_0055_Sed_Field_ICR.U_P2,228.160505430471
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,229.024891069596
35,Sample_S19S_0055_Sed_Field_ICR.U_P2,229.071735363669
38,Sample_S19S_0055_Sed_Field_ICR.U_P2,229.108108433147
38,Sample_S19S_0055_Sed_Field_ICR.U_P2,229.144513444451
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,229.1809105192
13,Sample_S19S_0055_Sed_Field_ICR.U_P2,230.103392527287
17,Sample_S19S_0055_Sed_Field_ICR.U_P2,230.139762264414
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,230.848892701744
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,230.929827748688
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,230.979114648638
6,Sample_S19S_0055_Sed_Field_ICR.U_P2,231.033262507976
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,231.051010350489
15,Sample_S19S_0055_Sed_Field_ICR.U_P2,231.079328573378
34,Sample_S19S_0055_Sed_Field_ICR.U_P2,231.087380141088
20,Sample_S19S_0055_Sed_Field_ICR.U_P2,231.12375032555
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,232.845956435835
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,232.924679288945
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,232.990627067556
19,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.045528852543
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.056189888473
17,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.058587458134
32,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.103046124965
5,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.121667826088
19,Sample_S19S_0055_Sed_Field_ICR.U_P2,233.154678978628
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,234.063259271264
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,234.868807533523
4,Sample_S19S_0055_Sed_Field_ICR.U_P2,234.913672716971
4,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.047282292678
32,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.061184947446
17,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.074237858228
27,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.097568690063
26,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.133937382256
2,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.137334462476
34,Sample_S19S_0055_Sed_Field_ICR.U_P2,235.170346312846
3,Sample_S19S_0055_Sed_Field_ICR.U_P2,236.105376530346
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,236.865836493661
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,236.965892381224
24,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.040440209135
8,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.05348276476
35,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.076832479136
22,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.089878679537
40,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.11322070115
36,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.149605051601
1,Sample_S19S_0055_Sed_Field_ICR.U_P2,237.632740295316
6,Sample_S19S_0055_Sed_Field_ICR.U_P2,238.035670257161
25,Sample_S19S_0055_Sed_Field_ICR.U_P2,238.07206527484
5,Sample_S19S_0055_Sed_Field_ICR.U_P2,238.08515435741
