num.trans.involved.in,sample,peak
33,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,200.056410707123
35,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,200.092793620269
15,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,200.12917087167
4,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,200.937945233533
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,200.989183484015
3,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.022673052819
43,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.040428838913
53,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.076810098263
10,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.088041921021
50,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.113195172137
28,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,201.149579288076
24,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,202.072054804489
17,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,202.108438205863
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,202.802472080782
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,202.828283118342
41,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,203.056087175222
22,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,203.092450934021
24,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,203.128835679735
18,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,204.066586226042
25,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,205.014214790356
27,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,205.050592070528
46,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,205.07172701245
18,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,205.086972572717
41,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,205.108112452884
22,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,206.082230866317
41,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.029868673445
5,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.042885885127
41,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.06624596926
6,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.069611816631
27,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.102625698725
25,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,207.139024306421
17,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,208.025121187784
29,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,208.061503987212
5,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,208.074570500613
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,208.934578310206
21,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.009117772669
36,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.045506696072
25,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.058570606985
41,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.081895718056
32,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.118289802436
25,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,209.154678803219
26,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,210.040758916259
5,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,210.071610080125
26,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,210.07713778998
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,210.842293881469
1,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,210.845205187498
53,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,211.02478471976
12,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,211.036011762215
7,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,211.05561715408
57,Sample_S19S_0056_Sed_Field_ICR.M_P2_2,211.06116880944
