num.trans.involved.in,sample,peak
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,200.04834725243
14,Sample_S19S_0090_Sed_Field_ICR.D_P2,200.12917087167
2,Sample_S19S_0090_Sed_Field_ICR.D_P2,200.937945233533
31,Sample_S19S_0090_Sed_Field_ICR.D_P2,201.040428838913
42,Sample_S19S_0090_Sed_Field_ICR.D_P2,201.076810098263
39,Sample_S19S_0090_Sed_Field_ICR.D_P2,201.113195172137
7,Sample_S19S_0090_Sed_Field_ICR.D_P2,201.124417784829
22,Sample_S19S_0090_Sed_Field_ICR.D_P2,201.149579288076
14,Sample_S19S_0090_Sed_Field_ICR.D_P2,202.108438205863
3,Sample_S19S_0090_Sed_Field_ICR.D_P2,202.978201503041
18,Sample_S19S_0090_Sed_Field_ICR.D_P2,203.034942243798
29,Sample_S19S_0090_Sed_Field_ICR.D_P2,203.056087175222
21,Sample_S19S_0090_Sed_Field_ICR.D_P2,203.092450934021
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,203.103686730626
21,Sample_S19S_0090_Sed_Field_ICR.D_P2,203.128835679735
23,Sample_S19S_0090_Sed_Field_ICR.D_P2,205.014214790356
23,Sample_S19S_0090_Sed_Field_ICR.D_P2,205.050592070528
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,205.07172701245
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,207.029868673445
6,Sample_S19S_0090_Sed_Field_ICR.D_P2,208.074570500613
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,208.788972111881
22,Sample_S19S_0090_Sed_Field_ICR.D_P2,209.009117772669
29,Sample_S19S_0090_Sed_Field_ICR.D_P2,209.045506696072
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,209.081895718056
20,Sample_S19S_0090_Sed_Field_ICR.D_P2,209.154678803219
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,210.842293881469
45,Sample_S19S_0090_Sed_Field_ICR.D_P2,211.02478471976
46,Sample_S19S_0090_Sed_Field_ICR.D_P2,211.06116880944
38,Sample_S19S_0090_Sed_Field_ICR.D_P2,211.097551070932
24,Sample_S19S_0090_Sed_Field_ICR.D_P2,211.13393101925
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,212.02001348138
30,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.004051210128
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.015273001507
39,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.040425518814
42,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.076819070186
33,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.113206317355
7,Sample_S19S_0090_Sed_Field_ICR.D_P2,213.124440331502
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,214.050928469246
10,Sample_S19S_0090_Sed_Field_ICR.D_P2,214.108463693421
13,Sample_S19S_0090_Sed_Field_ICR.D_P2,214.144825800491
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,214.883893727542
16,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.019680811565
8,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.032760585192
35,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.056074556911
41,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.092465854504
25,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.128838604093
12,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.140078624459
15,Sample_S19S_0090_Sed_Field_ICR.D_P2,215.165236723624
16,Sample_S19S_0090_Sed_Field_ICR.D_P2,216.124088710321
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,216.932857933264
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,217.050711774966
36,Sample_S19S_0090_Sed_Field_ICR.D_P2,217.071737794368
43,Sample_S19S_0090_Sed_Field_ICR.D_P2,217.10811039195
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,217.119334830102
12,Sample_S19S_0090_Sed_Field_ICR.D_P2,218.103365697504
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,218.986163445727
31,Sample_S19S_0090_Sed_Field_ICR.D_P2,219.029878764907
41,Sample_S19S_0090_Sed_Field_ICR.D_P2,219.087384410024
3,Sample_S19S_0090_Sed_Field_ICR.D_P2,219.09859476015
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,220.146852171581
23,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.009122926458
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.045516913154
24,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.05858435295
11,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.081883728139
5,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.0931468679
15,Sample_S19S_0090_Sed_Field_ICR.D_P2,221.154671998225
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,222.090202464793
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,222.950237849255
36,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.024790529843
17,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.061149718979
14,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.074225591272
6,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.093558661204
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.097555728747
28,Sample_S19S_0090_Sed_Field_ICR.D_P2,223.133951763464
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,224.087265091976
2,Sample_S19S_0090_Sed_Field_ICR.D_P2,224.947307783165
15,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.004029495297
50,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.040446255389
22,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.053508655386
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.071294093776
45,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.076815039674
13,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.113183674912
27,Sample_S19S_0090_Sed_Field_ICR.D_P2,225.149603167358
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,226.822534399096
21,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.019686077275
42,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.056075931925
40,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.092460363449
12,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.103705651725
37,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.128864986386
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,227.140095627189
10,Sample_S19S_0090_Sed_Field_ICR.D_P2,228.160505430471
40,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.03534707521
38,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.071735363669
37,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.108108433147
14,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.119344061544
29,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.144513444451
7,Sample_S19S_0090_Sed_Field_ICR.D_P2,229.155736239439
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,230.921625934802
29,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.029875504771
30,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.051010350489
39,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.087380141088
14,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.098637867884
22,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.12375032555
12,Sample_S19S_0090_Sed_Field_ICR.D_P2,231.135022976804
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,232.093881210324
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,232.847237932018
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,232.927791775681
35,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.009144272409
29,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.045528852543
20,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.058587458134
48,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.066673851884
11,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.077906381795
30,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.103046124965
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.114276631759
15,Sample_S19S_0090_Sed_Field_ICR.D_P2,233.154678978628
38,Sample_S19S_0090_Sed_Field_ICR.D_P2,235.024789161602
46,Sample_S19S_0090_Sed_Field_ICR.D_P2,235.061184947446
19,Sample_S19S_0090_Sed_Field_ICR.D_P2,235.074237858228
25,Sample_S19S_0090_Sed_Field_ICR.D_P2,235.097568690063
6,Sample_S19S_0090_Sed_Field_ICR.D_P2,235.108809109663
16,Sample_S19S_0090_Sed_Field_ICR.D_P2,236.056439960625
3,Sample_S19S_0090_Sed_Field_ICR.D_P2,236.105376530346
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,236.865836493661
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,236.965892381224
31,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.004055729156
43,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.040440209135
6,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.05348276476
38,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.076832479136
20,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.089878679537
5,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.101144876985
35,Sample_S19S_0090_Sed_Field_ICR.D_P2,237.11322070115
20,Sample_S19S_0090_Sed_Field_ICR.D_P2,238.07206527484
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,238.121554894424
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,238.862912733693
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,238.962962608476
51,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.019720950425
19,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.034986596092
66,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.056109924214
8,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.067333692744
41,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.069188157386
54,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.092495013471
37,Sample_S19S_0090_Sed_Field_ICR.D_P2,239.128871473766
48,Sample_S19S_0090_Sed_Field_ICR.D_P2,240.998986892742
57,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.035368731503
6,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.046617856738
17,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.050626473162
40,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.071742647768
36,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.108111565337
9,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.11939184397
18,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.136460315124
27,Sample_S19S_0090_Sed_Field_ICR.D_P2,241.144502706324
20,Sample_S19S_0090_Sed_Field_ICR.D_P2,242.067003783914
26,Sample_S19S_0090_Sed_Field_ICR.D_P2,242.103365324222
11,Sample_S19S_0090_Sed_Field_ICR.D_P2,242.1397820245
11,Sample_S19S_0090_Sed_Field_ICR.D_P2,242.176148695837
50,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.051021459482
47,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.087384309738
12,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.098659408364
36,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.123768462181
17,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.133516107125
34,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.160171738811
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.171434876406
26,Sample_S19S_0090_Sed_Field_ICR.D_P2,243.196585753687
8,Sample_S19S_0090_Sed_Field_ICR.D_P2,244.130281484605
4,Sample_S19S_0090_Sed_Field_ICR.D_P2,244.136871883331
1,Sample_S19S_0090_Sed_Field_ICR.D_P2,244.964184652894
30,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.030271734878
56,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.045557944508
70,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.066684196906
54,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.10306468827
13,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.11428172662
39,Sample_S19S_0090_Sed_Field_ICR.D_P2,245.139442667919
7,Sample_S19S_0090_Sed_Field_ICR.D_P2,246.109551370685
11,Sample_S19S_0090_Sed_Field_ICR.D_P2,246.134686691967
41,Sample_S19S_0090_Sed_Field_ICR.D_P2,247.024799762108
57,Sample_S19S_0090_Sed_Field_ICR.D_P2,247.061200107422
37,Sample_S19S_0090_Sed_Field_ICR.D_P2,247.07426263034
64,Sample_S19S_0090_Sed_Field_ICR.D_P2,247.082337985289
