num.trans.involved.in,sample,peak
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,200.937945233533
23,Sample_S19S_0091_Sed_Field_ICR.M_P2,201.040428838913
33,Sample_S19S_0091_Sed_Field_ICR.M_P2,201.076810098263
41,Sample_S19S_0091_Sed_Field_ICR.M_P2,201.113195172137
14,Sample_S19S_0091_Sed_Field_ICR.M_P2,201.149690696941
8,Sample_S19S_0091_Sed_Field_ICR.M_P2,202.108438205863
23,Sample_S19S_0091_Sed_Field_ICR.M_P2,203.056087175222
17,Sample_S19S_0091_Sed_Field_ICR.M_P2,203.092450934021
19,Sample_S19S_0091_Sed_Field_ICR.M_P2,203.128835679735
12,Sample_S19S_0091_Sed_Field_ICR.M_P2,205.050592070528
26,Sample_S19S_0091_Sed_Field_ICR.M_P2,205.07172701245
35,Sample_S19S_0091_Sed_Field_ICR.M_P2,205.108112452884
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,206.910022982203
26,Sample_S19S_0091_Sed_Field_ICR.M_P2,207.06624596926
15,Sample_S19S_0091_Sed_Field_ICR.M_P2,207.079320644508
20,Sample_S19S_0091_Sed_Field_ICR.M_P2,207.139024306421
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,207.236930284595
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,208.788972111881
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,208.934578310206
21,Sample_S19S_0091_Sed_Field_ICR.M_P2,209.045506696072
32,Sample_S19S_0091_Sed_Field_ICR.M_P2,209.081895718056
21,Sample_S19S_0091_Sed_Field_ICR.M_P2,209.154678803219
5,Sample_S19S_0091_Sed_Field_ICR.M_P2,210.040758916259
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,210.1681582701
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,210.786909717929
33,Sample_S19S_0091_Sed_Field_ICR.M_P2,211.06116880944
36,Sample_S19S_0091_Sed_Field_ICR.M_P2,211.097551070932
29,Sample_S19S_0091_Sed_Field_ICR.M_P2,211.13393101925
33,Sample_S19S_0091_Sed_Field_ICR.M_P2,213.076819070186
35,Sample_S19S_0091_Sed_Field_ICR.M_P2,213.113206317355
25,Sample_S19S_0091_Sed_Field_ICR.M_P2,213.149579962588
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,214.050928469246
13,Sample_S19S_0091_Sed_Field_ICR.M_P2,214.072071067175
9,Sample_S19S_0091_Sed_Field_ICR.M_P2,214.108463693421
12,Sample_S19S_0091_Sed_Field_ICR.M_P2,214.144825800491
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,214.883893727542
27,Sample_S19S_0091_Sed_Field_ICR.M_P2,215.056074556911
35,Sample_S19S_0091_Sed_Field_ICR.M_P2,215.092465854504
28,Sample_S19S_0091_Sed_Field_ICR.M_P2,215.128838604093
16,Sample_S19S_0091_Sed_Field_ICR.M_P2,215.165236723624
12,Sample_S19S_0091_Sed_Field_ICR.M_P2,216.124088710321
29,Sample_S19S_0091_Sed_Field_ICR.M_P2,217.071737794368
43,Sample_S19S_0091_Sed_Field_ICR.M_P2,217.10811039195
15,Sample_S19S_0091_Sed_Field_ICR.M_P2,217.144603013775
3,Sample_S19S_0091_Sed_Field_ICR.M_P2,218.017911520225
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,218.986163445727
11,Sample_S19S_0091_Sed_Field_ICR.M_P2,219.079302894106
34,Sample_S19S_0091_Sed_Field_ICR.M_P2,219.087384410024
7,Sample_S19S_0091_Sed_Field_ICR.M_P2,220.146852171581
8,Sample_S19S_0091_Sed_Field_ICR.M_P2,221.081883728139
14,Sample_S19S_0091_Sed_Field_ICR.M_P2,221.154671998225
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,221.834423119878
3,Sample_S19S_0091_Sed_Field_ICR.M_P2,222.090202464793
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,222.941327059084
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,222.950237849255
5,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.05562474733
11,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.061149718979
13,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.074225591272
32,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.097555728747
33,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.110632871871
29,Sample_S19S_0091_Sed_Field_ICR.M_P2,223.133951763464
11,Sample_S19S_0091_Sed_Field_ICR.M_P2,224.056421158355
3,Sample_S19S_0091_Sed_Field_ICR.M_P2,224.087265091976
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,224.947307783165
5,Sample_S19S_0091_Sed_Field_ICR.M_P2,225.05571160378
36,Sample_S19S_0091_Sed_Field_ICR.M_P2,225.076815039674
14,Sample_S19S_0091_Sed_Field_ICR.M_P2,225.113183674912
27,Sample_S19S_0091_Sed_Field_ICR.M_P2,225.149603167358
29,Sample_S19S_0091_Sed_Field_ICR.M_P2,227.056075931925
37,Sample_S19S_0091_Sed_Field_ICR.M_P2,227.092460363449
34,Sample_S19S_0091_Sed_Field_ICR.M_P2,227.128864986386
27,Sample_S19S_0091_Sed_Field_ICR.M_P2,227.165254220839
2,Sample_S19S_0091_Sed_Field_ICR.M_P2,228.141510729641
15,Sample_S19S_0091_Sed_Field_ICR.M_P2,228.160505430471
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,228.969239293674
4,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.024891069596
32,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.071735363669
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.076669124961
37,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.108108433147
32,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.144513444451
24,Sample_S19S_0091_Sed_Field_ICR.M_P2,229.1809105192
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,230.01285053832
14,Sample_S19S_0091_Sed_Field_ICR.M_P2,230.103392527287
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,230.929827748688
1,Sample_S19S_0091_Sed_Field_ICR.M_P2,230.979114648638
5,Sample_S19S_0091_Sed_Field_ICR.M_P2,231.033262507976
14,Sample_S19S_0091_Sed_Field_ICR.M_P2,231.051010350489
34,Sample_S19S_0091_Sed_Field_ICR.M_P2,231.087380141088
18,Sample_S19S_0091_Sed_Field_ICR.M_P2,231.12375032555
23,Sample_S19S_0091_Sed_Field_ICR.M_P2,231.160162845901
