num.trans.involved.in,sample,peak
25,Sample_S19S_0014_ICR.3_p05,201.076812231104
24,Sample_S19S_0014_ICR.3_p05,201.113196944252
22,Sample_S19S_0014_ICR.3_p05,205.014218786201
19,Sample_S19S_0014_ICR.3_p05,205.05059474712
1,Sample_S19S_0014_ICR.3_p05,206.822385734943
32,Sample_S19S_0014_ICR.3_p05,207.029870854621
31,Sample_S19S_0014_ICR.3_p05,207.066249021166
31,Sample_S19S_0014_ICR.3_p05,209.081898098492
14,Sample_S19S_0014_ICR.3_p05,209.154680339789
3,Sample_S19S_0014_ICR.3_p05,210.040762393522
4,Sample_S19S_0014_ICR.3_p05,210.863999138701
45,Sample_S19S_0014_ICR.3_p05,211.061173644796
33,Sample_S19S_0014_ICR.3_p05,211.097554978113
23,Sample_S19S_0014_ICR.3_p05,211.133937736522
1,Sample_S19S_0014_ICR.3_p05,213.015277479573
37,Sample_S19S_0014_ICR.3_p05,213.076821569167
28,Sample_S19S_0014_ICR.3_p05,213.113209153546
1,Sample_S19S_0014_ICR.3_p05,214.883895382543
1,Sample_S19S_0014_ICR.3_p05,215.056214452284
1,Sample_S19S_0014_ICR.3_p05,215.07131500571
36,Sample_S19S_0014_ICR.3_p05,215.092472606394
20,Sample_S19S_0014_ICR.3_p05,215.128844637363
30,Sample_S19S_0014_ICR.3_p05,217.108116925935
2,Sample_S19S_0014_ICR.3_p05,220.061480308079
35,Sample_S19S_0014_ICR.3_p05,221.045519148712
18,Sample_S19S_0014_ICR.3_p05,221.081891220993
2,Sample_S19S_0014_ICR.3_p05,222.09020962229
1,Sample_S19S_0014_ICR.3_p05,222.950238026828
16,Sample_S19S_0014_ICR.3_p05,223.061152325181
46,Sample_S19S_0014_ICR.3_p05,223.097560476044
21,Sample_S19S_0014_ICR.3_p05,224.056423283216
1,Sample_S19S_0014_ICR.3_p05,224.947309353375
63,Sample_S19S_0014_ICR.3_p05,225.040449425761
49,Sample_S19S_0014_ICR.3_p05,225.076819499069
14,Sample_S19S_0014_ICR.3_p05,225.113187324246
27,Sample_S19S_0014_ICR.3_p05,227.056078968671
41,Sample_S19S_0014_ICR.3_p05,227.092465961673
30,Sample_S19S_0014_ICR.3_p05,227.128872213729
40,Sample_S19S_0014_ICR.3_p05,229.071741258755
33,Sample_S19S_0014_ICR.3_p05,229.108115116444
24,Sample_S19S_0014_ICR.3_p05,229.144519996425
2,Sample_S19S_0014_ICR.3_p05,230.848894962708
29,Sample_S19S_0014_ICR.3_p05,231.029877682756
36,Sample_S19S_0014_ICR.3_p05,231.087383471431
36,Sample_S19S_0014_ICR.3_p05,233.045530744435
41,Sample_S19S_0014_ICR.3_p05,233.081920778568
11,Sample_S19S_0014_ICR.3_p05,233.154684480267
37,Sample_S19S_0014_ICR.3_p05,235.024791246263
55,Sample_S19S_0014_ICR.3_p05,235.061187254299
16,Sample_S19S_0014_ICR.3_p05,235.074240084576
17,Sample_S19S_0014_ICR.3_p05,236.020045700588
41,Sample_S19S_0014_ICR.3_p05,236.056441210259
3,Sample_S19S_0014_ICR.3_p05,236.105381468175
1,Sample_S19S_0014_ICR.3_p05,236.865835602516
2,Sample_S19S_0014_ICR.3_p05,236.965896893828
43,Sample_S19S_0014_ICR.3_p05,237.04044214943
61,Sample_S19S_0014_ICR.3_p05,237.076835148844
15,Sample_S19S_0014_ICR.3_p05,237.089878681132
46,Sample_S19S_0014_ICR.3_p05,237.113222661535
1,Sample_S19S_0014_ICR.3_p05,237.965476866205
3,Sample_S19S_0014_ICR.3_p05,238.035813255442
22,Sample_S19S_0014_ICR.3_p05,238.072065454105
7,Sample_S19S_0014_ICR.3_p05,238.121556498653
2,Sample_S19S_0014_ICR.3_p05,238.962964376598
89,Sample_S19S_0014_ICR.3_p05,239.056111749827
8,Sample_S19S_0014_ICR.3_p05,239.067335160005
92,Sample_S19S_0014_ICR.3_p05,239.092497043343
46,Sample_S19S_0014_ICR.3_p05,239.128875334313
1,Sample_S19S_0014_ICR.3_p05,239.962533060119
23,Sample_S19S_0014_ICR.3_p05,240.05134480475
32,Sample_S19S_0014_ICR.3_p05,240.087731859761
45,Sample_S19S_0014_ICR.3_p05,241.071742177286
30,Sample_S19S_0014_ICR.3_p05,241.108108701126
17,Sample_S19S_0014_ICR.3_p05,241.136462002825
24,Sample_S19S_0014_ICR.3_p05,241.144500716867
43,Sample_S19S_0014_ICR.3_p05,242.067003394095
18,Sample_S19S_0014_ICR.3_p05,242.139774985264
8,Sample_S19S_0014_ICR.3_p05,242.176146484794
68,Sample_S19S_0014_ICR.3_p05,243.051022355256
11,Sample_S19S_0014_ICR.3_p05,243.066250822538
40,Sample_S19S_0014_ICR.3_p05,243.087381596419
20,Sample_S19S_0014_ICR.3_p05,243.123762567035
19,Sample_S19S_0014_ICR.3_p05,243.133514748991
22,Sample_S19S_0014_ICR.3_p05,243.160166460746
72,Sample_S19S_0014_ICR.3_p05,245.045558737924
8,Sample_S19S_0014_ICR.3_p05,245.04891188695
46,Sample_S19S_0014_ICR.3_p05,245.058617390912
52,Sample_S19S_0014_ICR.3_p05,245.081934244529
66,Sample_S19S_0014_ICR.3_p05,245.103064150889
28,Sample_S19S_0014_ICR.3_p05,245.139434182554
39,Sample_S19S_0014_ICR.3_p05,247.024801042077
68,Sample_S19S_0014_ICR.3_p05,247.061201110717
48,Sample_S19S_0014_ICR.3_p05,247.074263164443
69,Sample_S19S_0014_ICR.3_p05,247.097594453292
21,Sample_S19S_0014_ICR.3_p05,247.110625955868
3,Sample_S19S_0014_ICR.3_p05,248.92935298298
74,Sample_S19S_0014_ICR.3_p05,249.04046751717
35,Sample_S19S_0014_ICR.3_p05,249.053522835028
7,Sample_S19S_0014_ICR.3_p05,249.071290403713
86,Sample_S19S_0014_ICR.3_p05,249.076852687644
19,Sample_S19S_0014_ICR.3_p05,249.089887662805
35,Sample_S19S_0014_ICR.3_p05,249.113222395913
41,Sample_S19S_0014_ICR.3_p05,249.149614708999
52,Sample_S19S_0014_ICR.3_p05,250.072090034087
2,Sample_S19S_0014_ICR.3_p05,250.981556004188
67,Sample_S19S_0014_ICR.3_p05,251.056098647611
10,Sample_S19S_0014_ICR.3_p05,251.059479260227
59,Sample_S19S_0014_ICR.3_p05,251.069192576234
109,Sample_S19S_0014_ICR.3_p05,251.092506319237
46,Sample_S19S_0014_ICR.3_p05,251.10558622319
48,Sample_S19S_0014_ICR.3_p05,251.128903530196
1,Sample_S19S_0014_ICR.3_p05,251.981136323598
43,Sample_S19S_0014_ICR.3_p05,252.087734846783
1,Sample_S19S_0014_ICR.3_p05,252.978589348877
74,Sample_S19S_0014_ICR.3_p05,253.035398330868
115,Sample_S19S_0014_ICR.3_p05,253.07177564068
45,Sample_S19S_0014_ICR.3_p05,253.108134502222
48,Sample_S19S_0014_ICR.3_p05,253.144533727518
1,Sample_S19S_0014_ICR.3_p05,253.978188566552
29,Sample_S19S_0014_ICR.3_p05,254.067022184674
