num.trans.involved.in,sample,peak
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,200.092796017419
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,200.805428271345
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,200.875657834751
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,200.93794587064
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.040431265132
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.076812231104
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.088041786092
39,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.113196944252
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.149578211959
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.05091227397
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.072056785429
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.108438580329
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.978202838501
36,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.056088073855
18,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.092453588257
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.128837832673
16,Sample_S19S_0032_Sed_Field_ICR.D_p2,204.066588592769
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.014218786201
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.05059474712
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.123335205715
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,206.082231146239
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,206.967806769302
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.012110279783
32,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.029870854621
37,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.066249021166
29,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.139023484778
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,208.074577289772
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,208.934578888928
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.009120706343
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.045511357618
39,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.081898098492
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.154680339789
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,210.040762393522
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,210.842298172441
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,210.863999138701
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,210.931654596811
40,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.024787422472
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.061173644796
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.097554978113
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.108786213217
36,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.133937736522
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.020018214938
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.056422887594
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.859839601995
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.874290777643
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.979181491172
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.015277479573
32,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.040428460985
45,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.076821569167
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.088048189426
45,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.113209153546
9,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.124441853073
27,Sample_S19S_0032_Sed_Field_ICR.D_p2,213.149580605995
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.050931022372
24,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.108465571565
14,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.144827458405
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.836392930714
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.880834167547
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,214.883895382543
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.001935810972
11,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.032761523618
37,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.05607855856
44,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.092472606394
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.103694517233
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.128844637363
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,215.165239431532
18,Sample_S19S_0032_Sed_Field_ICR.D_p2,216.124095214762
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,216.932859219798
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,217.071743109364
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,217.108116925935
30,Sample_S19S_0032_Sed_Field_ICR.D_p2,217.144496656615
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,218.103370495108
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,218.932653482931
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.029882278359
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.040529367726
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.077490658777
42,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.087387684542
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.139026465122
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,219.946520146949
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,220.061480308079
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,220.146855486853
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,220.998678850345
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.009125917917
36,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.045519148712
24,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.05858606463
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.081891220993
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.150212886269
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.15467759026
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,221.845357752755
4,Sample_S19S_0032_Sed_Field_ICR.D_p2,222.09020962229
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,222.950238026828
34,Sample_S19S_0032_Sed_Field_ICR.D_p2,223.024793149015
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,223.061152325181
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,223.074229068466
44,Sample_S19S_0032_Sed_Field_ICR.D_p2,223.097560476044
49,Sample_S19S_0032_Sed_Field_ICR.D_p2,223.133954616791
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,224.056423283216
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,224.842640281352
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,224.947309353375
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.004032134366
45,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.040449425761
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.055714870951
51,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.076819499069
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.113187324246
44,Sample_S19S_0032_Sed_Field_ICR.D_p2,225.149604088393
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,226.012200348175
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.032600170147
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.056078968671
50,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.092465961673
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.103708123404
54,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.128872213729
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,227.140102377895
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,228.051311604285
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,228.124124742291
15,Sample_S19S_0032_Sed_Field_ICR.D_p2,228.160509533819
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,228.851856687166
4,Sample_S19S_0032_Sed_Field_ICR.D_p2,228.939182399801
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.024894259558
11,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.050598951257
46,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.071741258755
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.083004561878
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.108115116444
45,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.144519996425
11,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.155740961779
38,Sample_S19S_0032_Sed_Field_ICR.D_p2,229.180912594677
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,230.103390855762
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,230.139762503788
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,230.848894962708
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.033265296901
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.05101195753
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.079333565643
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.087383471431
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.098634563386
24,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.123754306216
29,Sample_S19S_0032_Sed_Field_ICR.D_p2,231.160163006086
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,232.093882228189
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,232.119021471042
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,232.845959346788
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,232.92468108489
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,232.927791165588
24,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.009146328913
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.045530744435
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.05618899739
47,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.066675889465
29,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.081920778568
44,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.103048775553
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.114276552429
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.118284192922
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,233.154684480267
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,234.913672278393
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,234.998996877141
30,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.024791246263
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.061187254299
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.074240084576
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.097574871721
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.133940754073
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.14699720317
39,Sample_S19S_0032_Sed_Field_ICR.D_p2,235.170349200424
9,Sample_S19S_0032_Sed_Field_ICR.D_p2,236.056441210259
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,236.105381468175
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,236.865835602516
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,236.965896893828
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.04044214943
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.053483132313
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.063025476464
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.076835148844
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.089878681132
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.108746274048
47,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.113222661535
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.149610225685
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,237.965476866205
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,238.035669565322
28,Sample_S19S_0032_Sed_Field_ICR.D_p2,238.072065454105
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,238.862909329753
4,Sample_S19S_0032_Sed_Field_ICR.D_p2,238.962964376598
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.019722068048
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.034988337925
58,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.056111749827
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.067335160005
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.086974340905
73,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.092497043343
62,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.128875334313
50,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.165257144449
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.760388253115
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,239.962533060119
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,240.10083139872
46,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.03537000793
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.04661948641
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.05062986773
42,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.071742177286
40,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.108108701126
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.119391818517
24,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.136462002825
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.144500716867
49,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.180915552912
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.758342075002
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,241.928460938346
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,242.067003394095
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,242.082229866531
38,Sample_S19S_0032_Sed_Field_ICR.D_p2,242.103366902208
28,Sample_S19S_0032_Sed_Field_ICR.D_p2,242.139774985264
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,242.176146484794
50,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.051022355256
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.062268370298
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.087381596419
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.098659714238
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.123762567035
27,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.133514748991
42,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.160166460746
40,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.196588271639
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,243.755390487252
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,244.119203944217
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,244.136867466335
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,244.155456222866
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,244.989029862778
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.04891188695
68,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.066684736377
67,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.103064150889
16,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.114277610919
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.139434182554
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,245.175836697815
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,246.109550881071
19,Sample_S19S_0032_Sed_Field_ICR.D_p2,246.134683049119
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,246.940320939851
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,246.98484705803
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.074263164443
64,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.082336843181
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.09356956701
52,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.097594453292
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.110625955868
53,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.118732964001
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.170327510868
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.93993277063
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,247.994126181244
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,248.863546311946
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,248.92935298298
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,248.937189837669
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.004063600746
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.014586202697
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.04046751717
25,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.053522835028
56,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.076852687644
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.089887662805
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.107689155473
40,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.113222395913
52,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.126298314245
51,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.149614708999
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,249.928906712569
5,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.121530593011
18,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.144861740769
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.848088984259
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.859586623692
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.860605047391
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,250.981556004188
36,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.019733178809
42,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.056098647611
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.059479260227
39,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.069192576234
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.078576379697
26,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.086992985207
82,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.092506319237
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.095876461915
57,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.10558622319
33,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.113646102912
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.128903530196
46,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.141949573633
48,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.165267297786
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,251.981136323598
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,252.087734846783
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,252.905139707424
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,252.924290117416
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,252.978589348877
25,Sample_S19S_0032_Sed_Field_ICR.D_p2,252.998978540721
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.035398330868
76,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.07177564068
38,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.08481682656
43,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.108134502222
29,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.139013327442
67,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.144533727518
51,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.180927545827
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,253.978188566552
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.045880858719
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.067022184674
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.080085027659
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.831994039684
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.88127028386
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,254.902194057901
57,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.05104328059
10,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.062246242688
91,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.087416289284
59,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.123777597574
62,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.160201751604
51,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.196590943645
23,Sample_S19S_0032_Sed_Field_ICR.D_p2,255.23297053275
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.077151360106
18,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.08268374089
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.09574415403
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.155475028624
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.8677436926
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,256.876531404787
44,Sample_S19S_0032_Sed_Field_ICR.D_p2,257.030303985754
3,Sample_S19S_0032_Sed_Field_ICR.D_p2,257.041558165799
