num.trans.involved.in,sample,peak
25,Sample_S19S_0039_Sed_Field_ICR.M_p1,200.092796017419
14,Sample_S19S_0039_Sed_Field_ICR.M_p1,200.12917230768
5,Sample_S19S_0039_Sed_Field_ICR.M_p1,200.93794587064
38,Sample_S19S_0039_Sed_Field_ICR.M_p1,201.040431265132
47,Sample_S19S_0039_Sed_Field_ICR.M_p1,201.076812231104
47,Sample_S19S_0039_Sed_Field_ICR.M_p1,201.113196944252
5,Sample_S19S_0039_Sed_Field_ICR.M_p1,201.124417891011
22,Sample_S19S_0039_Sed_Field_ICR.M_p1,201.149578211959
14,Sample_S19S_0039_Sed_Field_ICR.M_p1,202.108438580329
27,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.034950586133
43,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.056088073855
10,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.071320285592
22,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.092453588257
6,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.103686813096
24,Sample_S19S_0039_Sed_Field_ICR.M_p1,203.128837832673
20,Sample_S19S_0039_Sed_Field_ICR.M_p1,204.066588592769
30,Sample_S19S_0039_Sed_Field_ICR.M_p1,205.014218786201
31,Sample_S19S_0039_Sed_Field_ICR.M_p1,205.05059474712
37,Sample_S19S_0039_Sed_Field_ICR.M_p1,205.071728897906
16,Sample_S19S_0039_Sed_Field_ICR.M_p1,205.159757838433
20,Sample_S19S_0039_Sed_Field_ICR.M_p1,206.082231146239
2,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.012110279783
41,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.029870854621
43,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.066249021166
28,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.08738791767
36,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.102632074417
29,Sample_S19S_0039_Sed_Field_ICR.M_p1,207.139023484778
8,Sample_S19S_0039_Sed_Field_ICR.M_p1,208.074577289772
24,Sample_S19S_0039_Sed_Field_ICR.M_p1,208.097890058785
14,Sample_S19S_0039_Sed_Field_ICR.M_p1,209.009120706343
39,Sample_S19S_0039_Sed_Field_ICR.M_p1,209.045511357618
47,Sample_S19S_0039_Sed_Field_ICR.M_p1,209.081898098492
35,Sample_S19S_0039_Sed_Field_ICR.M_p1,209.118293639431
34,Sample_S19S_0039_Sed_Field_ICR.M_p1,209.154680339789
18,Sample_S19S_0039_Sed_Field_ICR.M_p1,210.040762393522
3,Sample_S19S_0039_Sed_Field_ICR.M_p1,210.071613852833
17,Sample_S19S_0039_Sed_Field_ICR.M_p1,210.07714085529
52,Sample_S19S_0039_Sed_Field_ICR.M_p1,211.024787422472
3,Sample_S19S_0039_Sed_Field_ICR.M_p1,211.036007717967
59,Sample_S19S_0039_Sed_Field_ICR.M_p1,211.061173644796
52,Sample_S19S_0039_Sed_Field_ICR.M_p1,211.097554978113
40,Sample_S19S_0039_Sed_Field_ICR.M_p1,211.133937736522
5,Sample_S19S_0039_Sed_Field_ICR.M_p1,212.020018214938
23,Sample_S19S_0039_Sed_Field_ICR.M_p1,212.056422887594
1,Sample_S19S_0039_Sed_Field_ICR.M_p1,212.979181491172
2,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.015277479573
39,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.040428460985
55,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.076821569167
47,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.113209153546
12,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.124441853073
29,Sample_S19S_0039_Sed_Field_ICR.M_p1,213.149580605995
9,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.050931022372
32,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.072073921271
28,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.108465571565
16,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.144827458405
1,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.836392930714
1,Sample_S19S_0039_Sed_Field_ICR.M_p1,214.883895382543
2,Sample_S19S_0039_Sed_Field_ICR.M_p1,215.001935810972
8,Sample_S19S_0039_Sed_Field_ICR.M_p1,215.032761523618
43,Sample_S19S_0039_Sed_Field_ICR.M_p1,215.05607855856
52,Sample_S19S_0039_Sed_Field_ICR.M_p1,215.092472606394
12,Sample_S19S_0039_Sed_Field_ICR.M_p1,215.103694517233
