num.trans.involved.in,sample,peak
18,Sample_S19S_0044_Sed_Field_ICR.U_p2,200.092796017419
1,Sample_S19S_0044_Sed_Field_ICR.U_p2,200.93794587064
38,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.040431265132
39,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.076812231104
4,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.088041786092
36,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.113196944252
3,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.124417891011
17,Sample_S19S_0044_Sed_Field_ICR.U_p2,201.149578211959
9,Sample_S19S_0044_Sed_Field_ICR.U_p2,202.108438580329
42,Sample_S19S_0044_Sed_Field_ICR.U_p2,203.056088073855
20,Sample_S19S_0044_Sed_Field_ICR.U_p2,203.092453588257
18,Sample_S19S_0044_Sed_Field_ICR.U_p2,203.128837832673
14,Sample_S19S_0044_Sed_Field_ICR.U_p2,204.066588592769
32,Sample_S19S_0044_Sed_Field_ICR.U_p2,205.014218786201
25,Sample_S19S_0044_Sed_Field_ICR.U_p2,205.05059474712
2,Sample_S19S_0044_Sed_Field_ICR.U_p2,207.012110279783
41,Sample_S19S_0044_Sed_Field_ICR.U_p2,207.029870854621
38,Sample_S19S_0044_Sed_Field_ICR.U_p2,207.066249021166
18,Sample_S19S_0044_Sed_Field_ICR.U_p2,208.097890058785
1,Sample_S19S_0044_Sed_Field_ICR.U_p2,208.934578888928
2,Sample_S19S_0044_Sed_Field_ICR.U_p2,208.943425494404
14,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.009120706343
34,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.045511357618
12,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.058568966851
40,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.081898098492
31,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.118293639431
27,Sample_S19S_0044_Sed_Field_ICR.U_p2,209.154680339789
13,Sample_S19S_0044_Sed_Field_ICR.U_p2,210.040762393522
2,Sample_S19S_0044_Sed_Field_ICR.U_p2,210.931654596811
56,Sample_S19S_0044_Sed_Field_ICR.U_p2,211.024787422472
52,Sample_S19S_0044_Sed_Field_ICR.U_p2,211.061173644796
43,Sample_S19S_0044_Sed_Field_ICR.U_p2,211.097554978113
31,Sample_S19S_0044_Sed_Field_ICR.U_p2,211.133937736522
