sample,total.transformations
Sample_S19S_0004_ICR.2_p05,50302
Sample_S19S_0004_ICR.3_p05,48372
Sample_S19S_0004_Sed_Field_ICR.M_p15,29255
Sample_S19S_0005_ICR.1_p05,54842
Sample_S19S_0005_ICR.2_p05,42035
Sample_S19S_0005_ICR.3_p05,46764
Sample_S19S_0006_ICR.1_p05,58167
Sample_S19S_0006_ICR.2_p05,43622
Sample_S19S_0006_ICR.3_p05,53976
Sample_S19S_0006_Sed_Field_ICR.D_p2,37139
Sample_S19S_0006_Sed_Field_ICR.M_p2,32762
Sample_S19S_0006_Sed_Field_ICR.U_p2,41406
Sample_S19S_0007_ICR.1_p05,46178
Sample_S19S_0007_ICR.2_p05,40712
Sample_S19S_0007_ICR.3_p05,22953
Sample_S19S_0008_ICR.1_p05,43351
Sample_S19S_0008_ICR.2_p05,30955
Sample_S19S_0008_ICR.3_p05,40227
Sample_S19S_0008_Sed_Field_ICR.M_p15,15286
Sample_S19S_0009_ICR.1_p05,40331
Sample_S19S_0009_ICR.2_p05,54160
Sample_S19S_0009_Sed_Field_ICR.M_p2,36719
Sample_S19S_0009_Sed_Field_ICR.U_p2,36380
Sample_S19S_0010_ICR.1_p05,55077
Sample_S19S_0010_ICR.2_p05,53024
Sample_S19S_0010_ICR.3_p05,49751
Sample_S19S_0010_Sed_Field_ICR.D_p15,29678
Sample_S19S_0010_Sed_Field_ICR.M_p15,15217
Sample_S19S_0010_Sed_Field_ICR.U_p15,23739
Sample_S19S_0011_ICR.1_p05,56638
Sample_S19S_0011_ICR.2_p05,65125
Sample_S19S_0011_ICR.3_p05,63949
Sample_S19S_0011_Sed_Field_ICR.D_p2,24882
Sample_S19S_0011_Sed_Field_ICR.M_p2,25146
Sample_S19S_0011_Sed_Field_ICR.U_p2,41348
Sample_S19S_0012_ICR.1_p05,42498
Sample_S19S_0012_ICR.2_p05,49065
Sample_S19S_0012_ICR.3_p05,50854
Sample_S19S_0012_Sed_Field_ICR.D_p2,35609
Sample_S19S_0012_Sed_Field_ICR.M_p2,32202
Sample_S19S_0012_Sed_Field_ICR.U_p2,33541
Sample_S19S_0013_ICR.1_p05,53353
Sample_S19S_0013_ICR.2_p05,50656
Sample_S19S_0013_ICR.3_p05,49180
Sample_S19S_0013_Sed_Field_ICR.D_p2,42334
Sample_S19S_0013_Sed_Field_ICR.M_p2,36310
Sample_S19S_0013_Sed_Field_ICR.U_p2,35112
Sample_S19S_0014_ICR.1_p05,28359
Sample_S19S_0014_ICR.2_p05,34529
Sample_S19S_0014_ICR.3_p05,34190
Sample_S19S_0014_Sed_Field_ICR.D_p2,36053
Sample_S19S_0014_Sed_Field_ICR.M_p2,37510
Sample_S19S_0014_Sed_Field_ICR.U_p2,37920
Sample_S19S_0015_ICR.1_p05,54126
Sample_S19S_0015_ICR.2_p05,59497
Sample_S19S_0015_ICR.3_p05,60055
Sample_S19S_0015_Sed_Field_ICR.D_p2,17912
Sample_S19S_0015_Sed_Field_ICR.U_p2,35372
Sample_S19S_0016_ICR.1_p05,29659
Sample_S19S_0016_ICR.2_p05,27969
Sample_S19S_0016_ICR.3_p05,31228
Sample_S19S_0016_Sed_Field_ICR.D_p2,31084
Sample_S19S_0016_Sed_Field_ICR.M_p2,32620
Sample_S19S_0016_Sed_Field_ICR.U_p1,18270
Sample_S19S_0017_ICR.1_p05,48474
Sample_S19S_0017_ICR.2_p05,54647
Sample_S19S_0017_ICR.3_p05,47211
Sample_S19S_0017_Sed_Field_ICR.D_p2,37336
Sample_S19S_0017_Sed_Field_ICR.M_p2,36296
Sample_S19S_0017_Sed_Field_ICR.U_p2,32574
Sample_S19S_0018_ICR.3_p05,35828
Sample_S19S_0018_Sed_Field_ICR.D_p2,23259
Sample_S19S_0018_Sed_Field_ICR.M_p2,21530
Sample_S19S_0018_Sed_Field_ICR.U_p2,21365
Sample_S19S_0019_ICR.1_p05,13297
Sample_S19S_0019_ICR.3_p05,34493
Sample_S19S_0019_Sed_Field_ICR.D_p2,27866
Sample_S19S_0019_Sed_Field_ICR.M_p2,30271
Sample_S19S_0019_Sed_Field_ICR.U_p2,32212
Sample_S19S_0020_ICR.1_p05,59779
Sample_S19S_0020_ICR.2_p05,55582
Sample_S19S_0020_ICR.3_p05,56915
Sample_S19S_0020_Sed_Field_ICR.D_p2,39619
Sample_S19S_0020_Sed_Field_ICR.M_p2,40220
Sample_S19S_0020_Sed_Field_ICR.U_p2,29159
Sample_S19S_0021_ICR.1_p05,57654
Sample_S19S_0021_ICR.2_p05,63851
Sample_S19S_0021_ICR.3_p05,60475
Sample_S19S_0021_Sed_Field_ICR.D_p2,39474
Sample_S19S_0021_Sed_Field_ICR.M_p2,34985
Sample_S19S_0021_Sed_Field_ICR.U_p2,38738
Sample_S19S_0022_ICR.1_p05,35865
Sample_S19S_0022_ICR.2_p05,43171
Sample_S19S_0022_ICR.3_p05,42536
Sample_S19S_0022_Sed_Field_ICR.D_p2,37213
Sample_S19S_0022_Sed_Field_ICR.M_p2,34597
Sample_S19S_0022_Sed_Field_ICR.U_p2,35878
Sample_S19S_0023_ICR.1_p05,43857
Sample_S19S_0023_ICR.2_p05,47740
Sample_S19S_0023_ICR.3_p05,53332
Sample_S19S_0023_Sed_Field_ICR.D_p2,26012
Sample_S19S_0023_Sed_Field_ICR.M_p2,33519
Sample_S19S_0023_Sed_Field_ICR.U_p2,24006
Sample_S19S_0024_ICR.1_p05,17974
Sample_S19S_0024_Sed_Field_ICR.D_p15,18829
Sample_S19S_0024_Sed_Field_ICR.M_p2,25433
Sample_S19S_0025_ICR.1_p05,44652
Sample_S19S_0025_ICR.2_p05,44726
Sample_S19S_0025_ICR.3_p05,45053
Sample_S19S_0025_Sed_Field_ICR.D_p2,32093
Sample_S19S_0025_Sed_Field_ICR.M_p1,38696
Sample_S19S_0025_Sed_Field_ICR.U_p2,28579
Sample_S19S_0026_ICR.1_p05,28886
Sample_S19S_0026_ICR.2_p05,26054
Sample_S19S_0026_ICR.3_p05,42937
Sample_S19S_0026_Sed_Field_ICR.M_p2,33980
Sample_S19S_0026_Sed_Field_ICR.U_p2,29458
Sample_S19S_0027_ICR.1_p05,35702
Sample_S19S_0027_ICR.2_p05,37921
Sample_S19S_0027_ICR.3_p05,34924
Sample_S19S_0027_Sed_Field_ICR.D_p2,31332
Sample_S19S_0027_Sed_Field_ICR.M_p2,32676
Sample_S19S_0027_Sed_Field_ICR.U_p2,30197
Sample_S19S_0028_ICR.1_p05,25916
Sample_S19S_0028_ICR.2_p05,35180
Sample_S19S_0028_ICR.3_p05,35475
Sample_S19S_0028_Sed_Field_ICR.D_p2,22899
Sample_S19S_0029_ICR.2_p05,36569
Sample_S19S_0029_ICR.3_p05,36208
Sample_S19S_0029_Sed_Field_ICR.D_p2,29286
Sample_S19S_0029_Sed_Field_ICR.M_p2,31430
Sample_S19S_0029_Sed_Field_ICR.U_p2,32056
Sample_S19S_0030_ICR.1_p05,27992
Sample_S19S_0030_ICR.3_p05,25208
Sample_S19S_0030_Sed_Field_ICR.M_p15,12016
Sample_S19S_0030_Sed_Field_ICR.U_p2,34710
Sample_S19S_0031_ICR.1_p05,29441
Sample_S19S_0031_ICR.2_p05,18498
Sample_S19S_0031_ICR.3_p05,22118
Sample_S19S_0031_Sed_Field_ICR.D_p2,29323
Sample_S19S_0031_Sed_Field_ICR.M_p2,33305
Sample_S19S_0031_Sed_Field_ICR.U_p2,30907
Sample_S19S_0032_ICR.1_p05,41518
Sample_S19S_0032_ICR.2_p05,45964
Sample_S19S_0032_ICR.3_p05,48564
Sample_S19S_0032_Sed_Field_ICR.D_p2,28256
