num.trans.involved.in,sample,peak
9,Sample_S19S_0003_ICR.1_p05,200.092796017419
40,Sample_S19S_0003_ICR.1_p05,201.040431265132
34,Sample_S19S_0003_ICR.1_p05,201.076812231104
27,Sample_S19S_0003_ICR.1_p05,201.113196944252
39,Sample_S19S_0003_ICR.1_p05,203.056088073855
9,Sample_S19S_0003_ICR.1_p05,203.071320285592
15,Sample_S19S_0003_ICR.1_p05,203.092453588257
1,Sample_S19S_0003_ICR.1_p05,203.103686813096
35,Sample_S19S_0003_ICR.1_p05,205.014218786201
32,Sample_S19S_0003_ICR.1_p05,205.05059474712
19,Sample_S19S_0003_ICR.1_p05,205.086977964246
8,Sample_S19S_0003_ICR.1_p05,205.159757838433
46,Sample_S19S_0003_ICR.1_p05,207.029870854621
41,Sample_S19S_0003_ICR.1_p05,207.066249021166
30,Sample_S19S_0003_ICR.1_p05,207.102632074417
18,Sample_S19S_0003_ICR.1_p05,209.009120706343
38,Sample_S19S_0003_ICR.1_p05,209.045511357618
40,Sample_S19S_0003_ICR.1_p05,209.081898098492
15,Sample_S19S_0003_ICR.1_p05,210.040762393522
60,Sample_S19S_0003_ICR.1_p05,211.024787422472
58,Sample_S19S_0003_ICR.1_p05,211.061173644796
35,Sample_S19S_0003_ICR.1_p05,211.097554978113
10,Sample_S19S_0003_ICR.1_p05,212.020018214938
22,Sample_S19S_0003_ICR.1_p05,212.056422887594
1,Sample_S19S_0003_ICR.1_p05,213.015277479573
34,Sample_S19S_0003_ICR.1_p05,213.040428460985
52,Sample_S19S_0003_ICR.1_p05,213.076821569167
27,Sample_S19S_0003_ICR.1_p05,213.113209153546
6,Sample_S19S_0003_ICR.1_p05,214.050931022372
19,Sample_S19S_0003_ICR.1_p05,214.072073921271
43,Sample_S19S_0003_ICR.1_p05,215.05607855856
42,Sample_S19S_0003_ICR.1_p05,215.092472606394
24,Sample_S19S_0003_ICR.1_p05,215.128844637363
46,Sample_S19S_0003_ICR.1_p05,217.071743109364
36,Sample_S19S_0003_ICR.1_p05,217.108116925935
1,Sample_S19S_0003_ICR.1_p05,218.078223256961
48,Sample_S19S_0003_ICR.1_p05,219.029882278359
22,Sample_S19S_0003_ICR.1_p05,219.066240733666
8,Sample_S19S_0003_ICR.1_p05,220.061480308079
25,Sample_S19S_0003_ICR.1_p05,221.009125917917
48,Sample_S19S_0003_ICR.1_p05,221.045519148712
26,Sample_S19S_0003_ICR.1_p05,221.081891220993
7,Sample_S19S_0003_ICR.1_p05,221.15467759026
8,Sample_S19S_0003_ICR.1_p05,222.040748580681
1,Sample_S19S_0003_ICR.1_p05,222.09020962229
57,Sample_S19S_0003_ICR.1_p05,223.024793149015
24,Sample_S19S_0003_ICR.1_p05,223.061152325181
46,Sample_S19S_0003_ICR.1_p05,223.097560476044
29,Sample_S19S_0003_ICR.1_p05,224.056423283216
15,Sample_S19S_0003_ICR.1_p05,225.004032134366
85,Sample_S19S_0003_ICR.1_p05,225.040449425761
59,Sample_S19S_0003_ICR.1_p05,225.076819499069
18,Sample_S19S_0003_ICR.1_p05,225.113187324246
17,Sample_S19S_0003_ICR.1_p05,226.035678481274
34,Sample_S19S_0003_ICR.1_p05,226.072077046101
26,Sample_S19S_0003_ICR.1_p05,227.01968946285
42,Sample_S19S_0003_ICR.1_p05,227.056078968671
53,Sample_S19S_0003_ICR.1_p05,227.092465961673
32,Sample_S19S_0003_ICR.1_p05,227.128872213729
8,Sample_S19S_0003_ICR.1_p05,228.051311604285
5,Sample_S19S_0003_ICR.1_p05,228.160509533819
46,Sample_S19S_0003_ICR.1_p05,229.035349694013
51,Sample_S19S_0003_ICR.1_p05,229.071741258755
36,Sample_S19S_0003_ICR.1_p05,229.108115116444
23,Sample_S19S_0003_ICR.1_p05,229.144519996425
1,Sample_S19S_0003_ICR.1_p05,230.058911959952
41,Sample_S19S_0003_ICR.1_p05,231.029877682756
46,Sample_S19S_0003_ICR.1_p05,231.05101195753
31,Sample_S19S_0003_ICR.1_p05,231.066259288635
49,Sample_S19S_0003_ICR.1_p05,231.087383471431
20,Sample_S19S_0003_ICR.1_p05,231.123754306216
1,Sample_S19S_0003_ICR.1_p05,232.093882228189
45,Sample_S19S_0003_ICR.1_p05,233.009146328913
46,Sample_S19S_0003_ICR.1_p05,233.045530744435
24,Sample_S19S_0003_ICR.1_p05,233.058589040756
66,Sample_S19S_0003_ICR.1_p05,233.066675889465
40,Sample_S19S_0003_ICR.1_p05,233.081920778568
3,Sample_S19S_0003_ICR.1_p05,233.114276552429
26,Sample_S19S_0003_ICR.1_p05,233.118284192922
10,Sample_S19S_0003_ICR.1_p05,233.154684480267
7,Sample_S19S_0003_ICR.1_p05,234.040744475635
53,Sample_S19S_0003_ICR.1_p05,235.024791246263
8,Sample_S19S_0003_ICR.1_p05,235.037830846665
62,Sample_S19S_0003_ICR.1_p05,235.061187254299
15,Sample_S19S_0003_ICR.1_p05,235.074240084576
41,Sample_S19S_0003_ICR.1_p05,235.097574871721
33,Sample_S19S_0003_ICR.1_p05,236.020045700588
45,Sample_S19S_0003_ICR.1_p05,236.056441210259
43,Sample_S19S_0003_ICR.1_p05,237.004057938512
58,Sample_S19S_0003_ICR.1_p05,237.04044214943
5,Sample_S19S_0003_ICR.1_p05,237.053483132313
66,Sample_S19S_0003_ICR.1_p05,237.076835148844
45,Sample_S19S_0003_ICR.1_p05,237.113222661535
1,Sample_S19S_0003_ICR.1_p05,238.035813255442
29,Sample_S19S_0003_ICR.1_p05,238.072065454105
75,Sample_S19S_0003_ICR.1_p05,239.019722068048
95,Sample_S19S_0003_ICR.1_p05,239.056111749827
11,Sample_S19S_0003_ICR.1_p05,239.067335160005
91,Sample_S19S_0003_ICR.1_p05,239.092497043343
47,Sample_S19S_0003_ICR.1_p05,239.128875334313
34,Sample_S19S_0003_ICR.1_p05,240.05134480475
37,Sample_S19S_0003_ICR.1_p05,240.087731859761
87,Sample_S19S_0003_ICR.1_p05,241.03537000793
59,Sample_S19S_0003_ICR.1_p05,241.071742177286
41,Sample_S19S_0003_ICR.1_p05,241.108108701126
14,Sample_S19S_0003_ICR.1_p05,241.136462002825
28,Sample_S19S_0003_ICR.1_p05,241.144500716867
55,Sample_S19S_0003_ICR.1_p05,242.067003394095
17,Sample_S19S_0003_ICR.1_p05,242.139774985264
5,Sample_S19S_0003_ICR.1_p05,242.176146484794
57,Sample_S19S_0003_ICR.1_p05,243.014629673775
82,Sample_S19S_0003_ICR.1_p05,243.051022355256
16,Sample_S19S_0003_ICR.1_p05,243.066250822538
48,Sample_S19S_0003_ICR.1_p05,243.087381596419
25,Sample_S19S_0003_ICR.1_p05,243.123762567035
20,Sample_S19S_0003_ICR.1_p05,243.133514748991
24,Sample_S19S_0003_ICR.1_p05,243.160166460746
73,Sample_S19S_0003_ICR.1_p05,245.045558737924
6,Sample_S19S_0003_ICR.1_p05,245.04891188695
89,Sample_S19S_0003_ICR.1_p05,245.066684736377
50,Sample_S19S_0003_ICR.1_p05,245.081934244529
70,Sample_S19S_0003_ICR.1_p05,245.103064150889
28,Sample_S19S_0003_ICR.1_p05,245.139434182554
53,Sample_S19S_0003_ICR.1_p05,247.024801042077
71,Sample_S19S_0003_ICR.1_p05,247.061201110717
46,Sample_S19S_0003_ICR.1_p05,247.074263164443
75,Sample_S19S_0003_ICR.1_p05,247.082336843181
70,Sample_S19S_0003_ICR.1_p05,247.097594453292
17,Sample_S19S_0003_ICR.1_p05,247.110625955868
43,Sample_S19S_0003_ICR.1_p05,247.118732964001
31,Sample_S19S_0003_ICR.1_p05,248.020054744342
30,Sample_S19S_0003_ICR.1_p05,248.077597517745
49,Sample_S19S_0003_ICR.1_p05,249.004063600746
80,Sample_S19S_0003_ICR.1_p05,249.04046751717
33,Sample_S19S_0003_ICR.1_p05,249.053522835028
12,Sample_S19S_0003_ICR.1_p05,249.071290403713
85,Sample_S19S_0003_ICR.1_p05,249.076852687644
16,Sample_S19S_0003_ICR.1_p05,249.089887662805
37,Sample_S19S_0003_ICR.1_p05,249.113222395913
53,Sample_S19S_0003_ICR.1_p05,250.072090034087
