num.trans.involved.in,sample,peak
14,Sample_S19S_0030_Sed_Field_ICR.U_p2,200.092796017419
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,200.93794587064
33,Sample_S19S_0030_Sed_Field_ICR.U_p2,201.040431265132
37,Sample_S19S_0030_Sed_Field_ICR.U_p2,201.076812231104
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,201.113196944252
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,201.124417891011
21,Sample_S19S_0030_Sed_Field_ICR.U_p2,201.149578211959
39,Sample_S19S_0030_Sed_Field_ICR.U_p2,203.056088073855
18,Sample_S19S_0030_Sed_Field_ICR.U_p2,203.092453588257
23,Sample_S19S_0030_Sed_Field_ICR.U_p2,203.128837832673
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,205.025024768455
21,Sample_S19S_0030_Sed_Field_ICR.U_p2,205.05059474712
34,Sample_S19S_0030_Sed_Field_ICR.U_p2,205.071728897906
37,Sample_S19S_0030_Sed_Field_ICR.U_p2,205.108116619205
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,206.910023102085
32,Sample_S19S_0030_Sed_Field_ICR.U_p2,207.029870854621
35,Sample_S19S_0030_Sed_Field_ICR.U_p2,207.102632074417
30,Sample_S19S_0030_Sed_Field_ICR.U_p2,207.139023484778
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.009120706343
28,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.045511357618
19,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.058568966851
38,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.081898098492
33,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.118293639431
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,209.154680339789
10,Sample_S19S_0030_Sed_Field_ICR.U_p2,210.040762393522
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,210.754343192427
36,Sample_S19S_0030_Sed_Field_ICR.U_p2,211.024787422472
50,Sample_S19S_0030_Sed_Field_ICR.U_p2,211.061173644796
47,Sample_S19S_0030_Sed_Field_ICR.U_p2,211.097554978113
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,211.133937736522
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,212.020018214938
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,212.839342256102
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.015277479573
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.040428460985
49,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.076821569167
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.113209153546
7,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.124441853073
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,213.149580605995
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,214.050931022372
19,Sample_S19S_0030_Sed_Field_ICR.U_p2,214.072073921271
21,Sample_S19S_0030_Sed_Field_ICR.U_p2,214.108465571565
13,Sample_S19S_0030_Sed_Field_ICR.U_p2,214.144827458405
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,214.836392930714
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.004832815648
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.05607855856
50,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.092472606394
36,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.128844637363
5,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.140080494138
26,Sample_S19S_0030_Sed_Field_ICR.U_p2,215.165239431532
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,216.022301935692
15,Sample_S19S_0030_Sed_Field_ICR.U_p2,216.087726625296
16,Sample_S19S_0030_Sed_Field_ICR.U_p2,216.124095214762
13,Sample_S19S_0030_Sed_Field_ICR.U_p2,217.048401331019
49,Sample_S19S_0030_Sed_Field_ICR.U_p2,217.071743109364
52,Sample_S19S_0030_Sed_Field_ICR.U_p2,217.108116925935
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,217.144496656615
17,Sample_S19S_0030_Sed_Field_ICR.U_p2,218.103370495108
22,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.029882278359
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.042942013706
15,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.066240733666
17,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.079302992212
48,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.087387684542
37,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.123766353468
22,Sample_S19S_0030_Sed_Field_ICR.U_p2,219.139026465122
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,220.146855486853
16,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.009125917917
33,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.045519148712
19,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.081891220993
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.093149270158
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.09497440175
32,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.118286459105
17,Sample_S19S_0030_Sed_Field_ICR.U_p2,221.15467759026
7,Sample_S19S_0030_Sed_Field_ICR.U_p2,222.09020962229
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,222.941326676962
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,222.950238026828
30,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.024793149015
20,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.037850234494
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.055624999314
20,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.061152325181
26,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.074229068466
47,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.097560476044
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.110631671739
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,223.133954616791
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,224.087267060683
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,224.947309353375
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.040449425761
35,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.05351313004
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.055714870951
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.071293913514
56,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.076819499069
25,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.113187324246
43,Sample_S19S_0030_Sed_Field_ICR.U_p2,225.149604088393
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,226.072077046101
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,226.971301085661
37,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.056078968671
56,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.092465961673
14,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.103708123404
51,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.128872213729
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.140102377895
39,Sample_S19S_0030_Sed_Field_ICR.U_p2,227.165256441309
25,Sample_S19S_0030_Sed_Field_ICR.U_p2,228.124124742291
16,Sample_S19S_0030_Sed_Field_ICR.U_p2,228.160509533819
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.020480591352
7,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.024894259558
53,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.071741258755
55,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.108115116444
41,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.144519996425
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.155740961779
35,Sample_S19S_0030_Sed_Field_ICR.U_p2,229.180912594677
19,Sample_S19S_0030_Sed_Field_ICR.U_p2,230.103390855762
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.033265296901
7,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.035538008046
36,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.05101195753
32,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.079333565643
53,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.087383471431
26,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.123754306216
10,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.135026698927
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,231.160163006086
27,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.045530744435
5,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.05618899739
27,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.058589040756
50,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.066675889465
53,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.103048775553
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.153894611847
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,233.154684480267
25,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.024791246263
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.037830846665
33,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.061187254299
26,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.074240084576
38,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.097574871721
4,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.10880916231
42,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.110636908137
56,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.118727180867
29,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.133940754073
10,Sample_S19S_0030_Sed_Field_ICR.U_p2,235.14699720317
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,236.105381468175
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,236.965896893828
32,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.04044214943
13,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.053483132313
10,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.071272311008
46,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.076835148844
20,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.089878681132
4,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.101144465418
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.108746274048
46,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.113222661535
47,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.149610225685
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,237.965476866205
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,238.962964376598
11,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.034988337925
18,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.050589942199
57,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.056111749827
10,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.067335160005
60,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.069188197426
33,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.086974340905
78,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.092497043343
60,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.128875334313
46,Sample_S19S_0030_Sed_Field_ICR.U_p2,239.165257144449
16,Sample_S19S_0030_Sed_Field_ICR.U_p2,240.10083139872
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.04661948641
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.066252197511
44,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.071742177286
43,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.108108701126
27,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.136462002825
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.144500716867
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.180915552912
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,241.758342075002
21,Sample_S19S_0030_Sed_Field_ICR.U_p2,242.067003394095
28,Sample_S19S_0030_Sed_Field_ICR.U_p2,242.139774985264
14,Sample_S19S_0030_Sed_Field_ICR.U_p2,242.176146484794
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,242.876834726603
56,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.051022355256
47,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.087381596419
9,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.098659714238
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.123762567035
25,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.133514748991
40,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.160166460746
38,Sample_S19S_0030_Sed_Field_ICR.U_p2,243.196588271639
23,Sample_S19S_0030_Sed_Field_ICR.U_p2,244.082652460043
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,244.130279846518
8,Sample_S19S_0030_Sed_Field_ICR.U_p2,244.136867466335
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,244.972938863659
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.04891188695
4,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.056227948862
42,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.058617390912
76,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.066684736377
48,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.094999345201
78,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.103064150889
18,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.114277610919
48,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.139434182554
39,Sample_S19S_0030_Sed_Field_ICR.U_p2,245.175836697815
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,246.098296036891
22,Sample_S19S_0030_Sed_Field_ICR.U_p2,246.134683049119
7,Sample_S19S_0030_Sed_Field_ICR.U_p2,246.154286371184
47,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.074263164443
72,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.082336843181
57,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.097594453292
26,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.110625955868
61,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.118732964001
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.134126645771
17,Sample_S19S_0030_Sed_Field_ICR.U_p2,247.170327510868
15,Sample_S19S_0030_Sed_Field_ICR.U_p2,248.077597517745
24,Sample_S19S_0030_Sed_Field_ICR.U_p2,248.113987196405
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.022706565235
43,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.04046751717
29,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.053522835028
57,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.076852687644
28,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.089887662805
67,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.097983531647
31,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.107689155473
37,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.113222395913
57,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.126298314245
49,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.149614708999
4,Sample_S19S_0030_Sed_Field_ICR.U_p2,249.152991266922
15,Sample_S19S_0030_Sed_Field_ICR.U_p2,250.093247072193
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,250.121191568137
18,Sample_S19S_0030_Sed_Field_ICR.U_p2,250.144861740769
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,250.981556004188
27,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.050584900033
42,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.056098647611
56,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.069192576234
2,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.078576379697
36,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.086992985207
82,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.092506319237
6,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.095876461915
4,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.10376160971
62,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.10558622319
46,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.128903530196
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.141949573633
45,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.165267297786
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,251.981136323598
3,Sample_S19S_0030_Sed_Field_ICR.U_p2,252.091124257981
1,Sample_S19S_0030_Sed_Field_ICR.U_p2,252.978589348877
