num.trans.involved.in,sample,peak
16,Sample_S19S_0035_Sed_Field_ICR.M_p1,200.092796017419
4,Sample_S19S_0035_Sed_Field_ICR.M_p1,200.93794587064
38,Sample_S19S_0035_Sed_Field_ICR.M_p1,201.040431265132
43,Sample_S19S_0035_Sed_Field_ICR.M_p1,201.076812231104
45,Sample_S19S_0035_Sed_Field_ICR.M_p1,201.113196944252
9,Sample_S19S_0035_Sed_Field_ICR.M_p1,202.108438580329
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,203.034950586133
45,Sample_S19S_0035_Sed_Field_ICR.M_p1,203.056088073855
10,Sample_S19S_0035_Sed_Field_ICR.M_p1,203.087019693813
22,Sample_S19S_0035_Sed_Field_ICR.M_p1,203.092453588257
23,Sample_S19S_0035_Sed_Field_ICR.M_p1,203.128837832673
13,Sample_S19S_0035_Sed_Field_ICR.M_p1,204.066588592769
29,Sample_S19S_0035_Sed_Field_ICR.M_p1,205.014218786201
30,Sample_S19S_0035_Sed_Field_ICR.M_p1,205.05059474712
37,Sample_S19S_0035_Sed_Field_ICR.M_p1,205.071728897906
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,205.086977964246
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,205.159757838433
40,Sample_S19S_0035_Sed_Field_ICR.M_p1,207.029870854621
46,Sample_S19S_0035_Sed_Field_ICR.M_p1,207.066249021166
37,Sample_S19S_0035_Sed_Field_ICR.M_p1,207.102632074417
30,Sample_S19S_0035_Sed_Field_ICR.M_p1,207.139023484778
6,Sample_S19S_0035_Sed_Field_ICR.M_p1,208.074577289772
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,208.097890058785
16,Sample_S19S_0035_Sed_Field_ICR.M_p1,209.009120706343
39,Sample_S19S_0035_Sed_Field_ICR.M_p1,209.045511357618
47,Sample_S19S_0035_Sed_Field_ICR.M_p1,209.081898098492
33,Sample_S19S_0035_Sed_Field_ICR.M_p1,209.118293639431
31,Sample_S19S_0035_Sed_Field_ICR.M_p1,209.154680339789
15,Sample_S19S_0035_Sed_Field_ICR.M_p1,210.040762393522
53,Sample_S19S_0035_Sed_Field_ICR.M_p1,211.024787422472
55,Sample_S19S_0035_Sed_Field_ICR.M_p1,211.061173644796
48,Sample_S19S_0035_Sed_Field_ICR.M_p1,211.097554978113
40,Sample_S19S_0035_Sed_Field_ICR.M_p1,211.133937736522
5,Sample_S19S_0035_Sed_Field_ICR.M_p1,212.020018214938
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.015277479573
38,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.040428460985
54,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.076821569167
40,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.113209153546
5,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.124441853073
30,Sample_S19S_0035_Sed_Field_ICR.M_p1,213.149580605995
8,Sample_S19S_0035_Sed_Field_ICR.M_p1,214.050931022372
21,Sample_S19S_0035_Sed_Field_ICR.M_p1,214.072073921271
10,Sample_S19S_0035_Sed_Field_ICR.M_p1,214.144827458405
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,214.836392930714
48,Sample_S19S_0035_Sed_Field_ICR.M_p1,215.05607855856
49,Sample_S19S_0035_Sed_Field_ICR.M_p1,215.092472606394
35,Sample_S19S_0035_Sed_Field_ICR.M_p1,215.128844637363
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,215.165239431532
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,216.036323359651
13,Sample_S19S_0035_Sed_Field_ICR.M_p1,216.087726625296
14,Sample_S19S_0035_Sed_Field_ICR.M_p1,216.124095214762
3,Sample_S19S_0035_Sed_Field_ICR.M_p1,216.932859219798
10,Sample_S19S_0035_Sed_Field_ICR.M_p1,217.035321129108
13,Sample_S19S_0035_Sed_Field_ICR.M_p1,217.048401331019
52,Sample_S19S_0035_Sed_Field_ICR.M_p1,217.071743109364
49,Sample_S19S_0035_Sed_Field_ICR.M_p1,217.108116925935
30,Sample_S19S_0035_Sed_Field_ICR.M_p1,217.144496656615
18,Sample_S19S_0035_Sed_Field_ICR.M_p1,218.103370495108
35,Sample_S19S_0035_Sed_Field_ICR.M_p1,219.029882278359
34,Sample_S19S_0035_Sed_Field_ICR.M_p1,219.050995029165
21,Sample_S19S_0035_Sed_Field_ICR.M_p1,219.066240733666
17,Sample_S19S_0035_Sed_Field_ICR.M_p1,219.079302992212
49,Sample_S19S_0035_Sed_Field_ICR.M_p1,219.087387684542
4,Sample_S19S_0035_Sed_Field_ICR.M_p1,220.061480308079
10,Sample_S19S_0035_Sed_Field_ICR.M_p1,220.146855486853
27,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.009125917917
44,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.045519148712
26,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.05858606463
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.081891220993
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.09497440175
2,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.150212886269
18,Sample_S19S_0035_Sed_Field_ICR.M_p1,221.15467759026
5,Sample_S19S_0035_Sed_Field_ICR.M_p1,222.09020962229
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,222.950238026828
45,Sample_S19S_0035_Sed_Field_ICR.M_p1,223.024793149015
22,Sample_S19S_0035_Sed_Field_ICR.M_p1,223.061152325181
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,223.074229068466
51,Sample_S19S_0035_Sed_Field_ICR.M_p1,223.097560476044
50,Sample_S19S_0035_Sed_Field_ICR.M_p1,223.133954616791
14,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.004032134366
70,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.040449425761
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.055714870951
65,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.076819499069
26,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.113187324246
44,Sample_S19S_0035_Sed_Field_ICR.M_p1,225.149604088393
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,226.971301085661
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.01968946285
47,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.056078968671
66,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.092465961673
10,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.103708123404
51,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.128872213729
4,Sample_S19S_0035_Sed_Field_ICR.M_p1,227.140102377895
16,Sample_S19S_0035_Sed_Field_ICR.M_p1,228.160509533819
3,Sample_S19S_0035_Sed_Field_ICR.M_p1,228.969241081924
2,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.024894259558
46,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.035349694013
54,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.071741258755
50,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.108115116444
9,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.119345521329
44,Sample_S19S_0035_Sed_Field_ICR.M_p1,229.144519996425
24,Sample_S19S_0035_Sed_Field_ICR.M_p1,230.103390855762
32,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.029877682756
9,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.033265296901
42,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.05101195753
57,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.087383471431
2,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.102599817031
27,Sample_S19S_0035_Sed_Field_ICR.M_p1,231.123754306216
38,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.009146328913
38,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.045530744435
27,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.058589040756
60,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.066675889465
37,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.081920778568
9,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.085297558177
50,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.103048775553
31,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.118284192922
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,233.154684480267
44,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.024791246263
51,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.061187254299
26,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.074240084576
50,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.097574871721
33,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.133940754073
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.137053108953
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,235.789434948927
6,Sample_S19S_0035_Sed_Field_ICR.M_p1,236.105381468175
2,Sample_S19S_0035_Sed_Field_ICR.M_p1,236.965896893828
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.004198579968
48,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.04044214943
16,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.053483132313
60,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.076835148844
22,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.089878681132
2,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.108746274048
54,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.113222661535
51,Sample_S19S_0035_Sed_Field_ICR.M_p1,237.149610225685
25,Sample_S19S_0035_Sed_Field_ICR.M_p1,238.072065454105
1,Sample_S19S_0035_Sed_Field_ICR.M_p1,238.962964376598
52,Sample_S19S_0035_Sed_Field_ICR.M_p1,239.019722068048
27,Sample_S19S_0035_Sed_Field_ICR.M_p1,239.034988337925
20,Sample_S19S_0035_Sed_Field_ICR.M_p1,239.050589942199
78,Sample_S19S_0035_Sed_Field_ICR.M_p1,239.056111749827
9,Sample_S19S_0035_Sed_Field_ICR.M_p1,239.067335160005
