num.trans.involved.in,sample,peak
17,Sample_S19S_0084_Sed_Field_ICR.D_p2,200.092796017419
31,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.040431265132
39,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.076812231104
6,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.088041786092
40,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.113196944252
4,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.124417891011
20,Sample_S19S_0084_Sed_Field_ICR.D_p2,201.149578211959
37,Sample_S19S_0084_Sed_Field_ICR.D_p2,203.056088073855
21,Sample_S19S_0084_Sed_Field_ICR.D_p2,203.092453588257
5,Sample_S19S_0084_Sed_Field_ICR.D_p2,203.103686813096
23,Sample_S19S_0084_Sed_Field_ICR.D_p2,203.128837832673
8,Sample_S19S_0084_Sed_Field_ICR.D_p2,204.066588592769
33,Sample_S19S_0084_Sed_Field_ICR.D_p2,205.071728897906
40,Sample_S19S_0084_Sed_Field_ICR.D_p2,205.108116619205
31,Sample_S19S_0084_Sed_Field_ICR.D_p2,207.029870854621
31,Sample_S19S_0084_Sed_Field_ICR.D_p2,207.066249021166
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,207.601163994607
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,209.009120706343
28,Sample_S19S_0084_Sed_Field_ICR.D_p2,209.045511357618
37,Sample_S19S_0084_Sed_Field_ICR.D_p2,209.081898098492
26,Sample_S19S_0084_Sed_Field_ICR.D_p2,209.154680339789
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,210.842298172441
6,Sample_S19S_0084_Sed_Field_ICR.D_p2,210.863999138701
38,Sample_S19S_0084_Sed_Field_ICR.D_p2,211.024787422472
45,Sample_S19S_0084_Sed_Field_ICR.D_p2,211.061173644796
42,Sample_S19S_0084_Sed_Field_ICR.D_p2,211.097554978113
32,Sample_S19S_0084_Sed_Field_ICR.D_p2,211.133937736522
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,212.020018214938
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.015277479573
28,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.040428460985
46,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.076821569167
37,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.113209153546
8,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.124441853073
27,Sample_S19S_0084_Sed_Field_ICR.D_p2,213.149580605995
3,Sample_S19S_0084_Sed_Field_ICR.D_p2,214.050931022372
20,Sample_S19S_0084_Sed_Field_ICR.D_p2,214.072073921271
12,Sample_S19S_0084_Sed_Field_ICR.D_p2,214.144827458405
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,214.836392930714
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,214.883895382543
36,Sample_S19S_0084_Sed_Field_ICR.D_p2,215.05607855856
44,Sample_S19S_0084_Sed_Field_ICR.D_p2,215.092472606394
32,Sample_S19S_0084_Sed_Field_ICR.D_p2,215.128844637363
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,215.140080494138
22,Sample_S19S_0084_Sed_Field_ICR.D_p2,215.165239431532
15,Sample_S19S_0084_Sed_Field_ICR.D_p2,216.124095214762
10,Sample_S19S_0084_Sed_Field_ICR.D_p2,217.048401331019
42,Sample_S19S_0084_Sed_Field_ICR.D_p2,217.071743109364
48,Sample_S19S_0084_Sed_Field_ICR.D_p2,217.108116925935
31,Sample_S19S_0084_Sed_Field_ICR.D_p2,217.144496656615
19,Sample_S19S_0084_Sed_Field_ICR.D_p2,218.103370495108
44,Sample_S19S_0084_Sed_Field_ICR.D_p2,219.087387684542
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,219.098594989909
5,Sample_S19S_0084_Sed_Field_ICR.D_p2,220.146855486853
35,Sample_S19S_0084_Sed_Field_ICR.D_p2,221.045519148712
18,Sample_S19S_0084_Sed_Field_ICR.D_p2,221.081891220993
7,Sample_S19S_0084_Sed_Field_ICR.D_p2,221.093149270158
13,Sample_S19S_0084_Sed_Field_ICR.D_p2,221.15467759026
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,221.834422358255
6,Sample_S19S_0084_Sed_Field_ICR.D_p2,222.09020962229
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,222.842244815288
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,222.950238026828
32,Sample_S19S_0084_Sed_Field_ICR.D_p2,223.024793149015
14,Sample_S19S_0084_Sed_Field_ICR.D_p2,223.061152325181
19,Sample_S19S_0084_Sed_Field_ICR.D_p2,223.074229068466
40,Sample_S19S_0084_Sed_Field_ICR.D_p2,223.097560476044
42,Sample_S19S_0084_Sed_Field_ICR.D_p2,223.133954616791
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,224.947309353375
10,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.004032134366
50,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.040449425761
19,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.05351313004
8,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.055714870951
51,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.076819499069
24,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.113187324246
40,Sample_S19S_0084_Sed_Field_ICR.D_p2,225.149604088393
24,Sample_S19S_0084_Sed_Field_ICR.D_p2,226.072077046101
34,Sample_S19S_0084_Sed_Field_ICR.D_p2,227.056078968671
52,Sample_S19S_0084_Sed_Field_ICR.D_p2,227.092465961673
12,Sample_S19S_0084_Sed_Field_ICR.D_p2,227.103708123404
48,Sample_S19S_0084_Sed_Field_ICR.D_p2,227.128872213729
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,227.140102377895
11,Sample_S19S_0084_Sed_Field_ICR.D_p2,228.160509533819
47,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.071741258755
44,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.108115116444
13,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.119345521329
41,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.144519996425
8,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.155740961779
30,Sample_S19S_0084_Sed_Field_ICR.D_p2,229.180912594677
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,230.058911959952
16,Sample_S19S_0084_Sed_Field_ICR.D_p2,230.139762503788
32,Sample_S19S_0084_Sed_Field_ICR.D_p2,231.05101195753
49,Sample_S19S_0084_Sed_Field_ICR.D_p2,231.087383471431
25,Sample_S19S_0084_Sed_Field_ICR.D_p2,231.123754306216
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,231.135026698927
29,Sample_S19S_0084_Sed_Field_ICR.D_p2,231.160163006086
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,232.093882228189
28,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.009146328913
49,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.066675889465
5,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.077906535317
45,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.103048775553
10,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.114276552429
20,Sample_S19S_0084_Sed_Field_ICR.D_p2,233.154684480267
33,Sample_S19S_0084_Sed_Field_ICR.D_p2,235.024791246263
36,Sample_S19S_0084_Sed_Field_ICR.D_p2,235.061187254299
18,Sample_S19S_0084_Sed_Field_ICR.D_p2,235.074240084576
33,Sample_S19S_0084_Sed_Field_ICR.D_p2,235.097574871721
6,Sample_S19S_0084_Sed_Field_ICR.D_p2,235.10880916231
4,Sample_S19S_0084_Sed_Field_ICR.D_p2,236.105381468175
11,Sample_S19S_0084_Sed_Field_ICR.D_p2,236.125229159034
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,236.865835602516
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,236.965896893828
27,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.004057938512
33,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.04044214943
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.053483132313
42,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.076835148844
18,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.089878681132
3,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.101144465418
43,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.149610225685
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,237.965476866205
21,Sample_S19S_0084_Sed_Field_ICR.D_p2,238.072065454105
2,Sample_S19S_0084_Sed_Field_ICR.D_p2,238.962964376598
43,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.019722068048
12,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.034988337925
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.050589942199
61,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.056111749827
10,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.067335160005
46,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.069188197426
67,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.092497043343
54,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.128875334313
47,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.165257144449
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,239.760388253115
12,Sample_S19S_0084_Sed_Field_ICR.D_p2,240.10083139872
49,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.03537000793
6,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.04661948641
42,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.071742177286
43,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.108108701126
9,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.119391818517
22,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.136462002825
30,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.144500716867
41,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.180915552912
1,Sample_S19S_0084_Sed_Field_ICR.D_p2,241.758342075002
16,Sample_S19S_0084_Sed_Field_ICR.D_p2,242.067003394095
22,Sample_S19S_0084_Sed_Field_ICR.D_p2,242.139774985264
14,Sample_S19S_0084_Sed_Field_ICR.D_p2,242.176146484794
7,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.033276751001
55,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.051022355256
47,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.087381596419
15,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.098659714238
34,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.123762567035
19,Sample_S19S_0084_Sed_Field_ICR.D_p2,243.133514748991
