"Comparison","Z","P.unadj","P.adj"
"Global core - Global in-between",2.97989421458215,0.00288347942339078,0.0115339176935631
"Global core - Global satellite",28.5820622428805,1.12277081652922e-179,2.35781871471136e-178
"Global in-between - Global satellite",22.5175268112701,2.79540119160663e-112,5.31126226405259e-111
"Global core - Sed Core - Water Sat/In-bet.",-0.827629617745225,0.40788028958632,0.40788028958632
"Global in-between - Sed Core - Water Sat/In-bet.",-3.58623511962123,0.000335486500060205,0.00167743250030103
"Global satellite - Sed Core - Water Sat/In-bet.",-26.7758838659322,6.17052141206126e-158,1.23410428241225e-156
"Global core - Sed Sat - Water Inbetween",14.5923340756863,3.14259079529145e-48,4.71388619293718e-47
"Global in-between - Sed Sat - Water Inbetween",10.2239714591413,1.5486314261633e-24,1.39376828354697e-23
"Global satellite - Sed Sat - Water Inbetween",-15.2250597084519,2.41138370081925e-52,4.09935229139272e-51
"Sed Core - Water Sat/In-bet. - Sed Sat - Water Inbetween",14.3026869427992,2.10521707671918e-46,2.94730390740685e-45
"Global core - Water Core - Sed Sat/In-bet.",11.6504452196648,2.28263122341988e-31,2.51089434576187e-30
"Global in-between - Water Core - Sed Sat/In-bet.",7.36509497584725,1.77020791017897e-13,1.23914553712528e-12
"Global satellite - Water Core - Sed Sat/In-bet.",-20.7462915738445,1.32419920925222e-95,2.383558576654e-94
"Sed Core - Water Sat/In-bet. - Water Core - Sed Sat/In-bet.",11.5756161454436,5.47763000233655e-31,5.47763000233655e-30
"Sed Sat - Water Inbetween - Water Core - Sed Sat/In-bet.",-3.99965654784918,6.34344753972459e-05,0.000380606852383475
"Global core - Water Sat - Sed Inbetween",12.9156795137047,3.6718811656309e-38,4.77344551532018e-37
"Global in-between - Water Sat - Sed Inbetween",8.95160440192621,3.50352540568113e-19,2.8028203245449e-18
"Global satellite - Water Sat - Sed Inbetween",-14.611648115527,2.36721354129381e-48,3.7875416660701e-47
"Sed Core - Water Sat/In-bet. - Water Sat - Sed Inbetween",12.8308864043556,1.10097294569124e-37,1.32116753482949e-36
"Sed Sat - Water Inbetween - Water Sat - Sed Inbetween",-0.877702853151608,0.380104995743147,0.760209991486294
"Water Core - Sed Sat/In-bet. - Water Sat - Sed Inbetween",2.73678799693331,0.00620422618765687,0.0186126785629706
