"Comparison","Z","P.unadj","P.adj"
"Global core - Global in-between",12.9278984835927,3.13264767961119e-38,2.19285337572783e-37
"Global core - Global satellite",53.8043692703782,0,0
"Global in-between - Global satellite",33.5665589002144,5.16225004422572e-247,9.2920500796063e-246
"Global core - Sed Core - Water Sat/In-bet.",7.35884491905945,1.85508389920924e-13,9.27541949604622e-13
"Global in-between - Sed Core - Water Sat/In-bet.",-5.17485010346152,2.28094027398958e-07,9.12376109595833e-07
"Global satellite - Sed Core - Water Sat/In-bet.",-39.6977948033791,0,0
"Global core - Sed Sat - Water Inbetween",28.8794215652104,2.16508792399099e-183,3.46414067838558e-182
"Global in-between - Sed Sat - Water Inbetween",12.4333354683128,1.72292403098512e-35,1.03375441859107e-34
"Global satellite - Sed Sat - Water Inbetween",-26.7652555531363,8.20468428216782e-158,1.23070264232517e-156
"Sed Core - Water Sat/In-bet. - Sed Sat - Water Inbetween",18.343536004042,3.71807726543907e-75,3.71807726543907e-74
"Global core - Water Core - Sed Sat/In-bet.",13.3501965928339,1.18136734131101e-40,9.45093873048806e-40
"Global in-between - Water Core - Sed Sat/In-bet.",-2.38751491215773,0.0169627145809715,0.0169627145809715
"Global satellite - Water Core - Sed Sat/In-bet.",-50.8829152471104,0,0
"Sed Core - Water Sat/In-bet. - Water Core - Sed Sat/In-bet.",3.83393506763756,0.000126109444189684,0.000378328332569051
"Sed Sat - Water Inbetween - Water Core - Sed Sat/In-bet.",-19.3976155421001,8.0834737377843e-84,8.89182111156273e-83
"Global core - Water Sat - Sed Inbetween",29.4856072884968,4.40347340372441e-191,7.48590478633149e-190
"Global in-between - Water Sat - Sed Inbetween",14.0087847214709,1.37741855475665e-44,1.23967669928099e-43
"Global satellite - Water Sat - Sed Inbetween",-20.8693669732181,1.0167113347461e-96,1.42339586864454e-95
"Sed Core - Water Sat/In-bet. - Water Sat - Sed Inbetween",19.5960731637972,1.67026659004464e-85,2.00431990805357e-84
"Sed Sat - Water Inbetween - Water Sat - Sed Inbetween",2.7538598710188,0.00588969794539024,0.0117793958907805
"Water Core - Sed Sat/In-bet. - Water Sat - Sed Inbetween",20.5282699146745,1.20385321313583e-93,1.56500917707658e-92
