"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"200.0564158",1602,720,882,1602,720,882
"200.0565393",2,2,NA,2,2,NA
"200.0578394",2,NA,2,2,NA,2
"200.0677581",2,NA,2,2,NA,2
"200.1291723",1192,1171,21,1192,1171,21
"200.1292836",33,33,NA,33,33,NA
"200.9321855",4,4,NA,4,4,NA
"200.9862886",112,111,1,111,110,1
"201.0226766",631,40,591,651,42,609
"201.0404313",12333,6354,5979,12182,6344,5838
"201.0556834",74,16,58,73,16,57
"201.0768122",16082,8985,7097,16079,8982,7097
"201.0880418",496,496,NA,494,494,NA
"201.0881471",5,5,NA,5,5,NA
"201.1131969",14823,9164,5659,14125,8740,5385
"201.1244179",552,552,NA,547,547,NA
"201.1245236",8,8,NA,8,8,NA
"201.1495782",3104,3088,16,3104,3088,16
"201.1496819",23,23,NA,23,23,NA
"202.0357055",26,26,NA,26,26,NA
"202.0509123",16,8,8,16,8,8
"202.0720568",2237,2004,233,2236,2006,230
"202.1084386",2328,2070,258,2272,2027,245
"202.9807954",2,NA,2,2,NA,2
"203.0019245",12,10,2,12,10,2
"203.0349506",3589,572,3017,3589,572,3017
"203.0383395",97,NA,97,97,NA,97
"203.0462121",9,NA,9,9,NA,9
"203.0560881",12703,8049,4654,12292,7835,4457
"203.0713203",721,19,702,721,19,702
"203.0714368",4,NA,4,4,NA,4
"203.0825593",75,75,NA,53,53,NA
"203.0924536",6408,4296,2112,6027,4056,1971
"203.1036868",732,664,68,687,619,68
"203.1037892",6,6,NA,6,6,NA
"203.1077255",58,NA,58,58,NA,58
"203.1111343",15,15,NA,15,15,NA
"203.1288378",4685,4468,217,4479,4273,206
"204.0302084",2306,314,1992,2368,315,2053
"204.0665886",2544,2128,416,2544,2128,416
"204.0778744",1,NA,1,1,NA,1
"204.0877178",25,25,NA,26,26,NA
"205.0142188",8969,2583,6386,8689,2489,6200
"205.0175843",101,4,97,98,3,95
"205.0254303",18,NA,18,18,NA,18
"205.0329284",7,NA,7,7,NA,7
"205.0353238",27,11,16,26,11,15
"205.0466031",8,8,NA,8,8,NA
"205.0505947",10097,3699,6398,10097,3699,6398
"205.0539743",292,20,272,292,20,272
"205.0618278",56,NA,56,56,NA,56
"205.0717289",6759,5613,1146,6667,5551,1116
"205.0718557",6,NA,6,6,NA,6
"205.1081166",3089,2576,513,3082,2569,513
"205.1233352",59,22,37,58,22,36
"205.1234533",12,12,NA,12,12,NA
"205.1267402",15,15,NA,15,15,NA
"205.1597578",2252,263,1989,2228,244,1984
"206.0094487",41,NA,41,41,NA,41
"206.0095769",9,NA,9,9,NA,9
"206.0319936",2,NA,2,2,NA,2
"206.0571092",4,NA,4,4,NA,4
"206.0782317",2,2,NA,2,2,NA
"206.0822311",881,572,309,881,572,309
"206.0823465",1,1,NA,1,1,NA
"206.9934814",341,23,318,339,22,317
"206.9968605",13,13,NA,13,13,NA
"207.0121103",387,174,213,387,174,213
"207.0298709",15138,5701,9437,14480,5412,9068
"207.0332023",21,NA,21,21,NA,21
"207.0411023",103,NA,103,103,NA,103
"207.0452456",1,NA,1,1,NA,1
"207.0523502",4,NA,4,4,NA,4
"207.0696101",168,119,49,168,119,49
