num.trans.involved.in,sample,peak
33,Sample_S19S_0020_Sed_Field_ICR.D_P2,201.040428838913
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,201.076810098263
35,Sample_S19S_0020_Sed_Field_ICR.D_P2,201.113195172137
2,Sample_S19S_0020_Sed_Field_ICR.D_P2,201.124417784829
6,Sample_S19S_0020_Sed_Field_ICR.D_P2,202.108438205863
27,Sample_S19S_0020_Sed_Field_ICR.D_P2,203.056087175222
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,203.092450934021
19,Sample_S19S_0020_Sed_Field_ICR.D_P2,203.128835679735
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,205.014214790356
36,Sample_S19S_0020_Sed_Field_ICR.D_P2,205.07172701245
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,207.012105733802
35,Sample_S19S_0020_Sed_Field_ICR.D_P2,207.029868673445
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,207.06624596926
18,Sample_S19S_0020_Sed_Field_ICR.D_P2,209.009117772669
29,Sample_S19S_0020_Sed_Field_ICR.D_P2,209.045506696072
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,209.081895718056
31,Sample_S19S_0020_Sed_Field_ICR.D_P2,209.118289802436
20,Sample_S19S_0020_Sed_Field_ICR.D_P2,209.154678803219
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,210.842293881469
3,Sample_S19S_0020_Sed_Field_ICR.D_P2,210.863998619664
44,Sample_S19S_0020_Sed_Field_ICR.D_P2,211.02478471976
49,Sample_S19S_0020_Sed_Field_ICR.D_P2,211.06116880944
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,211.097551070932
29,Sample_S19S_0020_Sed_Field_ICR.D_P2,211.13393101925
3,Sample_S19S_0020_Sed_Field_ICR.D_P2,212.02001348138
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,212.874290777643
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,213.015273001507
35,Sample_S19S_0020_Sed_Field_ICR.D_P2,213.040425518814
44,Sample_S19S_0020_Sed_Field_ICR.D_P2,213.076819070186
35,Sample_S19S_0020_Sed_Field_ICR.D_P2,213.113206317355
23,Sample_S19S_0020_Sed_Field_ICR.D_P2,213.149579962588
6,Sample_S19S_0020_Sed_Field_ICR.D_P2,214.108463693421
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,214.836390531514
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,214.871356900123
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,214.883893727542
12,Sample_S19S_0020_Sed_Field_ICR.D_P2,215.032760585192
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,215.056074556911
45,Sample_S19S_0020_Sed_Field_ICR.D_P2,215.092465854504
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,215.128838604093
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,217.071737794368
41,Sample_S19S_0020_Sed_Field_ICR.D_P2,217.10811039195
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,218.986163445727
26,Sample_S19S_0020_Sed_Field_ICR.D_P2,219.029878764907
42,Sample_S19S_0020_Sed_Field_ICR.D_P2,219.087384410024
17,Sample_S19S_0020_Sed_Field_ICR.D_P2,219.139020271616
6,Sample_S19S_0020_Sed_Field_ICR.D_P2,220.146852171581
23,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.009122926458
30,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.045516913154
23,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.05858435295
9,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.081883728139
19,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.154671998225
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,221.845357752755
5,Sample_S19S_0020_Sed_Field_ICR.D_P2,222.090202464793
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,222.950237849255
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,223.024790529843
15,Sample_S19S_0020_Sed_Field_ICR.D_P2,223.061149718979
17,Sample_S19S_0020_Sed_Field_ICR.D_P2,223.074225591272
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,223.097555728747
31,Sample_S19S_0020_Sed_Field_ICR.D_P2,223.133951763464
2,Sample_S19S_0020_Sed_Field_ICR.D_P2,224.087265091976
2,Sample_S19S_0020_Sed_Field_ICR.D_P2,224.947307783165
14,Sample_S19S_0020_Sed_Field_ICR.D_P2,225.004029495297
51,Sample_S19S_0020_Sed_Field_ICR.D_P2,225.040446255389
47,Sample_S19S_0020_Sed_Field_ICR.D_P2,225.076815039674
16,Sample_S19S_0020_Sed_Field_ICR.D_P2,225.113183674912
30,Sample_S19S_0020_Sed_Field_ICR.D_P2,225.149603167358
16,Sample_S19S_0020_Sed_Field_ICR.D_P2,226.072074666783
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,227.019686077275
43,Sample_S19S_0020_Sed_Field_ICR.D_P2,227.056075931925
45,Sample_S19S_0020_Sed_Field_ICR.D_P2,227.092460363449
37,Sample_S19S_0020_Sed_Field_ICR.D_P2,227.128864986386
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.024891069596
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.03534707521
9,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.050597855663
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.071735363669
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.108108433147
31,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.144513444451
2,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.155736239439
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,229.1809105192
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,230.848892701744
31,Sample_S19S_0020_Sed_Field_ICR.D_P2,231.051010350489
39,Sample_S19S_0020_Sed_Field_ICR.D_P2,231.087380141088
22,Sample_S19S_0020_Sed_Field_ICR.D_P2,231.12375032555
4,Sample_S19S_0020_Sed_Field_ICR.D_P2,231.135022976804
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,232.074173640586
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,232.093881210324
30,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.009144272409
27,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.045528852543
52,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.066673851884
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.103046124965
4,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.114276631759
19,Sample_S19S_0020_Sed_Field_ICR.D_P2,233.154678978628
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,234.882007475838
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.024789161602
44,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.061184947446
17,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.074237858228
26,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.097568690063
49,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.118723207041
27,Sample_S19S_0020_Sed_Field_ICR.D_P2,235.133937382256
3,Sample_S19S_0020_Sed_Field_ICR.D_P2,236.105376530346
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,236.865836493661
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,236.965892381224
37,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.040440209135
10,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.05348276476
9,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.071269825584
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.076832479136
20,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.089878679537
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,237.11322070115
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,238.07206527484
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,238.862912733693
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,238.962962608476
52,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.019720950425
17,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.034986596092
68,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.056109924214
5,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.067333692744
65,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.092495013471
40,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.128871473766
30,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.165254959067
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,239.760383493854
61,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.035368731503
16,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.050626473162
44,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.071742647768
42,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.108111565337
16,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.136460315124
31,Sample_S19S_0020_Sed_Field_ICR.D_P2,241.144502706324
26,Sample_S19S_0020_Sed_Field_ICR.D_P2,242.067003783914
5,Sample_S19S_0020_Sed_Field_ICR.D_P2,242.11641942108
15,Sample_S19S_0020_Sed_Field_ICR.D_P2,242.1397820245
9,Sample_S19S_0020_Sed_Field_ICR.D_P2,242.176148695837
7,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.033274079757
56,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.051021459482
50,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.087384309738
40,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.123768462181
21,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.133516107125
34,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.160171738811
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.171434876406
29,Sample_S19S_0020_Sed_Field_ICR.D_P2,243.196585753687
4,Sample_S19S_0020_Sed_Field_ICR.D_P2,244.136871883331
57,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.045557944508
4,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.048914175613
84,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.066684196906
71,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.10306468827
8,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.11428172662
42,Sample_S19S_0020_Sed_Field_ICR.D_P2,245.139442667919
4,Sample_S19S_0020_Sed_Field_ICR.D_P2,246.109551370685
37,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.024799762108
53,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.061200107422
41,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.07426263034
76,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.082337985289
72,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.097594169359
20,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.110631008632
53,Sample_S19S_0020_Sed_Field_ICR.D_P2,247.118734830312
23,Sample_S19S_0020_Sed_Field_ICR.D_P2,248.11398956945
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,248.863545066278
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.004062591555
3,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.022705488316
69,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.040466808494
23,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.053523053363
69,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.076852839618
25,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.089888841203
62,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.097984214761
22,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.107691406026
37,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.113221938381
38,Sample_S19S_0020_Sed_Field_ICR.D_P2,249.149621085833
9,Sample_S19S_0020_Sed_Field_ICR.D_P2,250.144869956526
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,250.848088984259
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,250.860601766777
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,250.981559260303
47,Sample_S19S_0020_Sed_Field_ICR.D_P2,251.019731932874
1,Sample_S19S_0020_Sed_Field_ICR.D_P2,251.029476400373
