num.trans.involved.in,sample,peak
16,Sample_S19S_0020_Sed_Field_ICR.U_P2,200.092793620269
35,Sample_S19S_0020_Sed_Field_ICR.U_P2,201.040428838913
40,Sample_S19S_0020_Sed_Field_ICR.U_P2,201.076810098263
35,Sample_S19S_0020_Sed_Field_ICR.U_P2,201.113195172137
10,Sample_S19S_0020_Sed_Field_ICR.U_P2,202.108438205863
27,Sample_S19S_0020_Sed_Field_ICR.U_P2,203.056087175222
21,Sample_S19S_0020_Sed_Field_ICR.U_P2,203.092450934021
4,Sample_S19S_0020_Sed_Field_ICR.U_P2,203.103686730626
20,Sample_S19S_0020_Sed_Field_ICR.U_P2,203.128835679735
22,Sample_S19S_0020_Sed_Field_ICR.U_P2,205.014214790356
21,Sample_S19S_0020_Sed_Field_ICR.U_P2,205.050592070528
34,Sample_S19S_0020_Sed_Field_ICR.U_P2,205.07172701245
29,Sample_S19S_0020_Sed_Field_ICR.U_P2,207.029868673445
37,Sample_S19S_0020_Sed_Field_ICR.U_P2,207.06624596926
4,Sample_S19S_0020_Sed_Field_ICR.U_P2,208.074570500613
18,Sample_S19S_0020_Sed_Field_ICR.U_P2,209.009117772669
31,Sample_S19S_0020_Sed_Field_ICR.U_P2,209.045506696072
36,Sample_S19S_0020_Sed_Field_ICR.U_P2,209.081895718056
15,Sample_S19S_0020_Sed_Field_ICR.U_P2,209.154678803219
10,Sample_S19S_0020_Sed_Field_ICR.U_P2,210.040758916259
40,Sample_S19S_0020_Sed_Field_ICR.U_P2,211.02478471976
47,Sample_S19S_0020_Sed_Field_ICR.U_P2,211.06116880944
40,Sample_S19S_0020_Sed_Field_ICR.U_P2,211.097551070932
27,Sample_S19S_0020_Sed_Field_ICR.U_P2,211.13393101925
5,Sample_S19S_0020_Sed_Field_ICR.U_P2,212.02001348138
11,Sample_S19S_0020_Sed_Field_ICR.U_P2,212.056420714086
1,Sample_S19S_0020_Sed_Field_ICR.U_P2,212.886843578694
2,Sample_S19S_0020_Sed_Field_ICR.U_P2,213.015273001507
36,Sample_S19S_0020_Sed_Field_ICR.U_P2,213.040425518814
40,Sample_S19S_0020_Sed_Field_ICR.U_P2,213.076819070186
31,Sample_S19S_0020_Sed_Field_ICR.U_P2,213.113206317355
22,Sample_S19S_0020_Sed_Field_ICR.U_P2,213.149579962588
3,Sample_S19S_0020_Sed_Field_ICR.U_P2,214.050928469246
11,Sample_S19S_0020_Sed_Field_ICR.U_P2,214.144825800491
1,Sample_S19S_0020_Sed_Field_ICR.U_P2,214.836390531514
1,Sample_S19S_0020_Sed_Field_ICR.U_P2,214.883893727542
37,Sample_S19S_0020_Sed_Field_ICR.U_P2,215.056074556911
43,Sample_S19S_0020_Sed_Field_ICR.U_P2,215.092465854504
25,Sample_S19S_0020_Sed_Field_ICR.U_P2,215.128838604093
16,Sample_S19S_0020_Sed_Field_ICR.U_P2,215.165236723624
10,Sample_S19S_0020_Sed_Field_ICR.U_P2,216.051319403898
17,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.014215351888
7,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.035313089569
38,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.071737794368
39,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.10811039195
7,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.119334830102
29,Sample_S19S_0020_Sed_Field_ICR.U_P2,217.144494056276
