num.trans.involved.in,sample,peak
19,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,200.092793620269
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,200.12917087167
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,200.937945233533
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,200.986286124954
33,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,201.076810098263
34,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,201.113195172137
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,202.108438205863
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,203.056087175222
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,203.092450934021
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,203.103686730626
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,203.128835679735
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,204.066586226042
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,205.050592070528
19,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,205.07172701245
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,207.012105733802
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,207.069432641933
20,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,207.102625698725
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,208.074570500613
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,208.097888012139
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,208.819429313441
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,208.934578310206
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,209.045506696072
34,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,209.081895718056
24,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,209.118289802436
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,209.154678803219
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,210.040758916259
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,210.071610080125
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,210.07713778998
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,211.02478471976
23,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,211.06116880944
35,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,211.097551070932
21,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,211.13393101925
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,212.02001348138
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,213.015273001507
27,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,213.076819070186
30,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,213.113206317355
21,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,213.149579962588
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,214.050928469246
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,214.072071067175
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,214.108463693421
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,214.144825800491
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,214.883893727542
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,215.001930538766
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,215.032760585192
31,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,215.092465854504
21,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,215.128838604093
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,216.124088710321
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,216.932857933264
22,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,217.071737794368
33,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,217.10811039195
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,217.119334830102
20,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,217.144494056276
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,218.078221772774
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,218.103365697504
6,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.077485772901
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.079302894106
28,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.087384410024
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.09859476015
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.102621104449
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,219.139020271616
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,220.061477415405
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,220.146852171581
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,220.998674877554
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,221.05858435295
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,221.081883728139
25,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,221.118283113721
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,221.154671998225
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,222.090202464793
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,222.950237849255
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.061149718979
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.074225591272
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.093558661204
26,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.097555728747
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.100947354734
17,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,223.133951763464
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,224.087265091976
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,224.947307783165
31,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,225.076815039674
10,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,225.113183674912
33,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,227.092460363449
19,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,227.128864986386
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,227.140095627189
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,228.124122094142
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,228.160505430471
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,228.969239293674
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.024891069596
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.06367929565
23,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.071735363669
32,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.108108433147
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.119344061544
17,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.144513444451
6,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,229.155736239439
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,231.079328573378
27,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,231.087380141088
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,231.12375032555
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,231.13902602427
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,232.082659293513
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,232.093881210324
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,233.076373446988
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,233.103046124965
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,233.114276631759
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,233.154678978628
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.061184947446
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.074237858228
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.097568690063
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.100972431996
21,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.133937382256
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.146996874046
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,235.170346312846
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,236.105376530346
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,236.865836493661
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,236.965892381224
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,237.076832479136
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,237.089878679537
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,237.108743041172
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,237.11322070115
17,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,238.07206527484
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,238.129616717928
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,238.962962608476
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.034986596092
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.056109924214
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.067333692744
23,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.092495013471
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.124868810702
19,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,239.128871473766
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,240.100828963708
20,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,241.071742647768
28,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,241.108111565337
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,241.11939184397
3,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,241.136460315124
22,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,241.144502706324
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,242.067003783914
6,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,242.1397820245
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,242.176148695837
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,242.948507199645
25,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,243.087384309738
30,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,243.123768462181
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,243.133516107125
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,243.160171738811
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,243.196585753687
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,244.136871883331
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,245.048914175613
20,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,245.10306468827
5,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,245.11428172662
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,245.118284232017
18,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,245.139442667919
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,246.109551370685
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,246.134686691967
8,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.07426263034
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.082337985289
6,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.093571312456
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.110631008632
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.118734830312
15,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.133965173427
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,247.170337692361
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,248.929351758375
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,249.089888841203
14,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,249.097984214761
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,249.107691406026
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,249.113221938381
16,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,249.149621085833
6,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,250.144869956526
1,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,250.981559260303
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.059486321531
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.069196273339
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.078581314784
4,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.095879842113
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.105589226108
9,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.113645773284
11,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.128905534342
13,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,251.165267716594
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,252.978597876223
12,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.071777408786
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.08299790787
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.084819273818
22,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.108136572039
21,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.144537554805
7,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,253.217343487026
2,Sample_S19S_0028_Sed_Field_ICR.U_P1_2,254.045883465523
