num.trans.involved.in,sample,peak
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,200.782786946316
25,Sample_S19S_0046_Sed_Field_ICR.M_P1,201.076810098263
31,Sample_S19S_0046_Sed_Field_ICR.M_P1,201.113195172137
6,Sample_S19S_0046_Sed_Field_ICR.M_P1,202.108438205863
13,Sample_S19S_0046_Sed_Field_ICR.M_P1,203.056087175222
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,203.092450934021
18,Sample_S19S_0046_Sed_Field_ICR.M_P1,203.128835679735
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,208.934578310206
24,Sample_S19S_0046_Sed_Field_ICR.M_P1,209.081895718056
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,209.154678803219
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,209.300375626447
25,Sample_S19S_0046_Sed_Field_ICR.M_P1,211.06116880944
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,211.097551070932
21,Sample_S19S_0046_Sed_Field_ICR.M_P1,211.13393101925
21,Sample_S19S_0046_Sed_Field_ICR.M_P1,213.076819070186
22,Sample_S19S_0046_Sed_Field_ICR.M_P1,213.113206317355
9,Sample_S19S_0046_Sed_Field_ICR.M_P1,214.144825800491
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,214.836390531514
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,214.883893727542
18,Sample_S19S_0046_Sed_Field_ICR.M_P1,215.056074556911
28,Sample_S19S_0046_Sed_Field_ICR.M_P1,215.092465854504
19,Sample_S19S_0046_Sed_Field_ICR.M_P1,215.128838604093
4,Sample_S19S_0046_Sed_Field_ICR.M_P1,217.048393038766
19,Sample_S19S_0046_Sed_Field_ICR.M_P1,217.071737794368
33,Sample_S19S_0046_Sed_Field_ICR.M_P1,217.10811039195
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,218.986163445727
27,Sample_S19S_0046_Sed_Field_ICR.M_P1,219.087384410024
4,Sample_S19S_0046_Sed_Field_ICR.M_P1,220.146852171581
5,Sample_S19S_0046_Sed_Field_ICR.M_P1,221.081883728139
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,221.154671998225
3,Sample_S19S_0046_Sed_Field_ICR.M_P1,222.090202464793
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,222.950237849255
9,Sample_S19S_0046_Sed_Field_ICR.M_P1,223.074225591272
19,Sample_S19S_0046_Sed_Field_ICR.M_P1,223.133951763464
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,224.947307783165
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,225.076815039674
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,225.113183674912
21,Sample_S19S_0046_Sed_Field_ICR.M_P1,225.149603167358
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,227.092460363449
27,Sample_S19S_0046_Sed_Field_ICR.M_P1,227.128864986386
8,Sample_S19S_0046_Sed_Field_ICR.M_P1,228.160505430471
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,228.851853894327
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,229.024891069596
20,Sample_S19S_0046_Sed_Field_ICR.M_P1,229.071735363669
29,Sample_S19S_0046_Sed_Field_ICR.M_P1,229.108108433147
22,Sample_S19S_0046_Sed_Field_ICR.M_P1,229.144513444451
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,230.848892701744
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,231.087380141088
16,Sample_S19S_0046_Sed_Field_ICR.M_P1,231.12375032555
19,Sample_S19S_0046_Sed_Field_ICR.M_P1,231.160162845901
17,Sample_S19S_0046_Sed_Field_ICR.M_P1,233.103046124965
18,Sample_S19S_0046_Sed_Field_ICR.M_P1,233.139404127747
11,Sample_S19S_0046_Sed_Field_ICR.M_P1,233.154678978628
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,233.251160796189
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,235.074237858228
15,Sample_S19S_0046_Sed_Field_ICR.M_P1,235.170346312846
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,236.105376530346
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,236.865836493661
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,236.965892381224
6,Sample_S19S_0046_Sed_Field_ICR.M_P1,237.05348276476
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,238.962962608476
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,239.067333692744
29,Sample_S19S_0046_Sed_Field_ICR.M_P1,239.092495013471
22,Sample_S19S_0046_Sed_Field_ICR.M_P1,239.128871473766
16,Sample_S19S_0046_Sed_Field_ICR.M_P1,241.071742647768
25,Sample_S19S_0046_Sed_Field_ICR.M_P1,241.108111565337
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,241.136460315124
22,Sample_S19S_0046_Sed_Field_ICR.M_P1,241.144502706324
5,Sample_S19S_0046_Sed_Field_ICR.M_P1,242.067003783914
11,Sample_S19S_0046_Sed_Field_ICR.M_P1,242.1397820245
11,Sample_S19S_0046_Sed_Field_ICR.M_P1,242.176148695837
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.051021459482
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.087384309738
29,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.123768462181
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.133516107125
27,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.160171738811
23,Sample_S19S_0046_Sed_Field_ICR.M_P1,243.196585753687
4,Sample_S19S_0046_Sed_Field_ICR.M_P1,244.136871883331
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,245.048914175613
31,Sample_S19S_0046_Sed_Field_ICR.M_P1,245.066684196906
43,Sample_S19S_0046_Sed_Field_ICR.M_P1,245.10306468827
38,Sample_S19S_0046_Sed_Field_ICR.M_P1,245.139442667919
6,Sample_S19S_0046_Sed_Field_ICR.M_P1,246.134686691967
28,Sample_S19S_0046_Sed_Field_ICR.M_P1,247.07426263034
42,Sample_S19S_0046_Sed_Field_ICR.M_P1,247.082337985289
16,Sample_S19S_0046_Sed_Field_ICR.M_P1,247.110631008632
36,Sample_S19S_0046_Sed_Field_ICR.M_P1,247.118734830312
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,248.11398956945
14,Sample_S19S_0046_Sed_Field_ICR.M_P1,249.089888841203
15,Sample_S19S_0046_Sed_Field_ICR.M_P1,249.107691406026
40,Sample_S19S_0046_Sed_Field_ICR.M_P1,249.126300847745
24,Sample_S19S_0046_Sed_Field_ICR.M_P1,249.149621085833
7,Sample_S19S_0046_Sed_Field_ICR.M_P1,250.144869956526
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,250.981559260303
28,Sample_S19S_0046_Sed_Field_ICR.M_P1,251.069196273339
41,Sample_S19S_0046_Sed_Field_ICR.M_P1,251.105589226108
21,Sample_S19S_0046_Sed_Field_ICR.M_P1,251.128905534342
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,252.978597876223
30,Sample_S19S_0046_Sed_Field_ICR.M_P1,253.071777408786
27,Sample_S19S_0046_Sed_Field_ICR.M_P1,253.084819273818
23,Sample_S19S_0046_Sed_Field_ICR.M_P1,253.108136572039
41,Sample_S19S_0046_Sed_Field_ICR.M_P1,253.144537554805
41,Sample_S19S_0046_Sed_Field_ICR.M_P1,255.08741778955
26,Sample_S19S_0046_Sed_Field_ICR.M_P1,255.12378446002
36,Sample_S19S_0046_Sed_Field_ICR.M_P1,255.160206702654
9,Sample_S19S_0046_Sed_Field_ICR.M_P1,255.232972159422
6,Sample_S19S_0046_Sed_Field_ICR.M_P1,256.095743933616
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,256.876531123653
24,Sample_S19S_0046_Sed_Field_ICR.M_P1,257.066678915848
37,Sample_S19S_0046_Sed_Field_ICR.M_P1,257.103058983105
21,Sample_S19S_0046_Sed_Field_ICR.M_P1,257.131388998429
52,Sample_S19S_0046_Sed_Field_ICR.M_P1,257.139456821359
38,Sample_S19S_0046_Sed_Field_ICR.M_P1,257.175843894235
10,Sample_S19S_0046_Sed_Field_ICR.M_P1,258.134716997182
36,Sample_S19S_0046_Sed_Field_ICR.M_P1,259.082344666899
51,Sample_S19S_0046_Sed_Field_ICR.M_P1,259.118710803936
47,Sample_S19S_0046_Sed_Field_ICR.M_P1,259.155115174963
38,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.089934968405
30,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.098010976565
49,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.126313962605
51,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.134373196316
3,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.137559881934
28,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.162707567507
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,261.955582099914
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,262.976033010566
19,Sample_S19S_0046_Sed_Field_ICR.M_P1,263.069158074204
52,Sample_S19S_0046_Sed_Field_ICR.M_P1,263.105587760502
23,Sample_S19S_0046_Sed_Field_ICR.M_P1,263.159769954045
25,Sample_S19S_0046_Sed_Field_ICR.M_P1,263.178371736339
18,Sample_S19S_0046_Sed_Field_ICR.M_P1,264.137212122187
8,Sample_S19S_0046_Sed_Field_ICR.M_P1,264.160535895067
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,264.781071332951
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,264.828574061976
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,264.99721785486
40,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.084843230465
17,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.10262611649
33,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.121246440151
24,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.144571977583
2,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.147920860935
10,Sample_S19S_0046_Sed_Field_ICR.M_P1,265.157565999763
7,Sample_S19S_0046_Sed_Field_ICR.M_P1,266.080107139683
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,266.124610233757
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,266.825608907215
20,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.064134097841
28,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.087432958443
35,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.100479309632
20,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.118291001454
48,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.123807629962
48,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.136878622766
32,Sample_S19S_0046_Sed_Field_ICR.M_P1,267.160189559703
3,Sample_S19S_0046_Sed_Field_ICR.M_P1,268.901406939682
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,268.98302967643
42,Sample_S19S_0046_Sed_Field_ICR.M_P1,269.103067009273
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,269.131222038847
41,Sample_S19S_0046_Sed_Field_ICR.M_P1,269.139470880086
38,Sample_S19S_0046_Sed_Field_ICR.M_P1,269.175866004672
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,270.845486325226
30,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.082324691838
56,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.118722717782
29,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.147057873099
39,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.155140697448
36,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.191501306123
18,Sample_S19S_0046_Sed_Field_ICR.M_P1,271.227900031882
45,Sample_S19S_0046_Sed_Field_ICR.M_P1,273.097992077485
44,Sample_S19S_0046_Sed_Field_ICR.M_P1,273.134389224314
12,Sample_S19S_0046_Sed_Field_ICR.M_P1,273.144100018926
45,Sample_S19S_0046_Sed_Field_ICR.M_P1,273.170775302413
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,274.839586354339
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,274.88709537191
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,274.971666754179
1,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.036361686067
34,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.069196664384
27,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.07725251399
42,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.105564221501
51,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.113633206478
36,Sample_S19S_0046_Sed_Field_ICR.M_P1,275.150049614637
39,Sample_S19S_0046_Sed_Field_ICR.M_P1,277.084850533016
48,Sample_S19S_0046_Sed_Field_ICR.M_P1,277.121236282764
