num.trans.involved.in,sample,peak
18,Sample_S19S_0061_ICR.1_p05,200.092793620269
42,Sample_S19S_0061_ICR.1_p05,201.040428838913
45,Sample_S19S_0061_ICR.1_p05,201.076810098263
34,Sample_S19S_0061_ICR.1_p05,201.113195172137
27,Sample_S19S_0061_ICR.1_p05,203.034942243798
35,Sample_S19S_0061_ICR.1_p05,203.056087175222
8,Sample_S19S_0061_ICR.1_p05,203.071310176779
20,Sample_S19S_0061_ICR.1_p05,203.092450934021
30,Sample_S19S_0061_ICR.1_p05,204.030201690108
35,Sample_S19S_0061_ICR.1_p05,205.014214790356
34,Sample_S19S_0061_ICR.1_p05,205.050592070528
21,Sample_S19S_0061_ICR.1_p05,205.086972572717
11,Sample_S19S_0061_ICR.1_p05,205.159754840765
50,Sample_S19S_0061_ICR.1_p05,207.029868673445
44,Sample_S19S_0061_ICR.1_p05,207.06624596926
25,Sample_S19S_0061_ICR.1_p05,208.025121187784
2,Sample_S19S_0061_ICR.1_p05,208.943423316922
32,Sample_S19S_0061_ICR.1_p05,209.009117772669
40,Sample_S19S_0061_ICR.1_p05,209.045506696072
44,Sample_S19S_0061_ICR.1_p05,209.081895718056
30,Sample_S19S_0061_ICR.1_p05,210.040758916259
21,Sample_S19S_0061_ICR.1_p05,210.07713778998
1,Sample_S19S_0061_ICR.1_p05,210.842293881469
62,Sample_S19S_0061_ICR.1_p05,211.02478471976
10,Sample_S19S_0061_ICR.1_p05,211.036011762215
60,Sample_S19S_0061_ICR.1_p05,211.06116880944
41,Sample_S19S_0061_ICR.1_p05,211.097551070932
31,Sample_S19S_0061_ICR.1_p05,211.13393101925
12,Sample_S19S_0061_ICR.1_p05,212.02001348138
29,Sample_S19S_0061_ICR.1_p05,212.056420714086
21,Sample_S19S_0061_ICR.1_p05,212.092815140363
4,Sample_S19S_0061_ICR.1_p05,213.015273001507
49,Sample_S19S_0061_ICR.1_p05,213.040425518814
50,Sample_S19S_0061_ICR.1_p05,213.076819070186
36,Sample_S19S_0061_ICR.1_p05,213.113206317355
25,Sample_S19S_0061_ICR.1_p05,214.072071067175
17,Sample_S19S_0061_ICR.1_p05,214.108463693421
43,Sample_S19S_0061_ICR.1_p05,215.056074556911
46,Sample_S19S_0061_ICR.1_p05,215.092465854504
22,Sample_S19S_0061_ICR.1_p05,215.128838604093
10,Sample_S19S_0061_ICR.1_p05,216.124088710321
12,Sample_S19S_0061_ICR.1_p05,217.050582012332
48,Sample_S19S_0061_ICR.1_p05,217.071737794368
39,Sample_S19S_0061_ICR.1_p05,217.10811039195
44,Sample_S19S_0061_ICR.1_p05,219.029878764907
23,Sample_S19S_0061_ICR.1_p05,219.066238395282
46,Sample_S19S_0061_ICR.1_p05,219.087384410024
14,Sample_S19S_0061_ICR.1_p05,219.102621104449
8,Sample_S19S_0061_ICR.1_p05,220.025087117255
10,Sample_S19S_0061_ICR.1_p05,220.061477415405
28,Sample_S19S_0061_ICR.1_p05,221.009122926458
43,Sample_S19S_0061_ICR.1_p05,221.045516913154
24,Sample_S19S_0061_ICR.1_p05,221.081883728139
16,Sample_S19S_0061_ICR.1_p05,221.154671998225
14,Sample_S19S_0061_ICR.1_p05,222.040744747377
22,Sample_S19S_0061_ICR.1_p05,222.077137728217
2,Sample_S19S_0061_ICR.1_p05,222.090202464793
2,Sample_S19S_0061_ICR.1_p05,222.959069944853
50,Sample_S19S_0061_ICR.1_p05,223.024790529843
27,Sample_S19S_0061_ICR.1_p05,223.061149718979
15,Sample_S19S_0061_ICR.1_p05,223.072394073475
42,Sample_S19S_0061_ICR.1_p05,223.097555728747
13,Sample_S19S_0061_ICR.1_p05,224.020009559615
41,Sample_S19S_0061_ICR.1_p05,224.056421158355
22,Sample_S19S_0061_ICR.1_p05,225.004029495297
80,Sample_S19S_0061_ICR.1_p05,225.040446255389
15,Sample_S19S_0061_ICR.1_p05,225.051659163471
21,Sample_S19S_0061_ICR.1_p05,225.05571160378
53,Sample_S19S_0061_ICR.1_p05,225.076815039674
22,Sample_S19S_0061_ICR.1_p05,225.113183674912
24,Sample_S19S_0061_ICR.1_p05,226.035675349069
33,Sample_S19S_0061_ICR.1_p05,226.072074666783
28,Sample_S19S_0061_ICR.1_p05,227.019686077275
53,Sample_S19S_0061_ICR.1_p05,227.056075931925
54,Sample_S19S_0061_ICR.1_p05,227.092460363449
35,Sample_S19S_0061_ICR.1_p05,227.128864986386
13,Sample_S19S_0061_ICR.1_p05,228.051307419995
7,Sample_S19S_0061_ICR.1_p05,228.160505430471
45,Sample_S19S_0061_ICR.1_p05,229.03534707521
51,Sample_S19S_0061_ICR.1_p05,229.071735363669
41,Sample_S19S_0061_ICR.1_p05,229.108108433147
26,Sample_S19S_0061_ICR.1_p05,229.144513444451
28,Sample_S19S_0061_ICR.1_p05,230.066980630624
43,Sample_S19S_0061_ICR.1_p05,231.029875504771
46,Sample_S19S_0061_ICR.1_p05,231.051010350489
