num.trans.involved.in,sample,peak
35,Sample_S19S_0058_Sed_Field_ICR.U_p2,200.0564158
35,Sample_S19S_0058_Sed_Field_ICR.U_p2,200.092796
15,Sample_S19S_0058_Sed_Field_ICR.U_p2,200.1291723
42,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.0404313
49,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.0768122
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.0880418
44,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.1131969
8,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.1244179
22,Sample_S19S_0058_Sed_Field_ICR.U_p2,201.1495782
27,Sample_S19S_0058_Sed_Field_ICR.U_p2,202.0720568
17,Sample_S19S_0058_Sed_Field_ICR.U_p2,202.1084386
26,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.0349506
50,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.0560881
6,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.0825593
20,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.0924536
11,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.1036868
23,Sample_S19S_0058_Sed_Field_ICR.U_p2,203.1288378
21,Sample_S19S_0058_Sed_Field_ICR.U_p2,204.0665886
30,Sample_S19S_0058_Sed_Field_ICR.U_p2,205.0142188
30,Sample_S19S_0058_Sed_Field_ICR.U_p2,205.0505947
43,Sample_S19S_0058_Sed_Field_ICR.U_p2,205.0717289
38,Sample_S19S_0058_Sed_Field_ICR.U_p2,205.1081166
41,Sample_S19S_0058_Sed_Field_ICR.U_p2,207.0298709
44,Sample_S19S_0058_Sed_Field_ICR.U_p2,207.066249
2,Sample_S19S_0058_Sed_Field_ICR.U_p2,207.0696101
36,Sample_S19S_0058_Sed_Field_ICR.U_p2,207.1026321
29,Sample_S19S_0058_Sed_Field_ICR.U_p2,207.1390235
18,Sample_S19S_0058_Sed_Field_ICR.U_p2,208.0251215
33,Sample_S19S_0058_Sed_Field_ICR.U_p2,208.0615064
28,Sample_S19S_0058_Sed_Field_ICR.U_p2,208.0978901
14,Sample_S19S_0058_Sed_Field_ICR.U_p2,209.0091207
39,Sample_S19S_0058_Sed_Field_ICR.U_p2,209.0455114
45,Sample_S19S_0058_Sed_Field_ICR.U_p2,209.0818981
34,Sample_S19S_0058_Sed_Field_ICR.U_p2,209.1182936
31,Sample_S19S_0058_Sed_Field_ICR.U_p2,209.1546803
28,Sample_S19S_0058_Sed_Field_ICR.U_p2,210.0407624
26,Sample_S19S_0058_Sed_Field_ICR.U_p2,210.0771409
58,Sample_S19S_0058_Sed_Field_ICR.U_p2,211.0247874
65,Sample_S19S_0058_Sed_Field_ICR.U_p2,211.0611736
21,Sample_S19S_0058_Sed_Field_ICR.U_p2,211.0723904
51,Sample_S19S_0058_Sed_Field_ICR.U_p2,211.097555
41,Sample_S19S_0058_Sed_Field_ICR.U_p2,211.1339377
10,Sample_S19S_0058_Sed_Field_ICR.U_p2,212.0200182
36,Sample_S19S_0058_Sed_Field_ICR.U_p2,212.0564229
45,Sample_S19S_0058_Sed_Field_ICR.U_p2,212.0928177
36,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0040549
1,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0152775
43,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0404285
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0557102
59,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0768216
25,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.0880482
47,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.1132092
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.1244419
28,Sample_S19S_0058_Sed_Field_ICR.U_p2,213.1495806
11,Sample_S19S_0058_Sed_Field_ICR.U_p2,214.0356668
9,Sample_S19S_0058_Sed_Field_ICR.U_p2,214.050931
42,Sample_S19S_0058_Sed_Field_ICR.U_p2,214.0720739
39,Sample_S19S_0058_Sed_Field_ICR.U_p2,214.1084656
17,Sample_S19S_0058_Sed_Field_ICR.U_p2,214.1448275
49,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.0560786
54,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.0924726
19,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.1036945
38,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.1288446
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.1400805
23,Sample_S19S_0058_Sed_Field_ICR.U_p2,215.1652394
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,216.0513193
36,Sample_S19S_0058_Sed_Field_ICR.U_p2,216.0877266
23,Sample_S19S_0058_Sed_Field_ICR.U_p2,216.1240952
12,Sample_S19S_0058_Sed_Field_ICR.U_p2,217.0505866
9,Sample_S19S_0058_Sed_Field_ICR.U_p2,217.0539849
58,Sample_S19S_0058_Sed_Field_ICR.U_p2,217.0717431
47,Sample_S19S_0058_Sed_Field_ICR.U_p2,217.1081169
30,Sample_S19S_0058_Sed_Field_ICR.U_p2,217.1444967
3,Sample_S19S_0058_Sed_Field_ICR.U_p2,218.0782233
31,Sample_S19S_0058_Sed_Field_ICR.U_p2,218.1033705
38,Sample_S19S_0058_Sed_Field_ICR.U_p2,219.0298823
18,Sample_S19S_0058_Sed_Field_ICR.U_p2,219.0662407
14,Sample_S19S_0058_Sed_Field_ICR.U_p2,219.0774907
49,Sample_S19S_0058_Sed_Field_ICR.U_p2,219.0873877
21,Sample_S19S_0058_Sed_Field_ICR.U_p2,219.1026309
10,Sample_S19S_0058_Sed_Field_ICR.U_p2,220.0614803
26,Sample_S19S_0058_Sed_Field_ICR.U_p2,220.0979011
19,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.0091259
47,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.0455191
8,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.0666255
25,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.0818912
17,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.0931493
31,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.1182865
16,Sample_S19S_0058_Sed_Field_ICR.U_p2,221.1546776
10,Sample_S19S_0058_Sed_Field_ICR.U_p2,222.0407486
22,Sample_S19S_0058_Sed_Field_ICR.U_p2,222.0771399
48,Sample_S19S_0058_Sed_Field_ICR.U_p2,223.0247931
25,Sample_S19S_0058_Sed_Field_ICR.U_p2,223.0611523
