num.trans.involved.in,sample,peak
17,Sample_S19S_0073_Sed_Field_ICR.M_p2,200.092796
35,Sample_S19S_0073_Sed_Field_ICR.M_p2,201.0404313
39,Sample_S19S_0073_Sed_Field_ICR.M_p2,201.0768122
37,Sample_S19S_0073_Sed_Field_ICR.M_p2,201.1131969
4,Sample_S19S_0073_Sed_Field_ICR.M_p2,201.1244179
19,Sample_S19S_0073_Sed_Field_ICR.M_p2,201.1495782
14,Sample_S19S_0073_Sed_Field_ICR.M_p2,202.0720568
11,Sample_S19S_0073_Sed_Field_ICR.M_p2,202.1084386
38,Sample_S19S_0073_Sed_Field_ICR.M_p2,203.0560881
20,Sample_S19S_0073_Sed_Field_ICR.M_p2,203.0924536
5,Sample_S19S_0073_Sed_Field_ICR.M_p2,203.1036868
21,Sample_S19S_0073_Sed_Field_ICR.M_p2,203.1288378
15,Sample_S19S_0073_Sed_Field_ICR.M_p2,204.0665886
31,Sample_S19S_0073_Sed_Field_ICR.M_p2,205.0142188
29,Sample_S19S_0073_Sed_Field_ICR.M_p2,205.0505947
32,Sample_S19S_0073_Sed_Field_ICR.M_p2,205.0717289
40,Sample_S19S_0073_Sed_Field_ICR.M_p2,207.0298709
37,Sample_S19S_0073_Sed_Field_ICR.M_p2,207.066249
15,Sample_S19S_0073_Sed_Field_ICR.M_p2,209.0091207
36,Sample_S19S_0073_Sed_Field_ICR.M_p2,209.0455114
37,Sample_S19S_0073_Sed_Field_ICR.M_p2,209.0818981
24,Sample_S19S_0073_Sed_Field_ICR.M_p2,209.1546803
15,Sample_S19S_0073_Sed_Field_ICR.M_p2,210.0407624
54,Sample_S19S_0073_Sed_Field_ICR.M_p2,211.0247874
53,Sample_S19S_0073_Sed_Field_ICR.M_p2,211.0611736
40,Sample_S19S_0073_Sed_Field_ICR.M_p2,211.097555
33,Sample_S19S_0073_Sed_Field_ICR.M_p2,211.1339377
6,Sample_S19S_0073_Sed_Field_ICR.M_p2,212.0200182
22,Sample_S19S_0073_Sed_Field_ICR.M_p2,212.0564229
1,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.0152775
35,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.0404285
49,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.0768216
33,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.1132092
8,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.1244419
23,Sample_S19S_0073_Sed_Field_ICR.M_p2,213.1495806
6,Sample_S19S_0073_Sed_Field_ICR.M_p2,214.050931
22,Sample_S19S_0073_Sed_Field_ICR.M_p2,214.0720739
12,Sample_S19S_0073_Sed_Field_ICR.M_p2,214.1448275
40,Sample_S19S_0073_Sed_Field_ICR.M_p2,215.0560786
42,Sample_S19S_0073_Sed_Field_ICR.M_p2,215.0924726
30,Sample_S19S_0073_Sed_Field_ICR.M_p2,215.1288446
9,Sample_S19S_0073_Sed_Field_ICR.M_p2,215.1400805
19,Sample_S19S_0073_Sed_Field_ICR.M_p2,215.1652394
