num.trans.involved.in,sample,peak
12,Sample_S19S_0090_Sed_Field_ICR.D_p2,200.1291723
32,Sample_S19S_0090_Sed_Field_ICR.D_p2,201.0404313
38,Sample_S19S_0090_Sed_Field_ICR.D_p2,201.0768122
35,Sample_S19S_0090_Sed_Field_ICR.D_p2,201.1131969
5,Sample_S19S_0090_Sed_Field_ICR.D_p2,201.1244179
17,Sample_S19S_0090_Sed_Field_ICR.D_p2,201.1495782
10,Sample_S19S_0090_Sed_Field_ICR.D_p2,202.1084386
20,Sample_S19S_0090_Sed_Field_ICR.D_p2,203.0349506
37,Sample_S19S_0090_Sed_Field_ICR.D_p2,203.0560881
18,Sample_S19S_0090_Sed_Field_ICR.D_p2,203.0924536
6,Sample_S19S_0090_Sed_Field_ICR.D_p2,203.1036868
19,Sample_S19S_0090_Sed_Field_ICR.D_p2,203.1288378
31,Sample_S19S_0090_Sed_Field_ICR.D_p2,205.0142188
25,Sample_S19S_0090_Sed_Field_ICR.D_p2,205.0505947
31,Sample_S19S_0090_Sed_Field_ICR.D_p2,205.0717289
36,Sample_S19S_0090_Sed_Field_ICR.D_p2,207.0298709
17,Sample_S19S_0090_Sed_Field_ICR.D_p2,209.0091207
33,Sample_S19S_0090_Sed_Field_ICR.D_p2,209.0455114
34,Sample_S19S_0090_Sed_Field_ICR.D_p2,209.0818981
26,Sample_S19S_0090_Sed_Field_ICR.D_p2,209.1546803
50,Sample_S19S_0090_Sed_Field_ICR.D_p2,211.0247874
51,Sample_S19S_0090_Sed_Field_ICR.D_p2,211.0611736
38,Sample_S19S_0090_Sed_Field_ICR.D_p2,211.097555
28,Sample_S19S_0090_Sed_Field_ICR.D_p2,211.1339377
4,Sample_S19S_0090_Sed_Field_ICR.D_p2,212.0200182
38,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.0040549
1,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.0152775
35,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.0404285
46,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.0768216
34,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.1132092
7,Sample_S19S_0090_Sed_Field_ICR.D_p2,213.1244419
5,Sample_S19S_0090_Sed_Field_ICR.D_p2,214.050931
16,Sample_S19S_0090_Sed_Field_ICR.D_p2,214.1084656
11,Sample_S19S_0090_Sed_Field_ICR.D_p2,214.1448275
14,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.0196827
37,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.0560786
41,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.0924726
29,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.1288446
10,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.1400805
16,Sample_S19S_0090_Sed_Field_ICR.D_p2,215.1652394
16,Sample_S19S_0090_Sed_Field_ICR.D_p2,216.1240952
44,Sample_S19S_0090_Sed_Field_ICR.D_p2,217.0717431
41,Sample_S19S_0090_Sed_Field_ICR.D_p2,217.1081169
14,Sample_S19S_0090_Sed_Field_ICR.D_p2,218.1033705
40,Sample_S19S_0090_Sed_Field_ICR.D_p2,219.0298823
39,Sample_S19S_0090_Sed_Field_ICR.D_p2,219.0873877
2,Sample_S19S_0090_Sed_Field_ICR.D_p2,219.098595
22,Sample_S19S_0090_Sed_Field_ICR.D_p2,221.0091259
42,Sample_S19S_0090_Sed_Field_ICR.D_p2,221.0455191
19,Sample_S19S_0090_Sed_Field_ICR.D_p2,221.0818912
8,Sample_S19S_0090_Sed_Field_ICR.D_p2,221.0931493
11,Sample_S19S_0090_Sed_Field_ICR.D_p2,221.1546776
43,Sample_S19S_0090_Sed_Field_ICR.D_p2,223.0247931
17,Sample_S19S_0090_Sed_Field_ICR.D_p2,223.0611523
5,Sample_S19S_0090_Sed_Field_ICR.D_p2,223.0935597
41,Sample_S19S_0090_Sed_Field_ICR.D_p2,223.0975605
40,Sample_S19S_0090_Sed_Field_ICR.D_p2,223.1339546
14,Sample_S19S_0090_Sed_Field_ICR.D_p2,225.0040321
61,Sample_S19S_0090_Sed_Field_ICR.D_p2,225.0404494
53,Sample_S19S_0090_Sed_Field_ICR.D_p2,225.0768195
18,Sample_S19S_0090_Sed_Field_ICR.D_p2,225.1131873
38,Sample_S19S_0090_Sed_Field_ICR.D_p2,225.1496041
24,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.0196895
39,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.056079
48,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.092466
13,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.1037081
42,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.1288722
9,Sample_S19S_0090_Sed_Field_ICR.D_p2,227.1401024
14,Sample_S19S_0090_Sed_Field_ICR.D_p2,228.1605095
45,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.0353497
47,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.0717413
39,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.1081151
12,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.1193455
35,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.14452
7,Sample_S19S_0090_Sed_Field_ICR.D_p2,229.155741
34,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.0298777
35,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.051012
45,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.0873835
13,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.0986346
23,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.1237543
11,Sample_S19S_0090_Sed_Field_ICR.D_p2,231.1350267
3,Sample_S19S_0090_Sed_Field_ICR.D_p2,232.0938822
39,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.0091463
38,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.0455307
52,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.0666759
7,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.0779065
43,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.1030488
10,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.1142766
18,Sample_S19S_0090_Sed_Field_ICR.D_p2,233.1546845
47,Sample_S19S_0090_Sed_Field_ICR.D_p2,235.0247912
50,Sample_S19S_0090_Sed_Field_ICR.D_p2,235.0611873
42,Sample_S19S_0090_Sed_Field_ICR.D_p2,235.0975749
6,Sample_S19S_0090_Sed_Field_ICR.D_p2,235.1088092
17,Sample_S19S_0090_Sed_Field_ICR.D_p2,236.0564412
37,Sample_S19S_0090_Sed_Field_ICR.D_p2,237.0040579
48,Sample_S19S_0090_Sed_Field_ICR.D_p2,237.0404421
51,Sample_S19S_0090_Sed_Field_ICR.D_p2,237.0768351
44,Sample_S19S_0090_Sed_Field_ICR.D_p2,237.1132227
18,Sample_S19S_0090_Sed_Field_ICR.D_p2,238.0720655
1,Sample_S19S_0090_Sed_Field_ICR.D_p2,238.9629644
57,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.0197221
25,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.0349883
74,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.0561117
10,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.0673352
75,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.092497
55,Sample_S19S_0090_Sed_Field_ICR.D_p2,239.1288753
49,Sample_S19S_0090_Sed_Field_ICR.D_p2,240.9990078
60,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.03537
4,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.0466195
23,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.0506299
45,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.0717422
36,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.1081087
8,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.1193918
28,Sample_S19S_0090_Sed_Field_ICR.D_p2,241.1445007
21,Sample_S19S_0090_Sed_Field_ICR.D_p2,242.0670034
28,Sample_S19S_0090_Sed_Field_ICR.D_p2,242.1033669
23,Sample_S19S_0090_Sed_Field_ICR.D_p2,242.139775
11,Sample_S19S_0090_Sed_Field_ICR.D_p2,242.1761465
58,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.0510224
47,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.0873816
11,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.0986597
29,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.1237626
33,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.1601665
30,Sample_S19S_0090_Sed_Field_ICR.D_p2,243.1965883
