num.trans.involved.in,sample,peak
26,Sample_S19S_0094_ICR.3_p05,201.0768122
22,Sample_S19S_0094_ICR.3_p05,201.1131969
23,Sample_S19S_0094_ICR.3_p05,205.0505947
7,Sample_S19S_0094_ICR.3_p05,205.1597578
1,Sample_S19S_0094_ICR.3_p05,207.0121103
30,Sample_S19S_0094_ICR.3_p05,207.0298709
34,Sample_S19S_0094_ICR.3_p05,207.066249
12,Sample_S19S_0094_ICR.3_p05,209.0091207
32,Sample_S19S_0094_ICR.3_p05,209.0455114
30,Sample_S19S_0094_ICR.3_p05,209.0818981
40,Sample_S19S_0094_ICR.3_p05,211.0247874
38,Sample_S19S_0094_ICR.3_p05,211.0611736
29,Sample_S19S_0094_ICR.3_p05,211.097555
23,Sample_S19S_0094_ICR.3_p05,213.0404285
35,Sample_S19S_0094_ICR.3_p05,213.0768216
31,Sample_S19S_0094_ICR.3_p05,215.0560786
18,Sample_S19S_0094_ICR.3_p05,215.1288446
1,Sample_S19S_0094_ICR.3_p05,217.0539849
17,Sample_S19S_0094_ICR.3_p05,219.0662407
22,Sample_S19S_0094_ICR.3_p05,221.0091259
35,Sample_S19S_0094_ICR.3_p05,221.0455191
22,Sample_S19S_0094_ICR.3_p05,221.0818912
41,Sample_S19S_0094_ICR.3_p05,223.0247931
20,Sample_S19S_0094_ICR.3_p05,223.0611523
39,Sample_S19S_0094_ICR.3_p05,223.0975605
12,Sample_S19S_0094_ICR.3_p05,225.0040321
65,Sample_S19S_0094_ICR.3_p05,225.0404494
48,Sample_S19S_0094_ICR.3_p05,225.0768195
19,Sample_S19S_0094_ICR.3_p05,225.1131873
31,Sample_S19S_0094_ICR.3_p05,227.056079
41,Sample_S19S_0094_ICR.3_p05,227.092466
3,Sample_S19S_0094_ICR.3_p05,228.1605095
35,Sample_S19S_0094_ICR.3_p05,229.0717413
23,Sample_S19S_0094_ICR.3_p05,229.14452
6,Sample_S19S_0094_ICR.3_p05,230.1397625
34,Sample_S19S_0094_ICR.3_p05,231.051012
37,Sample_S19S_0094_ICR.3_p05,231.0873835
15,Sample_S19S_0094_ICR.3_p05,231.1237543
38,Sample_S19S_0094_ICR.3_p05,233.0455307
37,Sample_S19S_0094_ICR.3_p05,233.0819208
12,Sample_S19S_0094_ICR.3_p05,233.1546845
39,Sample_S19S_0094_ICR.3_p05,235.0247912
51,Sample_S19S_0094_ICR.3_p05,235.0611873
39,Sample_S19S_0094_ICR.3_p05,235.0975749
47,Sample_S19S_0094_ICR.3_p05,237.0404421
58,Sample_S19S_0094_ICR.3_p05,237.0768351
1,Sample_S19S_0094_ICR.3_p05,238.9629644
61,Sample_S19S_0094_ICR.3_p05,239.0197221
21,Sample_S19S_0094_ICR.3_p05,239.0349883
79,Sample_S19S_0094_ICR.3_p05,239.0561117
4,Sample_S19S_0094_ICR.3_p05,239.0673352
78,Sample_S19S_0094_ICR.3_p05,239.092497
45,Sample_S19S_0094_ICR.3_p05,239.1288753
23,Sample_S19S_0094_ICR.3_p05,239.1652571
67,Sample_S19S_0094_ICR.3_p05,241.03537
44,Sample_S19S_0094_ICR.3_p05,241.0717422
31,Sample_S19S_0094_ICR.3_p05,241.1081087
19,Sample_S19S_0094_ICR.3_p05,241.1445007
10,Sample_S19S_0094_ICR.3_p05,242.139775
4,Sample_S19S_0094_ICR.3_p05,242.1761465
68,Sample_S19S_0094_ICR.3_p05,243.0510224
38,Sample_S19S_0094_ICR.3_p05,243.0873816
18,Sample_S19S_0094_ICR.3_p05,243.1237626
20,Sample_S19S_0094_ICR.3_p05,243.1601665
5,Sample_S19S_0094_ICR.3_p05,245.0489119
77,Sample_S19S_0094_ICR.3_p05,245.0666847
48,Sample_S19S_0094_ICR.3_p05,245.0819342
57,Sample_S19S_0094_ICR.3_p05,245.1030642
42,Sample_S19S_0094_ICR.3_p05,247.024801
66,Sample_S19S_0094_ICR.3_p05,247.0612011
2,Sample_S19S_0094_ICR.3_p05,247.0645256
62,Sample_S19S_0094_ICR.3_p05,247.0823368
65,Sample_S19S_0094_ICR.3_p05,247.0975945
40,Sample_S19S_0094_ICR.3_p05,249.0040636
74,Sample_S19S_0094_ICR.3_p05,249.0404675
79,Sample_S19S_0094_ICR.3_p05,249.0768527
34,Sample_S19S_0094_ICR.3_p05,249.1132224
38,Sample_S19S_0094_ICR.3_p05,249.1496147
65,Sample_S19S_0094_ICR.3_p05,251.0197332
63,Sample_S19S_0094_ICR.3_p05,251.0560986
4,Sample_S19S_0094_ICR.3_p05,251.0594793
103,Sample_S19S_0094_ICR.3_p05,251.0925063
4,Sample_S19S_0094_ICR.3_p05,251.0958765
43,Sample_S19S_0094_ICR.3_p05,251.1289035
87,Sample_S19S_0094_ICR.3_p05,253.0353983
107,Sample_S19S_0094_ICR.3_p05,253.0717756
41,Sample_S19S_0094_ICR.3_p05,253.1081345
43,Sample_S19S_0094_ICR.3_p05,253.1445337
53,Sample_S19S_0094_ICR.3_p05,255.0146298
82,Sample_S19S_0094_ICR.3_p05,255.0510433
102,Sample_S19S_0094_ICR.3_p05,255.0874163
40,Sample_S19S_0094_ICR.3_p05,255.1237776
3,Sample_S19S_0094_ICR.3_p05,255.2329705
71,Sample_S19S_0094_ICR.3_p05,257.030304
87,Sample_S19S_0094_ICR.3_p05,257.0666765
61,Sample_S19S_0094_ICR.3_p05,257.1030521
46,Sample_S19S_0094_ICR.3_p05,257.1394516
10,Sample_S19S_0094_ICR.3_p05,258.1347123
48,Sample_S19S_0094_ICR.3_p05,259.0248281
76,Sample_S19S_0094_ICR.3_p05,259.0459547
80,Sample_S19S_0094_ICR.3_p05,259.0823405
57,Sample_S19S_0094_ICR.3_p05,259.1187072
58,Sample_S19S_0094_ICR.3_p05,261.040468
86,Sample_S19S_0094_ICR.3_p05,261.0768598
58,Sample_S19S_0094_ICR.3_p05,261.1132477
45,Sample_S19S_0094_ICR.3_p05,263.019721
81,Sample_S19S_0094_ICR.3_p05,263.0561329
45,Sample_S19S_0094_ICR.3_p05,263.0924815
42,Sample_S19S_0094_ICR.3_p05,263.128908
47,Sample_S19S_0094_ICR.3_p05,264.9989861
81,Sample_S19S_0094_ICR.3_p05,265.0353938
78,Sample_S19S_0094_ICR.3_p05,265.0717855
90,Sample_S19S_0094_ICR.3_p05,265.1081545
36,Sample_S19S_0094_ICR.3_p05,265.1445692
4,Sample_S19S_0094_ICR.3_p05,265.1479151
1,Sample_S19S_0094_ICR.3_p05,266.9942715
66,Sample_S19S_0094_ICR.3_p05,267.0146829
101,Sample_S19S_0094_ICR.3_p05,267.0510336
99,Sample_S19S_0094_ICR.3_p05,267.0874299
82,Sample_S19S_0094_ICR.3_p05,267.123805
37,Sample_S19S_0094_ICR.3_p05,267.1601848
