"Comparison","Z","P.unadj","P.adj"
"Global core - Global in-between",5.1341967349463,2.83351580893773e-07,4.2502737134066e-06
"Global core - Global satellite",10.7708036654085,4.72855485945782e-27,9.45710971891563e-26
"Global in-between - Global satellite",4.2636286478824,2.01133611047787e-05,0.000241360333257344
"Global core - Sed Core - Water Sat/In-bet.",3.43376179129528,0.000595267070865839,0.00595267070865839
"Global in-between - Sed Core - Water Sat/In-bet.",-1.70043494365102,0.0890491436601377,0.356196574640551
"Global satellite - Sed Core - Water Sat/In-bet.",-6.41879105312085,1.37360786041729e-10,2.33513336270939e-09
"Global core - Sed Sat - Water Inbetween",6.40104135208969,1.54320766186802e-10,2.46913225898883e-09
"Global in-between - Sed Sat - Water Inbetween",0.57569313135909,0.564822618822986,0.564822618822986
"Global satellite - Sed Sat - Water Inbetween",-4.52060951832737,6.16618346760044e-06,8.01603850788057e-05
"Sed Core - Water Sat/In-bet. - Sed Sat - Water Inbetween",2.50503596429773,0.0122438942858444,0.0857072600009107
"Global core - Water Core - Sed Sat/In-bet.",3.09011644534801,0.00200078036732343,0.0160062429385875
"Global in-between - Water Core - Sed Sat/In-bet.",-3.1583751028435,0.00158651275222759,0.0142786147700483
"Global satellite - Water Core - Sed Sat/In-bet.",-10.9223837504004,9.00995501988267e-28,1.89209055417536e-26
"Sed Core - Water Sat/In-bet. - Water Core - Sed Sat/In-bet.",-1.08888810766625,0.276203231164714,0.552406462329427
"Sed Sat - Water Inbetween - Water Core - Sed Sat/In-bet.",-4.61510964367931,3.9288784263149e-06,5.50042979684086e-05
"Global core - Water Sat - Sed Inbetween",7.88995417625109,3.02297514415604e-15,5.74365277389648e-14
"Global in-between - Water Sat - Sed Inbetween",2.36869289668563,0.0178510689905511,0.107106413943306
"Global satellite - Water Sat - Sed Inbetween",-1.66382752392624,0.0961469019182467,0.28844070575474
"Sed Core - Water Sat/In-bet. - Water Sat - Sed Inbetween",4.1973227871019,2.70088849883534e-05,0.000297097734871888
"Sed Sat - Water Inbetween - Water Sat - Sed Inbetween",2.11659426506026,0.034294297266706,0.17147148633353
"Water Core - Sed Sat/In-bet. - Water Sat - Sed Inbetween",6.52987404951532,6.58250218754422e-11,1.18485039375796e-09
