sample,total.transformations
SED_S19S-0001,51130
SED_S19S-0003,41299
SED_S19S-0004,29255
SED_S19S-0006,55618
SED_S19S-0008,15286
SED_S19S-0009,44730
SED_S19S-0010,36260
SED_S19S-0011,46482
SED_S19S-0012,47430
SED_S19S-0013,53834
SED_S19S-0014,54182
SED_S19S-0015,37095
SED_S19S-0016,44630
SED_S19S-0017,49985
SED_S19S-0018,34426
SED_S19S-0019,44499
SED_S19S-0020,56145
SED_S19S-0021,56236
SED_S19S-0022,48928
SED_S19S-0023,41849
SED_S19S-0024,30676
SED_S19S-0025,48338
SED_S19S-0026,39189
SED_S19S-0027,46323
SED_S19S-0028,22899
SED_S19S-0029,44028
SED_S19S-0030,37038
SED_S19S-0031,42282
SED_S19S-0032,49357
SED_S19S-0033,43963
SED_S19S-0034,44489
SED_S19S-0035,56008
SED_S19S-0036,36937
SED_S19S-0037,40146
SED_S19S-0038,43458
SED_S19S-0039,53265
SED_S19S-0040,38248
SED_S19S-0041,43953
SED_S19S-0042,46483
SED_S19S-0043,55093
SED_S19S-0044,59362
SED_S19S-0045,14583
SED_S19S-0046,27060
SED_S19S-0047,23791
SED_S19S-0049,45131
SED_S19S-0050,39957
SED_S19S-0051,24141
SED_S19S-0052,39212
SED_S19S-0053,43486
SED_S19S-0054,59081
SED_S19S-0055,40118
SED_S19S-0056,57146
SED_S19S-0057,40150
SED_S19S-0058,49863
SED_S19S-0059,32569
SED_S19S-0060,41862
SED_S19S-0061,50716
SED_S19S-0062,57871
SED_S19S-0063,40349
SED_S19S-0064,42737
SED_S19S-0065,53685
SED_S19S-0066,54437
SED_S19S-0067,36324
SED_S19S-0068,43162
SED_S19S-0069,46066
SED_S19S-0070,48120
SED_S19S-0071,39172
SED_S19S-0072,41969
SED_S19S-0073,49000
SED_S19S-0074,38244
SED_S19S-0075,30252
SED_S19S-0076,42401
SED_S19S-0077,41241
SED_S19S-0078,44357
SED_S19S-0079,3885
SED_S19S-0080,50475
SED_S19S-0081,41017
SED_S19S-0082,50777
SED_S19S-0083,40320
SED_S19S-0084,40471
SED_S19S-0085,30572
SED_S19S-0086,46409
SED_S19S-0087,13825
SED_S19S-0089,35589
SED_S19S-0090,45512
SED_S19S-0091,34547
SED_S19S-0092,47262
SED_S19S-0093,37147
SED_S19S-0094,40282
SED_S19S-0096,22279
SED_S19S-0097,40138
SED_S19S-0099,43195
SED_S19S-0100,47574
SW_S19S-0003,57806
SW_S19S-0004,59537
SW_S19S-0005,61137
SW_S19S-0006,71875
SW_S19S-0007,51007
SW_S19S-0008,50587
SW_S19S-0009,57206
SW_S19S-0010,64860
SW_S19S-0011,78667
SW_S19S-0012,61872
SW_S19S-0013,63992
SW_S19S-0014,42272
SW_S19S-0015,73287
SW_S19S-0016,43670
SW_S19S-0017,64028
SW_S19S-0018,35828
SW_S19S-0019,35815
SW_S19S-0020,70781
SW_S19S-0021,75797
SW_S19S-0022,57126
SW_S19S-0023,63925
SW_S19S-0024,17974
SW_S19S-0025,59329
SW_S19S-0026,46262
SW_S19S-0027,48829
SW_S19S-0028,44246
SW_S19S-0029,42525
SW_S19S-0030,32069
SW_S19S-0031,33999
SW_S19S-0032,57960
SW_S19S-0033,46755
SW_S19S-0034,49704
SW_S19S-0035,53274
SW_S19S-0036,56968
SW_S19S-0037,57419
SW_S19S-0038,49388
SW_S19S-0039,88785
SW_S19S-0040,48616
SW_S19S-0041,57911
SW_S19S-0042,63567
SW_S19S-0043,70088
SW_S19S-0044,57502
SW_S19S-0045,70194
SW_S19S-0047,56325
SW_S19S-0048,36189
SW_S19S-0049,52079
SW_S19S-0050,57154
SW_S19S-0051,56976
SW_S19S-0052,54331
SW_S19S-0053,75185
SW_S19S-0054,62960
SW_S19S-0055,76038
SW_S19S-0056,73103
SW_S19S-0057,64226
SW_S19S-0058,41891
SW_S19S-0059,56990
SW_S19S-0060,60792
SW_S19S-0061,70605
SW_S19S-0062,61137
SW_S19S-0063,71526
SW_S19S-0064,57153
SW_S19S-0065,57061
SW_S19S-0066,58731
SW_S19S-0067,62724
SW_S19S-0068,41961
SW_S19S-0069,43838
SW_S19S-0070,51382
SW_S19S-0071,43877
SW_S19S-0072,60016
SW_S19S-0073,68949
SW_S19S-0074,72728
SW_S19S-0075,60408
SW_S19S-0076,64939
SW_S19S-0077,52947
SW_S19S-0078,57434
SW_S19S-0079,62469
SW_S19S-0080,56015
SW_S19S-0081,73507
SW_S19S-0082,66272
SW_S19S-0083,75402
SW_S19S-0084,44309
SW_S19S-0085,52989
SW_S19S-0086,30328
SW_S19S-0087,59991
SW_S19S-0089,85793
SW_S19S-0090,61326
SW_S19S-0091,26673
SW_S19S-0092,65030
SW_S19S-0093,57426
SW_S19S-0094,54824
SW_S19S-0096,44471
SW_S19S-0097,62357
SW_S19S-0098,45163
SW_S19S-0099,75697
SW_S19S-0100,43839
