num.trans.involved.in,sample,peak
37,SED_S19S-0013,200.056415832226
2,SED_S19S-0013,200.056539308738
37,SED_S19S-0013,200.092796017419
14,SED_S19S-0013,200.12917230768
4,SED_S19S-0013,200.93794587064
4,SED_S19S-0013,200.986288556008
2,SED_S19S-0013,200.989182711731
48,SED_S19S-0013,201.040431265132
54,SED_S19S-0013,201.076812231104
12,SED_S19S-0013,201.088041786092
20,SED_S19S-0013,201.089882869323
49,SED_S19S-0013,201.113196944252
7,SED_S19S-0013,201.124417891011
23,SED_S19S-0013,201.149578211959
1,SED_S19S-0013,201.346602501052
27,SED_S19S-0013,202.072056785429
16,SED_S19S-0013,202.108438580329
31,SED_S19S-0013,203.034950586133
56,SED_S19S-0013,203.056088073855
22,SED_S19S-0013,203.092453588257
10,SED_S19S-0013,203.103686813096
24,SED_S19S-0013,203.128837832673
23,SED_S19S-0013,204.066588592769
3,SED_S19S-0013,204.087980485974
1,SED_S19S-0013,204.791499231469
36,SED_S19S-0013,205.014218786201
37,SED_S19S-0013,205.05059474712
4,SED_S19S-0013,205.053974323439
46,SED_S19S-0013,205.071728897906
23,SED_S19S-0013,205.086977964246
43,SED_S19S-0013,205.108116619205
2,SED_S19S-0013,205.796657787034
25,SED_S19S-0013,206.082231146239
1,SED_S19S-0013,206.791900751453
2,SED_S19S-0013,207.012110279783
50,SED_S19S-0013,207.029870854621
49,SED_S19S-0013,207.066249021166
2,SED_S19S-0013,207.069610054296
38,SED_S19S-0013,207.102632074417
2,SED_S19S-0013,207.133337179939
21,SED_S19S-0013,208.025121541864
34,SED_S19S-0013,208.06150640565
10,SED_S19S-0013,208.074577289772
31,SED_S19S-0013,208.097890058785
2,SED_S19S-0013,208.788974580722
1,SED_S19S-0013,208.907090567679
1,SED_S19S-0013,208.934578888928
23,SED_S19S-0013,209.009120706343
49,SED_S19S-0013,209.045511357618
20,SED_S19S-0013,209.058568966851
50,SED_S19S-0013,209.081898098492
30,SED_S19S-0013,209.154680339789
30,SED_S19S-0013,210.040762393522
29,SED_S19S-0013,210.07714085529
65,SED_S19S-0013,211.024787422472
69,SED_S19S-0013,211.061173644796
53,SED_S19S-0013,211.097554978113
41,SED_S19S-0013,211.133937736522
1,SED_S19S-0013,211.80213106176
13,SED_S19S-0013,212.020018214938
38,SED_S19S-0013,212.056422887594
1,SED_S19S-0013,212.979181491172
41,SED_S19S-0013,213.004054884117
2,SED_S19S-0013,213.015277479573
46,SED_S19S-0013,213.040428460985
63,SED_S19S-0013,213.076821569167
48,SED_S19S-0013,213.113209153546
16,SED_S19S-0013,213.124441853073
28,SED_S19S-0013,213.149580605995
13,SED_S19S-0013,214.035666826655
11,SED_S19S-0013,214.050931022372
40,SED_S19S-0013,214.072073921271
34,SED_S19S-0013,214.108465571565
19,SED_S19S-0013,214.144827458405
1,SED_S19S-0013,214.318726464983
1,SED_S19S-0013,214.836392930714
1,SED_S19S-0013,214.883895382543
5,SED_S19S-0013,214.95958039049
1,SED_S19S-0013,214.98812604609
4,SED_S19S-0013,215.001935810972
2,SED_S19S-0013,215.004832815648
17,SED_S19S-0013,215.01968270558
20,SED_S19S-0013,215.032761523618
58,SED_S19S-0013,215.05607855856
58,SED_S19S-0013,215.092472606394
18,SED_S19S-0013,215.103694517233
39,SED_S19S-0013,215.128844637363
13,SED_S19S-0013,215.140080494138
23,SED_S19S-0013,215.165239431532
22,SED_S19S-0013,216.051319283854
34,SED_S19S-0013,216.087726625296
