num.trans.involved.in,sample,peak
40,SW_S19S-0045,200.056415832226
26,SW_S19S-0045,200.092796017419
46,SW_S19S-0045,201.022676599384
55,SW_S19S-0045,201.040431265132
53,SW_S19S-0045,201.076812231104
41,SW_S19S-0045,201.113196944252
9,SW_S19S-0045,202.05091227397
22,SW_S19S-0045,202.072056785429
11,SW_S19S-0045,202.108438580329
41,SW_S19S-0045,203.034950586133
49,SW_S19S-0045,203.038339527076
64,SW_S19S-0045,203.056088073855
12,SW_S19S-0045,203.071320285592
22,SW_S19S-0045,203.092453588257
41,SW_S19S-0045,204.030208413899
37,SW_S19S-0045,204.066588592769
2,SW_S19S-0045,204.081830106742
47,SW_S19S-0045,205.014218786201
43,SW_S19S-0045,205.017584263785
46,SW_S19S-0045,205.05059474712
33,SW_S19S-0045,205.053974323439
16,SW_S19S-0045,205.061827819509
46,SW_S19S-0045,205.071728897906
26,SW_S19S-0045,205.086977964246
37,SW_S19S-0045,205.108116619205
14,SW_S19S-0045,205.159757838433
6,SW_S19S-0045,206.057109229663
32,SW_S19S-0045,206.082231146239
2,SW_S19S-0045,206.097484687125
16,SW_S19S-0045,207.012110279783
63,SW_S19S-0045,207.029870854621
13,SW_S19S-0045,207.033202264656
22,SW_S19S-0045,207.041102338937
3,SW_S19S-0045,207.052350213716
58,SW_S19S-0045,207.066249021166
16,SW_S19S-0045,207.069610054296
1,SW_S19S-0045,207.100845070099
40,SW_S19S-0045,207.102632074417
48,SW_S19S-0045,208.06150640565
34,SW_S19S-0045,208.097890058785
4,SW_S19S-0045,208.943425494404
56,SW_S19S-0045,209.045511357618
25,SW_S19S-0045,209.056758811508
55,SW_S19S-0045,209.081898098492
2,SW_S19S-0045,209.093103534883
38,SW_S19S-0045,209.118293639431
39,SW_S19S-0045,210.040762393522
35,SW_S19S-0045,210.07714085529
11,SW_S19S-0045,211.006993263964
73,SW_S19S-0045,211.024787422472
17,SW_S19S-0045,211.036007717967
5,SW_S19S-0045,211.043293808065
5,SW_S19S-0045,211.054638485432
80,SW_S19S-0045,211.061173644796
20,SW_S19S-0045,211.072390439808
3,SW_S19S-0045,211.08362101505
57,SW_S19S-0045,211.097554978113
17,SW_S19S-0045,212.020018214938
50,SW_S19S-0045,212.056422887594
46,SW_S19S-0045,212.092817652485
6,SW_S19S-0045,213.015277479573
46,SW_S19S-0045,213.022681722015
52,SW_S19S-0045,213.040428460985
41,SW_S19S-0045,213.059075322688
70,SW_S19S-0045,213.076821569167
48,SW_S19S-0045,213.113209153546
15,SW_S19S-0045,214.017918045651
3,SW_S19S-0045,214.048025839304
14,SW_S19S-0045,214.050931022372
53,SW_S19S-0045,214.072073921271
37,SW_S19S-0045,215.001935810972
49,SW_S19S-0045,215.038343229497
60,SW_S19S-0045,215.05607855856
66,SW_S19S-0045,215.092472606394
32,SW_S19S-0045,215.128844637363
21,SW_S19S-0045,216.033575887821
32,SW_S19S-0045,216.066657062228
30,SW_S19S-0045,216.087726625296
22,SW_S19S-0045,216.124095214762
16,SW_S19S-0045,217.017555890969
22,SW_S19S-0045,217.050586552749
48,SW_S19S-0045,217.05398486839
65,SW_S19S-0045,217.071743109364
5,SW_S19S-0045,217.086951767809
47,SW_S19S-0045,217.108116925935
59,SW_S19S-0045,219.029882278359
28,SW_S19S-0045,219.033223803977
30,SW_S19S-0045,219.066240733666
11,SW_S19S-0045,219.06958133392
55,SW_S19S-0045,219.087387684542
33,SW_S19S-0045,219.10263094677
35,SW_S19S-0045,219.123766353468
19,SW_S19S-0045,220.061480308079
36,SW_S19S-0045,220.097901075358
8,SW_S19S-0045,220.126406759641
31,SW_S19S-0045,221.009125917917
19,SW_S19S-0045,221.027782841005
1,SW_S19S-0045,221.031613494328
61,SW_S19S-0045,221.045519148712
42,SW_S19S-0045,221.048890965922
23,SW_S19S-0045,221.05858606463
3,SW_S19S-0045,221.067963350391
35,SW_S19S-0045,221.081891220993
37,SW_S19S-0045,221.118286459105
14,SW_S19S-0045,221.15467759026
19,SW_S19S-0045,222.040748580681
34,SW_S19S-0045,222.077139882514
3,SW_S19S-0045,222.09020962229
38,SW_S19S-0045,222.113558772498
1,SW_S19S-0045,222.950238026828
3,SW_S19S-0045,222.959073413494
66,SW_S19S-0045,223.024793149015
