"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
200.002276017068,7,8,5.57,1,1,NA,10,10,2.83
200.092796017419,21.38,22,7.82,25.56,25,5.47,14.43,13.5,5.99
200.93794587064,2.99,3,1.48,3.63,4,1.26,1.63,1,0.85
200.986288556008,3.91,3.5,2.26,4,4,2.24,1,1,NA
200.989182711731,1.36,1,0.49,1.37,1,0.5,1.33,1,0.58
201.040431265132,40.68,41,6.46,38.77,39,6.06,43.03,43,6.2
201.076812231104,40.22,41,8.18,43.24,45.5,7.92,37.03,37,7.21
201.113196944252,38.1,38,8.78,44.51,46,6.18,31.63,32,5.74
201.124417891011,5.55,6,2.09,5.55,6,2.09,NA,NA,NA
201.149578211959,21.53,22,1.77,21.59,22,1.7,17,17,NA
202.072056785429,18.91,19,4.14,18.63,18.5,4.17,21.12,21.5,3.31
202.108438580329,11.9,12,3.57,12.99,13,3.19,8.75,9,2.66
202.80641378665,1,1,NA,1,1,NA,NA,NA,NA
203.056088073855,44.74,45,7.49,42.55,43.5,6.78,48.77,47,7.1
203.092453588257,19.06,20,3.55,20.91,22,3.08,16.72,16,2.6
203.128837832673,23.46,24,3.13,24.21,25,2.22,17.64,17,3.11
204.066588592769,18.04,17,7.28,16.2,17,5.06,31.8,34,6.71
205.05059474712,32.15,31,7.74,27.45,27,4.82,36.39,37,7.45
205.071728897906,37.92,38,5.35,37.43,37,4.91,40.29,41,6.79
205.086977964246,22.34,22,3.5,20.04,20,2.48,23.22,23,3.44
205.108116619205,39.3,40,3.75,39.8,40,3.35,36,37,4.83
206.79331851167,1,1,NA,1,1,NA,NA,NA,NA
207.012110279783,4.03,3,3.43,2.87,2,2.23,7.08,7,4.15
207.029870854621,45.35,45,9.78,39.72,40,6.15,50,51,9.8
207.066249021166,43.71,43,6.87,40.23,41,5.5,47.32,48,6.28
207.102632074417,37.14,37,2.79,37.37,38,2.43,36.9,37,3.12
207.139023484778,30.4,31,3.39,31.08,31,2.17,21.8,23,4.44
208.074577289772,7.58,8,3.36,8.7,9,2.7,4.65,4,3.16
208.788974580722,1.93,2,0.33,1.99,2,0.27,1.71,2,0.47
208.934578888928,1.09,1,0.35,1.11,1,0.37,1,1,0
208.943425494404,2.12,2,0.74,1.81,2,0.54,2.38,2,0.79
209.009120706343,19.4,19,7.49,14.18,14,4.91,24.31,25,6.03
209.045511357618,38.52,38.5,9.13,34.18,35,7.26,42.49,45,8.88
209.058568966851,18.58,18,3.68,18.77,18,3.57,17.4,16,4.56
209.081898098492,42.83,43,6.7,42.44,43,5.31,43.18,44,7.78
209.118293639431,34.18,34,2.95,34.61,35,2.65,32.96,33,3.46
209.154680339789,29.42,31,5.75,32.02,32,2.93,20.88,20,4.22
210.040762393522,22.38,21,6.65,20.63,20,5.28,24.23,23.5,7.45
210.071613852833,3.87,4,1.69,4.03,4,1.59,2.8,2,2.17
210.07714085529,22.77,23,4.93,21.38,22,4.52,24.26,25,4.96
210.845205328945,1.1,1,0.32,1.1,1,0.32,NA,NA,NA
210.845318404342,1,1,NA,1,1,NA,NA,NA,NA
210.931654596811,2,2,0,2,2,0,2,2,NA
211.024787422472,53.91,55,13.54,47.4,50,12.09,59.94,63,11.97
211.061173644796,56.79,58,10.99,54.42,57,9.73,59.01,63,11.67
211.097554978113,43.6,45,8.02,47.41,49,6.82,39.8,40,7.31
211.133937736522,36.17,37,6.43,38.73,40,5.73,32.48,33,5.58
212.020018214938,8.83,8,4.9,6.63,6,3.44,11.85,12,5.03
212.78568596893,1.25,1,0.5,1.33,1,0.58,1,1,NA
212.895259134955,1.6,2,0.55,1.6,2,0.55,NA,NA,NA
213.015277479573,2.23,2,1.55,1.63,2,0.69,2.86,2,1.91
213.040428460985,36.96,37,7.73,36.64,37,5.89,37.23,38,9.01
213.076821569167,49.64,52,9.48,50.36,54,9.83,48.94,50,9.12
213.113209153546,39.92,41,7.52,43.49,45,6.6,35.71,34,6.28
213.149580605995,28.92,29,3.15,28.9,29,3.16,30,30,NA
213.982488809295,1.2,1,0.45,1.2,1,0.45,NA,NA,NA
214.050931022372,7.44,7,3.15,6.47,6,2.9,8.95,9,2.96
214.072073921271,30.33,29,7.46,30.78,30,6.06,29.72,28,9.04
214.108465571565,26.43,27,6.87,28.14,28.5,5.46,21.59,24,8.13
214.144827458405,12.83,14,3.9,13.97,14,3.01,7.33,6.5,2.93
214.836392930714,1.02,1,0.14,1.02,1,0.15,1,1,0
214.883895382543,1.01,1,0.1,1.01,1,0.12,1,1,0
215.004832815648,1.27,1,0.54,1.29,1,0.55,1.25,1,0.55
215.032761523618,12.57,13,3.66,13.25,13,3.26,8,8,2.92
215.05607855856,43.2,44,8.76,43.72,45,8.39,42.7,43,9.12
215.092472606394,46.86,49,9.3,49.32,52,9.15,44.47,45,8.85
215.128844637363,30.16,29,7.26,35.61,37,5.36,24.87,25,4.37
215.165239431532,23.88,24,3.01,24.13,24.5,2.69,17,15,3.46
