"MolForm","cs.flag.emergent_overlap","Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD","info"
"C10H10O4N2S","Global satellite","253.028821",6.66666666666667,7,4.50924975282289,2,2,NA,9,9,2.82842712474619,FALSE
"C10H10O6S","Sed Sat - Water Inbetween","257.012566",26.1219512195122,29,11.4851972598454,11.5,9.5,8.22886904223695,29.6666666666667,30,9.1469484893415,FALSE
"C10H10O7N4S",NA,"329.019764",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C10H10O8","Sed Inbetween - Water Core","257.030304",75.3945578231292,77,13.2326691118492,62.85,63,8.71551315135979,84.0459770114943,86,7.72327808155622,FALSE
"C10H10O8N2",NA,"285.036515",8,8,NA,NA,NA,NA,8,8,NA,FALSE
"C10H11O9P",NA,"305.006902",18,18,NA,NA,NA,NA,18,18,NA,FALSE
"C10H12O6","Global core","227.056079",42.7428571428571,44,7.04559394860859,42.0722891566265,43,6.16794058315415,43.3478260869565,44,7.73664717483507,FALSE
"C10H12O6N2S",NA,"287.034387",3,3,2.82842712474619,NA,NA,NA,3,3,2.82842712474619,FALSE
"C10H13O5N","Global in-between","226.072077",39.1984126984127,39,9.93983488093829,35.9821428571429,36,8.02154161431142,41.7714285714286,41,10.6105927774572,FALSE
"C10H14O8","Global in-between","261.061588",65.1549295774648,66.5,12.036761524978,55.6760563380282,55,8.4138909767247,74.6338028169014,75,6.22722005534622,FALSE
"C10H15O10N","Sed Sat - Water Inbetween","308.062332",15,16,4.30116263352131,7.33333333333333,7,4.50924975282289,16.2777777777778,16,2.69652402734805,FALSE
"C10H15O12N2P",NA,"385.029127",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C10H15O5NS",NA,"260.059688",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C10H16O6N3P",NA,"304.070437",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C10H17O10P","Global satellite","327.048712",6.66666666666667,5,3.15473944286703,6.5,6.5,3.53553390593274,6.69230769230769,5,3.25024653897248,FALSE
"C10H17O6N","Sed Inbetween - Water Sat","246.098296",33.3953488372093,34,6.47390194728298,33.7666666666667,34,4.95276539495576,32.5384615384615,35,9.28812310260963,FALSE
"C10H18O12",NA,"329.072415",4,4,NA,4,4,NA,NA,NA,NA,FALSE
"C10H18O4NSP",NA,"278.062183",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C10H18O7S2",NA,"313.042056",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C10H19O7S2P",NA,"345.023602",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C10H20O4","Sed Core - Water Sat","203.128965",8.5,8.5,3.53553390593274,8.5,8.5,3.53553390593274,NA,NA,NA,FALSE
"C10H20O7S","Global satellite","283.085683",14.6923076923077,14,6.81156633216149,8.25,8,4.5,17.5555555555556,18,5.65930894878321,FALSE
"C10H20O8N4S","Global satellite","355.093057",1.58333333333333,1.5,0.668557923421521,1.5,1.5,0.547722557505166,1.66666666666667,1.5,0.816496580927726,FALSE
"C10H20O9S","Global satellite","315.075577",1.8,1,1.30384048104053,1.25,1,0.5,4,4,NA,FALSE
"C10H21O10NS",NA,"346.081196",3,3,NA,NA,NA,NA,3,3,NA,FALSE
"C10H21O7NS",NA,"298.096615",5.25,5,0.5,5.25,5,0.5,NA,NA,NA,FALSE
"C10H22O10S",NA,"333.086142",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C10H22O3S",NA,"221.121674",13.3333333333333,12,4.21307488658818,13.3333333333333,12,4.21307488658818,NA,NA,NA,FALSE
"C10H22O6N4S",NA,"325.118851",2.5,2.5,0.707106781186548,2.5,2.5,0.707106781186548,NA,NA,NA,FALSE
"C10H7O10N2S2P","Sed Inbetween - Water Sat","408.920763",1.32,1,0.476095228569523,1.29166666666667,1,0.464305621487537,2,2,NA,FALSE
"C10H7O4N","Global in-between","204.030319",4,4,4.24264068711928,1,1,NA,7,7,NA,FALSE
"C10H8O5N2","Global satellite","235.036023",16.1818181818182,16,2.85720779146991,13,13,NA,16.5,16.5,2.79880927062444,FALSE
"C11H10O4S","Global satellite","237.022664",13.2,13,2.86356421265527,9,9,NA,14.25,13.5,1.89296944860009,FALSE
"C11H10O6N2",NA,"265.046622",20.1162790697674,19,4.94834894218255,NA,NA,NA,20.1162790697674,19,4.94834894218255,FALSE
"C11H10O9","Sed Inbetween - Water Core","285.025228",73.0970149253731,77,15.0472286075108,56.5333333333333,57,8.70631954387157,81.4719101123596,84,9.64729105599604,FALSE
"C11H11O10N",NA,"316.031101",17,17,NA,NA,NA,NA,17,17,NA,FALSE
"C11H11O11N2S2P","Global core","440.947037",1.03191489361702,1,0.176716020266431,1.02941176470588,1,0.170213933457599,1.03846153846154,1,0.196116135138184,FALSE
"C11H11O12S2P",NA,"428.935751",1,1,0,1,1,0,NA,NA,NA,FALSE
"C11H11O7N3",NA,"296.052487",9,9,NA,NA,NA,NA,9,9,NA,FALSE
"C11H11O7NS",NA,"300.018357",20.8181818181818,22,7.69179019238281,NA,NA,NA,20.8181818181818,22,7.69179019238281,FALSE
"C11H11O7P",NA,"285.017097",12.8,13,1.48323969741913,NA,NA,NA,12.8,13,1.48323969741913,FALSE
"C11H12O10N2S",NA,"363.014049",2,2,NA,NA,NA,NA,2,2,NA,FALSE
"C11H12O4","Sed Core - Water Inbetween","207.066249",43.7086092715232,43,6.86885667727753,40.2337662337662,41,5.49855508267998,47.3243243243243,48,6.28350331588757,FALSE
"C11H14O4N2","Sed Inbetween - Water Sat","237.088034",10.0882352941176,10,4.19500169436036,8.11111111111111,8,3.00761560608847,12.3125,12,4.300678241084,FALSE
"C11H14O5S","Global in-between","257.048925",28.2427184466019,20,19.0692576839275,15.796875,13,7.95259703513101,48.6666666666667,48,13.4991877598409,FALSE
"C11H14O6N2S",NA,"301.050081",3,3,NA,NA,NA,NA,3,3,NA,FALSE
"C11H14O7N3SP",NA,"362.021823",1.61538461538462,1,0.869718492622904,1.61538461538462,1,0.869718492622904,NA,NA,NA,FALSE
"C11H14O8","Global core","273.061591",74.463687150838,75,14.097675712182,64.1294117647059,64,11.316642017605,83.8085106382979,86,8.87945144550067,FALSE
"C11H14O8NP",NA,"318.038335",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C11H14O9S","Global satellite","321.028557",22.0625,21.5,5.81341838622796,10,10,NA,22.8666666666667,22,5.01236566142271,FALSE
"C11H15O12P",NA,"369.022836",11.3333333333333,11,0.577350269189626,NA,NA,NA,11.3333333333333,11,0.577350269189626,FALSE
"C11H15O4N","Global in-between","224.092781",11.6666666666667,12,2.80070913006076,10.2307692307692,10,2.20430813612216,12.2,12,2.83673383022261,FALSE
"C11H15O9NS",NA,"336.039556",8,10,3.46410161513775,NA,NA,NA,8,10,3.46410161513775,FALSE
"C11H16O10N4S","Global satellite","395.051478",4.91666666666667,5,2.02072594216369,6,6,NA,4.81818181818182,4,2.08893187146837,FALSE
"C11H16O4","Global core","211.097555",43.6043956043956,45,8.01708000035769,47.4065934065934,49,6.82475562766092,39.8021978021978,40,7.31090476270403,FALSE
"C11H16O5","Global core","227.092466",56.4569892473118,58,9.21988330640185,57.7252747252747,60,8.16505553368327,55.2421052631579,55,10.0209522941894,FALSE
"C11H16ON4",NA,"219.125148",1.5,1.5,0.707106781186548,NA,NA,NA,1.5,1.5,0.707106781186548,FALSE
"C11H18O10N4S","Sed Sat - Water Inbetween","397.067131",4.91891891891892,5,2.57529263038827,6.66666666666667,8,2.82842712474619,4.35714285714286,4,2.26428446247024,FALSE
"C11H18O6N2","Sed Inbetween - Water Sat","273.109239",25.4266666666667,26,7.6761711551791,24.7391304347826,24,7.47279807016371,33.3333333333333,32,5.57374799095426,FALSE
"C11H19O7N","Sed Core - Water Inbetween","276.108923",31.483606557377,32,5.80856251197263,32.4096385542169,33,5.20795860146689,29.5128205128205,30,6.56093620915649,FALSE
"C11H19O9N","Sed Core - Water Inbetween","308.098784",9.10077519379845,10,3.47725862129636,11,11,2.53546276418555,5.43181818181818,5,1.59063724648151,FALSE
"C11H20O6","Sed Core - Water Inbetween","247.118733",58.6510067114094,62,10.3864036478678,62.3804347826087,64,8.68223193984349,52.6315789473684,52,10.1429630408535,FALSE
"C11H20O6N4S",NA,"335.103173",4.13636363636364,3,2.12234045438733,4.13636363636364,3,2.12234045438733,NA,NA,NA,FALSE
"C11H21O4N3",NA,"258.145966",19.6493506493506,20,5.6586362355677,19.6493506493506,20,5.6586362355677,NA,NA,NA,FALSE
"C11H21O5N","Sed Core - Water Sat","246.134683",24.3814432989691,25,6.6386546374389,24.7727272727273,25,6.35488276880264,20.5555555555556,24,8.45740963757685,FALSE
"C11H22O11N2S",NA,"389.086978",1,1,0,1,1,0,NA,NA,NA,FALSE
"C11H22O3N2",NA,"229.155741",9.14285714285714,9,2.36002275434639,9.14285714285714,9,2.36002275434639,NA,NA,NA,FALSE
"C11H22O6","Global satellite","249.134357",49.75,49,4.64578662158878,50.5,50.5,7.77817459305202,49,49,1.4142135623731,FALSE
"C11H22O6N3P",NA,"322.117492",2,2,1.4142135623731,2,2,1.4142135623731,NA,NA,NA,FALSE
"C11H22O6S","Sed Inbetween - Water Sat","281.106436",16.4310344827586,15,7.38920993560707,14.6428571428571,13.5,4.61609817587733,21.125,18.5,10.8066337651154,FALSE
"C11H22O8NS2P",NA,"390.045193",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C11H22ON3P",NA,"242.142748",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C11H23O10NS","Global satellite","360.096811",5.25,5.5,2.5,6,6,NA,5,5,3,FALSE
"C11H23O8N","Sed Inbetween - Water Sat","296.135165",21.7169811320755,23,4.17122633918541,22.2549019607843,23,3.14860691261962,8,8,4.24264068711928,FALSE
"C11H24O13N4","Global satellite","419.126807",16.6,19,6.18869937870632,10,10,0,21,21,2,FALSE
"C11H24O6S","Global satellite","283.122086",20.4,17,6.42650760522385,18,16.5,4.08248290463863,30,30,NA,FALSE
"C11H24O8N3P",NA,"356.122861",1.5,1.5,0.707106781186548,1.5,1.5,0.707106781186548,NA,NA,NA,FALSE
"C11H4O11NSP",NA,"387.917025",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C11H4O6S2","Global in-between","294.937799",1.04255319148936,1,0.250371492460737,1.07407407407407,1,0.328050378773257,1,1,0,FALSE
"C11H6O7S",NA,"280.976198",18.3333333333333,21,5.5075705472861,NA,NA,NA,18.3333333333333,21,5.5075705472861,FALSE
"C11H7O10N2S2P",NA,"420.920882",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C11H8O3S",NA,"219.012097",14,14,NA,NA,NA,NA,14,14,NA,FALSE
"C11H8O4N4S","Global satellite","291.019459",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C11H9O8N","Sed Sat - Water Inbetween","282.025533",46.3770491803279,49,8.40865414206544,26,28,5.96657355607052,48.6,50,4.90879784634653,FALSE
"C12H10O5S","Global satellite","265.017661",19.5833333333333,21,8.05050346628123,9.33333333333333,6,6.65832811847939,23,21,5.04975246918104,FALSE
"C12H10O6N2","Sed Sat - Water Inbetween","277.046621",18.0851063829787,18,4.69426008076118,11,11,NA,18.2391304347826,18,4.62449892833421,FALSE
"C12H10O7N2S","Global satellite","325.013611",2,2,NA,NA,NA,NA,2,2,NA,FALSE
"C12H10O9","Sed Inbetween - Water Core","297.025237",75.89375,78,19.6403502239201,57.1029411764706,57,12.136216560955,89.7826086956522,93,10.3284798695949,FALSE
"C12H10O9S",NA,"328.997322",17.6666666666667,18,6.06904715201104,NA,NA,NA,17.6666666666667,18,6.06904715201104,FALSE
"C12H11O7NS",NA,"312.018346",20,21,7.61577310586391,NA,NA,NA,20,21,7.61577310586391,FALSE
"C12H12O10","Sed Inbetween - Water Core","315.035781",66.2450331125828,68,11.1133354653571,55.4918032786885,56,6.21724202204287,73.5333333333333,75,7.00914330625651,FALSE
"C12H12O6N2S",NA,"311.034455",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C12H12O9S","Sed Sat - Water Inbetween","331.012931",29.5806451612903,29,7.33836581966488,28,28,NA,29.6333333333333,30,7.457850912286,FALSE
"C12H14O3","Global in-between","205.086978",22.3448275862069,22,3.49693415958028,20.0416666666667,20,2.47560562053123,23.2222222222222,23,3.44282537968194,FALSE
"C12H15O4N2S2P",NA,"345.013917",1,1,0,1,1,0,NA,NA,NA,FALSE
"C12H16O5","Global core","239.092497",91.3387096774194,91,14.4363769674974,83.6086956521739,85.5,13.133261625253,98.9042553191489,99.5,11.350779565797,FALSE
"C12H16O5NP",NA,"284.069353",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C12H17O11N","Sed Sat - Water Inbetween","350.072928",21.6111111111111,23,4.03015364034423,15.3333333333333,16,2.08166599946613,21.9803921568627,23,3.81308377079986,FALSE
"C12H17O11P","Sed Sat - Water Inbetween","367.043726",17.2916666666667,17,2.38617697996401,16,16,NA,17.3478260869565,17,2.42353415213429,FALSE
"C12H17O5S2P",NA,"335.018359",1.33333333333333,1,0.577350269189626,1.33333333333333,1,0.577350269189626,NA,NA,NA,FALSE
"C12H17O6N3","Global satellite","298.104418",6.33333333333333,7,3.55902608401044,10,10,NA,5.6,5,3.43511280746353,FALSE
"C12H18O3","Global in-between","209.118399",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C12H18O4S","Global satellite","257.085313",49,55,13.6747943311773,30.5,30,10.7548438699345,55.7272727272727,57,6.35752953734246,FALSE
"C12H18O8N2","Sed Inbetween - Water Sat","317.099053",26.3513513513514,26,6.16538822881512,25.5862068965517,25,6.46704415467547,29.125,28,4.12093955999634,FALSE
"C12H18O9","Global in-between","305.087829",48.6899224806202,48,6.13239152168172,44.7166666666667,46,4.81907110631122,52.1449275362319,52,4.95946914355239,FALSE
"C12H19O3NS",NA,"256.101338",3,3,NA,3,3,NA,NA,NA,NA,FALSE
"C12H20O10","Global satellite","323.098376",53.2,55.5,5.78887822562464,47,47,2.94392028877595,57.3333333333333,57,1.96638416050035,FALSE
"C12H20O11",NA,"339.093314",17.5,16.5,3.3166247903554,17.5,16.5,3.3166247903554,NA,NA,NA,FALSE
"C12H20O13N2S",NA,"431.061289",2,2,NA,2,2,NA,NA,NA,NA,FALSE
"C12H20O13N2S2","Global satellite","463.033312",2,2,0,2,2,NA,2,2,NA,FALSE
"C12H21O12N2SP",NA,"447.048059",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C12H21O3N","Sed Inbetween - Water Sat","226.144834",24.59375,25,3.59084296869223,25.0344827586207,26,3.35391837600536,20.3333333333333,20,3.51188458428425,FALSE
"C12H21O4N","Global core","242.139775",26.8882978723404,27.5,8.76388257161056,32.2903225806452,33,6.61779656808441,21.6,21,7.26606803442213,FALSE
"C12H21O8NS",NA,"338.091579",9.5,9.5,0.707106781186548,NA,NA,NA,9.5,9.5,0.707106781186548,FALSE
"C12H21O9N2P",NA,"367.091302",3.5,3.5,2.12132034355964,NA,NA,NA,3.5,3.5,2.12132034355964,FALSE
"C12H23O10NS",NA,"372.096766",7,7,5.65685424949238,NA,NA,NA,7,7,5.65685424949238,FALSE
"C12H23O6N3",NA,"304.151545",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C12H23O9P","Sed Core - Water Inbetween","341.100854",32.9565217391304,34,7.40482453486017,36.5064935064935,37,5.83010195952952,25.7631578947368,26,4.44445728621505,FALSE
"C12H24O4",NA,"Double",36.5923076923077,36.5,3.92193121711554,36.5923076923077,36.5,3.92193121711554,0,0,0,NA
"C12H24O4",NA,"231.160163",32.0923076923077,32,3.21482443592899,32.0923076923077,32,3.21482443592899,NA,NA,NA,FALSE
"C12H24O4NP",NA,"276.136968",1.5,1.5,0.707106781186548,1.5,1.5,0.707106781186548,NA,NA,NA,FALSE
"C12H24O8N3P",NA,"368.122965",2.23076923076923,2,0.95111270868146,2.23076923076923,2,0.95111270868146,NA,NA,NA,FALSE
"C12H25O7N",NA,"294.155901",31.9230769230769,32,2.95192245051359,31.9230769230769,32,2.95192245051359,NA,NA,NA,FALSE
"C12H25O9NS","Global satellite","358.117618",1.5,1.5,0.547722557505166,1.4,1,0.547722557505166,2,2,NA,FALSE
"C12H26O10","Global in-between","329.145371",5.72932330827068,5,3.55716907264,8.37142857142857,8,2.67121764869658,2.79365079365079,2,1.53621581731812,FALSE
"C12H26O11N2S",NA,"405.118556",2.5,2.5,0.707106781186548,2.5,2.5,0.707106781186548,NA,NA,NA,FALSE
"C12H6O6","Sed Sat - Water Inbetween","245.009148",43.625,44,6.47276904658546,33.5,33.5,2.08166599946613,45.65,45.5,4.91265819351558,FALSE
"C12H8O13N2S",NA,"418.967313",1,1,NA,1,1,NA,NA,NA,NA,FALSE
"C12H8O13N3P","Sed Core - Water Inbetween","431.972383",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C12H8O6","Sed Inbetween - Water Core","247.024801",51.0625,51,11.7860998786558,40.537037037037,40.5,6.6210441032718,57.3777777777778,59,9.46261452548542,FALSE
"C12H8O7","Sed Inbetween - Water Core","263.019721",52.0573248407643,52,13.3441824634618,40.953125,42,8.61786569441553,59.6989247311828,62,10.3091189542966,FALSE
"C12H8O8N2",NA,"307.020912",10.3333333333333,8,6.80685928555405,NA,NA,NA,10.3333333333333,8,6.80685928555405,FALSE
"C12H9O3N","Sed Core - Water Inbetween","214.050931",7.43624161073826,7,3.1544094998242,6.47252747252747,6,2.89574653333954,8.94827586206897,9,2.96424549610209,FALSE
"C13H10O12","Sed Sat - Water Inbetween","357.009976",52.2333333333333,53,2.72514894668332,45.5,45.5,0.707106781186548,52.7142857142857,53,2.08801062252766,FALSE
