sample,total.transformations
Sample_S19S_0004_ICR.2_p05,41121
Sample_S19S_0004_ICR.3_p05,40046
Sample_S19S_0004_Sed_Field_ICR.M_p15,19164
Sample_S19S_0005_ICR.1_p05,47132
Sample_S19S_0005_ICR.2_p05,36742
Sample_S19S_0005_ICR.3_p05,40989
Sample_S19S_0006_ICR.1_p05,48279
Sample_S19S_0006_ICR.2_p05,37557
Sample_S19S_0006_ICR.3_p05,45559
Sample_S19S_0006_Sed_Field_ICR.D_p2,28315
Sample_S19S_0006_Sed_Field_ICR.M_p2,22646
Sample_S19S_0006_Sed_Field_ICR.U_p2,30642
Sample_S19S_0007_ICR.1_p05,37015
Sample_S19S_0007_ICR.2_p05,33832
Sample_S19S_0007_ICR.3_p05,19061
Sample_S19S_0008_ICR.1_p05,35729
Sample_S19S_0008_ICR.2_p05,25935
Sample_S19S_0008_ICR.3_p05,33542
Sample_S19S_0008_Sed_Field_ICR.M_p15,9884
Sample_S19S_0009_ICR.1_p05,33874
Sample_S19S_0009_ICR.2_p05,45737
Sample_S19S_0009_Sed_Field_ICR.M_p2,26099
Sample_S19S_0009_Sed_Field_ICR.U_p2,26327
Sample_S19S_0010_ICR.1_p05,46618
Sample_S19S_0010_ICR.2_p05,44397
Sample_S19S_0010_ICR.3_p05,41819
Sample_S19S_0010_Sed_Field_ICR.D_p15,21147
Sample_S19S_0010_Sed_Field_ICR.M_p15,10046
Sample_S19S_0010_Sed_Field_ICR.U_p15,16647
Sample_S19S_0011_ICR.1_p05,45720
Sample_S19S_0011_ICR.2_p05,51457
Sample_S19S_0011_ICR.3_p05,51246
Sample_S19S_0011_Sed_Field_ICR.D_p2,18850
Sample_S19S_0011_Sed_Field_ICR.M_p2,17988
Sample_S19S_0011_Sed_Field_ICR.U_p2,31067
Sample_S19S_0012_ICR.1_p05,36974
Sample_S19S_0012_ICR.2_p05,41350
Sample_S19S_0012_ICR.3_p05,43052
Sample_S19S_0012_Sed_Field_ICR.D_p2,26393
Sample_S19S_0012_Sed_Field_ICR.M_p2,24714
Sample_S19S_0012_Sed_Field_ICR.U_p2,24727
Sample_S19S_0013_ICR.1_p05,46524
Sample_S19S_0013_ICR.2_p05,44151
Sample_S19S_0013_ICR.3_p05,43652
Sample_S19S_0013_Sed_Field_ICR.D_p2,31102
Sample_S19S_0013_Sed_Field_ICR.M_p2,24965
Sample_S19S_0013_Sed_Field_ICR.U_p2,24892
Sample_S19S_0014_ICR.1_p05,20812
Sample_S19S_0014_ICR.2_p05,26591
Sample_S19S_0014_ICR.3_p05,25874
Sample_S19S_0014_Sed_Field_ICR.D_p2,27030
Sample_S19S_0014_Sed_Field_ICR.M_p2,28409
Sample_S19S_0014_Sed_Field_ICR.U_p2,29432
Sample_S19S_0015_ICR.1_p05,43967
Sample_S19S_0015_ICR.2_p05,47838
Sample_S19S_0015_ICR.3_p05,49449
Sample_S19S_0015_Sed_Field_ICR.D_p2,12459
Sample_S19S_0015_Sed_Field_ICR.U_p2,25648
Sample_S19S_0016_ICR.1_p05,23595
Sample_S19S_0016_ICR.2_p05,24613
Sample_S19S_0016_ICR.3_p05,24235
Sample_S19S_0016_Sed_Field_ICR.D_p2,20956
Sample_S19S_0016_Sed_Field_ICR.M_p2,23915
Sample_S19S_0016_Sed_Field_ICR.U_p1,11501
Sample_S19S_0017_ICR.1_p05,42365
Sample_S19S_0017_ICR.2_p05,46435
Sample_S19S_0017_ICR.3_p05,41373
Sample_S19S_0017_Sed_Field_ICR.D_p2,26996
Sample_S19S_0017_Sed_Field_ICR.M_p2,26531
Sample_S19S_0017_Sed_Field_ICR.U_p2,24712
Sample_S19S_0018_ICR.3_p05,29850
Sample_S19S_0018_Sed_Field_ICR.D_p2,15826
Sample_S19S_0018_Sed_Field_ICR.M_p2,14055
Sample_S19S_0018_Sed_Field_ICR.U_p2,14070
Sample_S19S_0019_ICR.1_p05,9596
Sample_S19S_0019_ICR.3_p05,28149
Sample_S19S_0019_Sed_Field_ICR.D_p2,19358
Sample_S19S_0019_Sed_Field_ICR.M_p2,21643
Sample_S19S_0019_Sed_Field_ICR.U_p2,23120
Sample_S19S_0020_ICR.1_p05,48626
Sample_S19S_0020_ICR.2_p05,46453
Sample_S19S_0020_ICR.3_p05,47369
Sample_S19S_0020_Sed_Field_ICR.D_p2,30718
Sample_S19S_0020_Sed_Field_ICR.M_p2,31079
Sample_S19S_0020_Sed_Field_ICR.U_p2,20580
Sample_S19S_0021_ICR.1_p05,46833
Sample_S19S_0021_ICR.2_p05,51757
Sample_S19S_0021_ICR.3_p05,50065
Sample_S19S_0021_Sed_Field_ICR.D_p2,28033
Sample_S19S_0021_Sed_Field_ICR.M_p2,26259
Sample_S19S_0021_Sed_Field_ICR.U_p2,29600
Sample_S19S_0022_ICR.1_p05,29364
Sample_S19S_0022_ICR.2_p05,35702
Sample_S19S_0022_ICR.3_p05,36443
Sample_S19S_0022_Sed_Field_ICR.D_p2,29249
Sample_S19S_0022_Sed_Field_ICR.M_p2,27548
Sample_S19S_0022_Sed_Field_ICR.U_p2,28025
Sample_S19S_0023_ICR.1_p05,38940
Sample_S19S_0023_ICR.2_p05,41528
Sample_S19S_0023_ICR.3_p05,45909
Sample_S19S_0023_Sed_Field_ICR.D_p2,16816
Sample_S19S_0023_Sed_Field_ICR.M_p2,22802
Sample_S19S_0023_Sed_Field_ICR.U_p2,15197
Sample_S19S_0024_ICR.1_p05,12953
Sample_S19S_0024_Sed_Field_ICR.D_p15,11613
