num.trans.involved.in,sample,peak
16,Sample_S19S_0025_Sed_Field_ICR.U_p2,200.092796
10,Sample_S19S_0025_Sed_Field_ICR.U_p2,200.1291723
31,Sample_S19S_0025_Sed_Field_ICR.U_p2,201.0404313
43,Sample_S19S_0025_Sed_Field_ICR.U_p2,201.0768122
39,Sample_S19S_0025_Sed_Field_ICR.U_p2,201.1131969
21,Sample_S19S_0025_Sed_Field_ICR.U_p2,201.1495782
8,Sample_S19S_0025_Sed_Field_ICR.U_p2,202.1084386
35,Sample_S19S_0025_Sed_Field_ICR.U_p2,203.0560881
19,Sample_S19S_0025_Sed_Field_ICR.U_p2,203.0924536
22,Sample_S19S_0025_Sed_Field_ICR.U_p2,203.1288378
9,Sample_S19S_0025_Sed_Field_ICR.U_p2,204.0665886
31,Sample_S19S_0025_Sed_Field_ICR.U_p2,205.0717289
13,Sample_S19S_0025_Sed_Field_ICR.U_p2,205.1597578
2,Sample_S19S_0025_Sed_Field_ICR.U_p2,206.0782317
1,Sample_S19S_0025_Sed_Field_ICR.U_p2,207.0121103
34,Sample_S19S_0025_Sed_Field_ICR.U_p2,207.066249
32,Sample_S19S_0025_Sed_Field_ICR.U_p2,207.1026321
19,Sample_S19S_0025_Sed_Field_ICR.U_p2,208.0978901
7,Sample_S19S_0025_Sed_Field_ICR.U_p2,209.0091207
27,Sample_S19S_0025_Sed_Field_ICR.U_p2,209.0455114
36,Sample_S19S_0025_Sed_Field_ICR.U_p2,209.0818981
30,Sample_S19S_0025_Sed_Field_ICR.U_p2,209.1182936
30,Sample_S19S_0025_Sed_Field_ICR.U_p2,209.1546803
35,Sample_S19S_0025_Sed_Field_ICR.U_p2,211.0247874
49,Sample_S19S_0025_Sed_Field_ICR.U_p2,211.0611736
48,Sample_S19S_0025_Sed_Field_ICR.U_p2,211.097555
37,Sample_S19S_0025_Sed_Field_ICR.U_p2,211.1339377
2,Sample_S19S_0025_Sed_Field_ICR.U_p2,212.0200182
1,Sample_S19S_0025_Sed_Field_ICR.U_p2,213.0152775
29,Sample_S19S_0025_Sed_Field_ICR.U_p2,213.0404285
49,Sample_S19S_0025_Sed_Field_ICR.U_p2,213.0768216
42,Sample_S19S_0025_Sed_Field_ICR.U_p2,213.1132092
29,Sample_S19S_0025_Sed_Field_ICR.U_p2,213.1495806
3,Sample_S19S_0025_Sed_Field_ICR.U_p2,214.050931
23,Sample_S19S_0025_Sed_Field_ICR.U_p2,214.1084656
13,Sample_S19S_0025_Sed_Field_ICR.U_p2,214.1448275
1,Sample_S19S_0025_Sed_Field_ICR.U_p2,215.0019358
37,Sample_S19S_0025_Sed_Field_ICR.U_p2,215.0560786
44,Sample_S19S_0025_Sed_Field_ICR.U_p2,215.0924726
37,Sample_S19S_0025_Sed_Field_ICR.U_p2,215.1288446
21,Sample_S19S_0025_Sed_Field_ICR.U_p2,215.1652394
15,Sample_S19S_0025_Sed_Field_ICR.U_p2,216.1240952
43,Sample_S19S_0025_Sed_Field_ICR.U_p2,217.0717431
45,Sample_S19S_0025_Sed_Field_ICR.U_p2,217.1081169
28,Sample_S19S_0025_Sed_Field_ICR.U_p2,217.1444967
18,Sample_S19S_0025_Sed_Field_ICR.U_p2,218.1033705
41,Sample_S19S_0025_Sed_Field_ICR.U_p2,219.0873877
19,Sample_S19S_0025_Sed_Field_ICR.U_p2,219.1390265
12,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.0091259
33,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.0455191
18,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.0818912
7,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.0931493
30,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.1182865
16,Sample_S19S_0025_Sed_Field_ICR.U_p2,221.1546776
29,Sample_S19S_0025_Sed_Field_ICR.U_p2,223.0247931
17,Sample_S19S_0025_Sed_Field_ICR.U_p2,223.0611523
3,Sample_S19S_0025_Sed_Field_ICR.U_p2,223.0935597
43,Sample_S19S_0025_Sed_Field_ICR.U_p2,223.0975605
46,Sample_S19S_0025_Sed_Field_ICR.U_p2,223.1339546
16,Sample_S19S_0025_Sed_Field_ICR.U_p2,224.0564233
5,Sample_S19S_0025_Sed_Field_ICR.U_p2,225.0040321
