num.trans.involved.in,sample,peak
8,Sample_S19S_0031_ICR.2_p05,201.1131969
6,Sample_S19S_0031_ICR.2_p05,205.1597578
16,Sample_S19S_0031_ICR.2_p05,211.0247874
11,Sample_S19S_0031_ICR.2_p05,215.0560786
4,Sample_S19S_0031_ICR.2_p05,215.1288446
6,Sample_S19S_0031_ICR.2_p05,221.0818912
3,Sample_S19S_0031_ICR.2_p05,221.1546776
11,Sample_S19S_0031_ICR.2_p05,229.14452
6,Sample_S19S_0031_ICR.2_p05,233.1546845
2,Sample_S19S_0031_ICR.2_p05,238.9629644
36,Sample_S19S_0031_ICR.2_p05,239.0197221
1,Sample_S19S_0031_ICR.2_p05,239.0673352
21,Sample_S19S_0031_ICR.2_p05,239.1288753
6,Sample_S19S_0031_ICR.2_p05,242.139775
2,Sample_S19S_0031_ICR.2_p05,242.1761465
5,Sample_S19S_0031_ICR.2_p05,243.1237626
2,Sample_S19S_0031_ICR.2_p05,245.0489119
9,Sample_S19S_0031_ICR.2_p05,245.1394342
1,Sample_S19S_0031_ICR.2_p05,249.0227066
44,Sample_S19S_0031_ICR.2_p05,249.0404675
52,Sample_S19S_0031_ICR.2_p05,249.0768527
22,Sample_S19S_0031_ICR.2_p05,249.1496147
20,Sample_S19S_0031_ICR.2_p05,253.1445337
21,Sample_S19S_0031_ICR.2_p05,255.1237776
60,Sample_S19S_0031_ICR.2_p05,257.0666765
54,Sample_S19S_0031_ICR.2_p05,265.0717855
58,Sample_S19S_0031_ICR.2_p05,265.1081545
2,Sample_S19S_0031_ICR.2_p05,265.1479151
2,Sample_S19S_0031_ICR.2_p05,266.9942715
63,Sample_S19S_0031_ICR.2_p05,267.0510336
66,Sample_S19S_0031_ICR.2_p05,267.0874299
67,Sample_S19S_0031_ICR.2_p05,269.0666802
58,Sample_S19S_0031_ICR.2_p05,269.1030627
32,Sample_S19S_0031_ICR.2_p05,269.1394657
40,Sample_S19S_0031_ICR.2_p05,271.0459737
