num.trans.involved.in,sample,peak
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,200.092796
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.0404313
41,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.0768122
6,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.0880418
38,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.1131969
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,201.1495782
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.0509123
13,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.0720568
8,Sample_S19S_0032_Sed_Field_ICR.D_p2,202.1084386
35,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.0560881
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.0924536
20,Sample_S19S_0032_Sed_Field_ICR.D_p2,203.1288378
16,Sample_S19S_0032_Sed_Field_ICR.D_p2,204.0665886
21,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.0142188
22,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.0505947
2,Sample_S19S_0032_Sed_Field_ICR.D_p2,205.1233352
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,206.0822311
1,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.0121103
30,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.0298709
37,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.066249
28,Sample_S19S_0032_Sed_Field_ICR.D_p2,207.1390235
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.0091207
31,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.0455114
37,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.0818981
30,Sample_S19S_0032_Sed_Field_ICR.D_p2,209.1546803
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,210.0407624
40,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.0247874
49,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.0611736
42,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.097555
12,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.1087862
36,Sample_S19S_0032_Sed_Field_ICR.D_p2,211.1339377
7,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.0200182
17,Sample_S19S_0032_Sed_Field_ICR.D_p2,212.0564229
