num.trans.involved.in,sample,peak
20,Sample_S19S_0094_Sed_Field_ICR.M_p15,201.0768122
20,Sample_S19S_0094_Sed_Field_ICR.M_p15,201.1131969
1,Sample_S19S_0094_Sed_Field_ICR.M_p15,207.0121103
6,Sample_S19S_0094_Sed_Field_ICR.M_p15,208.0978901
14,Sample_S19S_0094_Sed_Field_ICR.M_p15,209.0455114
18,Sample_S19S_0094_Sed_Field_ICR.M_p15,209.1546803
26,Sample_S19S_0094_Sed_Field_ICR.M_p15,211.097555
23,Sample_S19S_0094_Sed_Field_ICR.M_p15,211.1339377
24,Sample_S19S_0094_Sed_Field_ICR.M_p15,213.1132092
1,Sample_S19S_0094_Sed_Field_ICR.M_p15,214.050931
24,Sample_S19S_0094_Sed_Field_ICR.M_p15,215.0924726
19,Sample_S19S_0094_Sed_Field_ICR.M_p15,215.1288446
25,Sample_S19S_0094_Sed_Field_ICR.M_p15,217.0717431
25,Sample_S19S_0094_Sed_Field_ICR.M_p15,217.1081169
23,Sample_S19S_0094_Sed_Field_ICR.M_p15,219.0873877
9,Sample_S19S_0094_Sed_Field_ICR.M_p15,221.0818912
9,Sample_S19S_0094_Sed_Field_ICR.M_p15,221.1546776
3,Sample_S19S_0094_Sed_Field_ICR.M_p15,225.0557149
27,Sample_S19S_0094_Sed_Field_ICR.M_p15,225.0768195
25,Sample_S19S_0094_Sed_Field_ICR.M_p15,225.1496041
29,Sample_S19S_0094_Sed_Field_ICR.M_p15,227.092466
29,Sample_S19S_0094_Sed_Field_ICR.M_p15,227.1288722
24,Sample_S19S_0094_Sed_Field_ICR.M_p15,229.0717413
26,Sample_S19S_0094_Sed_Field_ICR.M_p15,229.1081151
23,Sample_S19S_0094_Sed_Field_ICR.M_p15,229.14452
2,Sample_S19S_0094_Sed_Field_ICR.M_p15,229.155741
28,Sample_S19S_0094_Sed_Field_ICR.M_p15,231.0873835
12,Sample_S19S_0094_Sed_Field_ICR.M_p15,231.1237543
2,Sample_S19S_0094_Sed_Field_ICR.M_p15,231.1350267
24,Sample_S19S_0094_Sed_Field_ICR.M_p15,233.1030488
12,Sample_S19S_0094_Sed_Field_ICR.M_p15,233.1546845
2,Sample_S19S_0094_Sed_Field_ICR.M_p15,239.0673352
53,Sample_S19S_0094_Sed_Field_ICR.M_p15,239.092497
46,Sample_S19S_0094_Sed_Field_ICR.M_p15,239.1288753
24,Sample_S19S_0094_Sed_Field_ICR.M_p15,241.1081087
20,Sample_S19S_0094_Sed_Field_ICR.M_p15,241.1445007
6,Sample_S19S_0094_Sed_Field_ICR.M_p15,242.0670034
14,Sample_S19S_0094_Sed_Field_ICR.M_p15,242.139775
8,Sample_S19S_0094_Sed_Field_ICR.M_p15,242.1761465
27,Sample_S19S_0094_Sed_Field_ICR.M_p15,243.0873816
20,Sample_S19S_0094_Sed_Field_ICR.M_p15,243.1237626
21,Sample_S19S_0094_Sed_Field_ICR.M_p15,243.1601665
49,Sample_S19S_0094_Sed_Field_ICR.M_p15,245.1030642
27,Sample_S19S_0094_Sed_Field_ICR.M_p15,245.1394342
52,Sample_S19S_0094_Sed_Field_ICR.M_p15,247.0823368
41,Sample_S19S_0094_Sed_Field_ICR.M_p15,247.118733
32,Sample_S19S_0094_Sed_Field_ICR.M_p15,249.1496147
10,Sample_S19S_0094_Sed_Field_ICR.M_p15,250.1448617
21,Sample_S19S_0094_Sed_Field_ICR.M_p15,251.0197332
31,Sample_S19S_0094_Sed_Field_ICR.M_p15,251.1289035
58,Sample_S19S_0094_Sed_Field_ICR.M_p15,253.0717756
25,Sample_S19S_0094_Sed_Field_ICR.M_p15,253.1081345
44,Sample_S19S_0094_Sed_Field_ICR.M_p15,253.1445337
2,Sample_S19S_0094_Sed_Field_ICR.M_p15,255.0622462
35,Sample_S19S_0094_Sed_Field_ICR.M_p15,255.1237776
11,Sample_S19S_0094_Sed_Field_ICR.M_p15,255.2329705
2,Sample_S19S_0094_Sed_Field_ICR.M_p15,257.048925
52,Sample_S19S_0094_Sed_Field_ICR.M_p15,257.0666765
37,Sample_S19S_0094_Sed_Field_ICR.M_p15,257.1030521
52,Sample_S19S_0094_Sed_Field_ICR.M_p15,257.1394516
31,Sample_S19S_0094_Sed_Field_ICR.M_p15,257.175834
53,Sample_S19S_0094_Sed_Field_ICR.M_p15,259.0823405
50,Sample_S19S_0094_Sed_Field_ICR.M_p15,259.1187072
42,Sample_S19S_0094_Sed_Field_ICR.M_p15,259.1551113
40,Sample_S19S_0094_Sed_Field_ICR.M_p15,261.0980071
49,Sample_S19S_0094_Sed_Field_ICR.M_p15,261.1343647
9,Sample_S19S_0094_Sed_Field_ICR.M_p15,262.1660448
12,Sample_S19S_0094_Sed_Field_ICR.M_p15,264.1605215
3,Sample_S19S_0094_Sed_Field_ICR.M_p15,265.1479151
5,Sample_S19S_0094_Sed_Field_ICR.M_p15,266.1034196
56,Sample_S19S_0094_Sed_Field_ICR.M_p15,267.0874299
65,Sample_S19S_0094_Sed_Field_ICR.M_p15,267.123805
36,Sample_S19S_0094_Sed_Field_ICR.M_p15,267.1601848
55,Sample_S19S_0094_Sed_Field_ICR.M_p15,269.0666802
64,Sample_S19S_0094_Sed_Field_ICR.M_p15,269.1030627
51,Sample_S19S_0094_Sed_Field_ICR.M_p15,269.1394657
36,Sample_S19S_0094_Sed_Field_ICR.M_p15,269.1758579
6,Sample_S19S_0094_Sed_Field_ICR.M_p15,270.2074858
49,Sample_S19S_0094_Sed_Field_ICR.M_p15,271.0823212
70,Sample_S19S_0094_Sed_Field_ICR.M_p15,271.118718
